Species,selected model
Curimata acutirostris,M_2_F_lq_Set_01
Curimata aspera,M_2_F_l_Set_01
Curimata cerasina,M_3_F_lqp_Set_01
Curimata cisandina,M_4_F_lqp_Set_01
Curimata cyprinoides,M_0.4_F_lqp_Set_01
Curimata incompta,M_0.8_F_l_Set_01
Curimata inornata,M_0.8_F_lq_Set_01
Curimata knerii,M_4_F_l_Set_01
Curimata macrops,M_10_F_lqp_Set_01
Curimata mivartii,M_0.1_F_lqp_Set_01
Curimata ocellata,M_4_F_lqp_Set_01
Curimata roseni,M_4_F_lq_Set_01
Curimata vittata,M_0.2_F_lq_Set_01
Curimatella alburnus,M_4_F_lqp_Set_01
Curimatella dorsalis,M_0.9_F_lq_Set_01
Curimatella immaculata,M_5_F_lqp_Set_01
Curimatella lepidura,M_8_F_l_Set_01
Curimatella meyeri,M_2_F_lq_Set_01
Curimatopsis cryptica,M_2_F_lq_Set_01
Curimatopsis evelynae,M_10_F_l_Set_01
Curimatopsis macrolepis,M_0.7_F_lq_Set_01
Curimatopsis microlepis,M_3_F_lq_Set_01
Curimatopsis myersi,M_2_F_lq_Set_01
Cyphocharax abramoides,M_0.2_F_lq_Set_01
Cyphocharax aninha,M_0.9_F_lqp_Set_01
Cyphocharax aspilos,M_4_F_lq_Set_01
Cyphocharax biocellatus,M_3_F_lqp_Set_01
Cyphocharax boiadeiro,M_0.6_F_lq_Set_01
Cyphocharax corumbae,M_0.6_F_l_Set_01
Cyphocharax festivus,M_0.1_F_l_Set_01
Cyphocharax gangamon,M_4_F_l_Set_01
Cyphocharax gilbert,M_4_F_lqp_Set_01
Cyphocharax gillii,M_0.1_F_l_Set_01
Cyphocharax gouldingi,M_0.1_F_lq_Set_01
Cyphocharax helleri,M_0.3_F_lq_Set_01
Cyphocharax laticlavius,M_0.6_F_l_Set_01
Cyphocharax leucostictus,M_5_F_lq_Set_01
Cyphocharax magdalenae,M_2_F_lqp_Set_01
Cyphocharax meniscaprorus,M_8_F_lq_Set_01
Cyphocharax mestomyllon,M_4_F_lq_Set_01
Cyphocharax microcephalus,M_0.4_F_lqp_Set_01
Cyphocharax modestus,M_0.1_F_lq_Set_01
Cyphocharax multilineatus,M_0.6_F_lq_Set_01
Cyphocharax naegelii,M_6_F_lqp_Set_01
Cyphocharax nigripinnis,M_0.5_F_l_Set_01
Cyphocharax notatus,M_4_F_lqp_Set_01
Cyphocharax oenas,M_2_F_lqp_Set_01
Cyphocharax pantostictos,M_1_F_lqp_Set_01
Cyphocharax pinnilepis,M_5_F_lq_Set_01
Cyphocharax platanus,M_10_F_lq_Set_01
Cyphocharax plumbeus,M_0.6_F_l_Set_01
Cyphocharax punctatus,M_2_F_l_Set_01
Cyphocharax saladensis,M_2_F_l_Set_01
Cyphocharax santacatarinae,M_6_F_l_Set_01
Cyphocharax signatus,M_0.1_F_l_Set_01
Cyphocharax spilotus,M_8_F_lq_Set_01
Cyphocharax spiluropsis,M_0.3_F_lq_Set_01
Cyphocharax spilurus,M_0.8_F_lqp_Set_01
Cyphocharax stilbolepis,M_8_F_lqp_Set_01
Cyphocharax vanderi,M_0.4_F_lq_Set_01
Cyphocharax vexillapinnus,M_4_F_lqp_Set_01
Cyphocharax voga,M_0.6_F_lq_Set_01
Potamorhina altamazonica,M_1_F_l_Set_01
Potamorhina laticeps,M_3_F_lqp_Set_01
Potamorhina latior,M_0.3_F_lq_Set_01
Potamorhina pristigaster,M_4_F_lqp_Set_01
Potamorhina squamoralevis,M_4_F_l_Set_01
Psectrogaster amazonica,M_4_F_lqp_Set_01
Psectrogaster ciliata,M_2_F_lq_Set_01
Psectrogaster curviventris,M_4_F_lq_Set_01
Psectrogaster essequibensis,M_0.1_F_l_Set_01
Psectrogaster falcata,M_0.8_F_l_Set_01
Psectrogaster rhomboides,M_6_F_lqp_Set_01
Psectrogaster rutiloides,M_0.8_F_lq_Set_01
Psectrogaster saguiru,M_2_F_lq_Set_01
Pseudocurimata boehlkei,M_0.8_F_l_Set_01
Pseudocurimata boulengeri,M_5_F_lqp_Set_01
Pseudocurimata lineopunctata,M_8_F_lqp_Set_01
Pseudocurimata patiae,M_4_F_lqp_Set_01
Pseudocurimata peruana,M_2_F_l_Set_01
Pseudocurimata troschelii,M_0.7_F_lq_Set_01
Steindachnerina amazonica,M_1_F_lqp_Set_01
Steindachnerina argentea,M_3_F_lqp_Set_01
Steindachnerina atratoensis,M_4_F_lq_Set_01
Steindachnerina bimaculata,M_5_F_lq_Set_01
Steindachnerina binotata,M_0.9_F_lq_Set_01
Steindachnerina biornata,M_8_F_lqp_Set_01
Steindachnerina brevipinna,M_8_F_lq_Set_01
Steindachnerina conspersa,M_6_F_lq_Set_01
Steindachnerina dobula,M_0.1_F_lq_Set_01
Steindachnerina elegans,M_0.3_F_lq_Set_01
Steindachnerina fasciata,M_1_F_l_Set_01
Steindachnerina gracilis,M_2_F_lq_Set_01
Steindachnerina guentheri,M_0.5_F_lq_Set_01
Steindachnerina hypostoma,M_8_F_l_Set_01
Steindachnerina insculpta,M_0.1_F_lq_Set_01
Steindachnerina leucisca,M_6_F_lqp_Set_01
Steindachnerina notograptos,M_5_F_l_Set_01
Steindachnerina notonota,M_8_F_lq_Set_01
Steindachnerina planiventris,M_0.5_F_lq_Set_01
Steindachnerina pupula,M_1_F_l_Set_01
Steindachnerina quasimodoi,M_0.7_F_lq_Set_01
Steindachnerina seriata,M_0.4_F_lqp_Set_01
Steindachnerina varii,M_1_F_l_Set_01
