Family,species,ID,longitude,latitude,Surce,Author,Title,Identifier_ID,Date
Curimatidae,Steindachneri guentheri,Vernet_03929,-71.520833,-7.004167,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/usnm/fishes?id=http-n2t-net-ark-65665-328facdbb-740a-4dc6-a422-db1593220f6f,19-04-1991
Curimatidae,Steindachneri guentheri,Fishnet_00457,-76.698605,0.397652,https://fishnet2.net/,FishNet 2,NA,NA,8-10-1981
Curimatidae,Steindachneri guentheri,Vernet_03277,-76.4578,-3.2036,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/fmnh/fishes?id=bdb835c7-2478-4a44-bd7d-2f8244d812ca,8-08-1999
Curimatidae,Steindachneri guentheri,Fishnet_00095,-77.153152,0.686696,https://fishnet2.net/,FishNet 2,NA,NA,5-11-1981
Curimatidae,Steindachneri guentheri,gbifID_1211715472,-58.24321,4.965582,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211715472,27-03-2010
Curimatidae,Steindachneri guentheri,iDigBio_01939,-58.24044,4.90938,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,URI:catalog:ROM:Ichthyology:88671,26-03-2010
Curimatidae,Steindachneri guentheri,gbifID_2350111123,-72.154167,-2.9375,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2350111123,13-08-2003
Curimatidae,Steindachneri guentheri,gbifID_1699606834,-69.945833,-4.129167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699606834,1-11-2002
Curimatidae,Steindachneri guentheri,Vernet_03927,-62.704167,8.3625,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/usnm/fishes?id=http-n2t-net-ark-65665-326b454fc-bf1d-4492-ba19-fe67588b955d,9-11-1979
Curimatidae,Steindachneri guentheri,iDigBio_02887,-58.2375,5.404167,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,URI:catalog:ROM:Ichthyology:88567,28-03-2010
Curimatidae,Steindachneri guentheri,gbifID_1699605209,-69.94806,-4.123767,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699605209,22-04-1999
Curimatidae,Steindachneri guentheri,gbifID_2350111129,-72.7125,-2.845833,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2350111129,17-08-2003
Curimatidae,Steindachneri guentheri,gbifID_1211694337,-59.2375,7.670833,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211694337,29-09-1992
Curimatidae,Steindachneri guentheri,Fishnet_00404,-77.2875,0.545833,https://fishnet2.net/,FishNet 2,NA,NA,22-11-1983
Curimatidae,Steindachneri guentheri,gbifID_1319747369,-69.2917,-12.8264,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1319747369,23-08-1983
Curimatidae,Steindachneri guentheri,iDigBio_03097,-62.429167,8.5375,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,http://n2t.net/ark:/65665/36d1a38fc-adf7-4ef1-8c3e-0745a58e6b18,NA-02-1978
Curimatidae,Steindachneri guentheri,Fishnet_12149,-64.13259,7.609556,https://fishnet2.net/,FishNet 2,NA,NA,2-05-2004
Curimatidae,Steindachneri guentheri,iDigBio_04216,-69.2917,-12.8417,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,http://n2t.net/ark:/65665/388bdc0a8-681d-438d-b56a-b70bd23c65b1,NA-08-1983
Curimatidae,Steindachneri guentheri,Fishnet_07754,-77.447762,0.136848,https://fishnet2.net/,FishNet 2,NA,NA,NA-NA-1993
Curimatidae,Steindachneri guentheri,red_04437,-76.529167,-9.270833,https://specieslink.net/,speciesLink,NA,NA,NA-NA-1955
Curimatidae,Steindachneri guentheri,gbifID_2005520572,-72.5625,3.445833,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2005520572,13-07-2018
Curimatidae,Steindachneri guentheri,gbifID_473371901,-73.120833,4.1625,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:473371901,24-03-1914
Curimatidae,Steindachneri guentheri,gbifID_666631793,-77.582212,-1.897081,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:666631793,8-11-1981
Curimatidae,Steindachneri guentheri,gbifID_2350111165,-72.907861,-2.82049,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2350111165,21-10-2009
Curimatidae,Steindachneri guentheri,gbifID_1211691646,-71.179167,-12.8875,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211691646,5-09-1989
Curimatidae,Steindachneri guentheri,gbifID_666652559,-59.754167,8.329167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:666652559,NA
Curimatidae,Steindachneri guentheri,Vernet_03576,-58.6781,5.29869,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/rom/fishes?id=uri-catalog-rom-ichthyology-87312,31-03-2010
Curimatidae,Steindachneri guentheri,gbifID_1699616065,-73.6375,3.8625,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699616065,26-01-2006
Curimatidae,Steindachneri guentheri,gbifID_666676876,-77.303691,0.362484,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:666676876,14-11-1983
Curimatidae,Steindachneri guentheri,Fishnet_00121,-77.244458,0.494691,https://fishnet2.net/,FishNet 2,NA,NA,13-11-1983
Curimatidae,Steindachneri guentheri,gbifID_1211694273,-59.3875,7.520833,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211694273,7-10-1992
Curimatidae,Steindachneri guentheri,Vernet_03331,-76.975144,0.67758,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/ku/kui?id=dc1d2c62-1ed3-11e3-bfac-90b11c41863e,13-03-1967
Curimatidae,Steindachneri guentheri,Fishnet_05680,-58.7125,5.245833,https://fishnet2.net/,FishNet 2,NA,NA,30-03-2010
Curimatidae,Steindachneri guentheri,red_00291,-77.546382,-1.488521,https://specieslink.net/,speciesLink,NA,NA,NA-NA-1970
Curimatidae,Steindachneri guentheri,gbifID_1699606651,-69.946031,-4.128462,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699606651,1-07-2001
Curimatidae,Steindachneri guentheri,Vernet_04284,-77.479167,-1.495833,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/usnm/fishes?id=http-n2t-net-ark-65665-3bdadff92-1b49-48dd-b17f-f5d02185306e,NA-05-1948
Curimatidae,Steindachneri guentheri,gbifID_1699613889,-76.404167,0.9875,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699613889,NA
Curimatidae,Steindachneri guentheri,gbifID_657002554,-76.98058,0.587289,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:657002554,17-03-1967
Curimatidae,Steindachneri guentheri,Fishnet_00009,-76.954167,0.4375,https://fishnet2.net/,FishNet 2,NA,NA,24-09-1981
Curimatidae,Steindachneri guentheri,gbifID_1699614995,-75.754167,1.545833,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699614995,10-12-2005
Curimatidae,Steindachneri guentheri,gbifID_1699613649,-72.695833,4.320833,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699613649,1-04-1995
Curimatidae,Steindachneri guentheri,gbifID_2416576087,-72.61,3.11,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2416576087,18-09-2013
Curimatidae,Steindachneri guentheri,gbifID_1211714225,-58.2875,5.729167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211714225,21-03-2010
Curimatidae,Steindachneri guentheri,Vernet_03306,-76.9625,0.4875,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/fmnh/fishes?id=dc79d76c-e164-454d-b469-e294d23d07d8,3-10-1981
Curimatidae,Steindachneri guentheri,Vernet_02931,-72.154167,4.541667,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/aum/fish?id=6898f493-dfe5-426f-87e8-01cec7880452,10-10-1978
Curimatidae,Steindachneri guentheri,red_00286,-71.269027,-13.19098,https://specieslink.net/,speciesLink,NA,NA,NA-NA-1977
Curimatidae,Steindachneri guentheri,red_07381,-68.920833,-10.9125,https://specieslink.net/,speciesLink,NA,NA,NA-NA-2004
Curimatidae,Steindachneri guentheri,gbifID_1211694268,-58.929167,7.654167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211694268,26-09-1992
Curimatidae,Steindachneri guentheri,gbifID_1699614978,-75.795833,1.4375,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699614978,12-12-2005
Curimatidae,Steindachneri guentheri,Vernet_03070,-77.577817,-1.358376,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/fmnh/fishes?id=0428b1ac-57ba-43f6-bee6-2b9c04f9697f,9-11-1981
Curimatidae,Steindachneri guentheri,red_04852,-67.870833,-9.9375,https://specieslink.net/,speciesLink,NA,NA,NA-NA-1984
Curimatidae,Steindachneri guentheri,gbifID_1211691720,-71.379167,-11.829167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211691720,19-04-1991
Curimatidae,Steindachneri guentheri,iDigBio_04527,-77.8783,-1.1967,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,64590020-1021-43e6-ad15-dca358db924d,NA-11-1981
Curimatidae,Steindachneri guentheri,Vernet_03332,-76.879937,0.688983,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/ku/kui?id=dc1d3428-1ed3-11e3-bfac-90b11c41863e,18-06-1967
Curimatidae,Steindachneri guentheri,iDigBio_04938,-73.154167,-6.304167,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,b0de98e6-5018-4f7e-9b40-b44d45abbc8d,NA-11-2004
Curimatidae,Steindachneri guentheri,Fishnet_00224,-75.495833,-1.395833,https://fishnet2.net/,FishNet 2,NA,NA,25-10-1981
Curimatidae,Steindachneri guentheri,gbifID_1699615028,-75.870833,1.4375,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699615028,7-12-2005
Curimatidae,Steindachneri guentheri,Fishnet_00480,-76.3625,-3.270833,https://fishnet2.net/,FishNet 2,NA,NA,10-08-1999
Curimatidae,Steindachneri guentheri,Fishnet_05760,-59.362014,7.252527,https://fishnet2.net/,FishNet 2,NA,NA,11-10-1992
Curimatidae,Steindachneri guentheri,Fishnet_05761,-59.329167,7.304167,https://fishnet2.net/,FishNet 2,NA,NA,11-10-1992
Curimatidae,Steindachneri guentheri,gbifID_3394052402,-70.129167,-3.970833,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:3394052402,1-12-2005
Curimatidae,Steindachneri guentheri,Vernet_03459,-74.920833,-9.6125,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/rom/fishes?id=uri-catalog-rom-ichthyology-55571,30-07-1988
Curimatidae,Steindachneri guentheri,gbifID_1699614101,-75.404167,1.379167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699614101,11-04-1990
Curimatidae,Steindachneri guentheri,iDigBio_02513,-77.420664,0.485216,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,6d44f7ee-48c4-4d69-b8a4-77c242525529,NA-10-1981
Curimatidae,Steindachneri guentheri,red_04663,-68.620833,-9.754167,https://specieslink.net/,speciesLink,NA,NA,NA-NA-2010
Curimatidae,Steindachneri guentheri,Fishnet_05676,-58.9625,5.2625,https://fishnet2.net/,FishNet 2,NA,NA,1-04-2010
Curimatidae,Steindachneri guentheri,Fishnet_00914,-68.7333,-11.3103,https://fishnet2.net/,FishNet 2,NA,NA,12-09-1996
Curimatidae,Steindachneri guentheri,iDigBio_03582,-59.545833,7.5125,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,URI:catalog:ROM:Ichthyology:66595,04-10-1992
Curimatidae,Steindachneri guentheri,iDigBio_02681,-71.296167,7.700833,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,http://biocoll.inhs.illinois.edu/fish/INHS29884,26-01-1993
Curimatidae,Steindachneri guentheri,red_06524,-68.495552,-9.278334,https://specieslink.net/,speciesLink,NA,NA,NA-NA-2001
Curimatidae,Steindachneri guentheri,Vernet_03571,-58.16483,5.17152,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/rom/fishes?id=uri-catalog-rom-ichthyology-86998,20-03-2010
Curimatidae,Steindachneri guentheri,gbifID_666564077,-75.930542,0.227982,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:666564077,21-10-1983
Curimatidae,Steindachneri guentheri,iDigBio_04281,-73.30081,-3.8299,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,http://biocoll.inhs.illinois.edu/fish/INHS163797,06-08-1997
Curimatidae,Steindachneri guentheri,Fishnet_00160,-76.879167,0.120833,https://fishnet2.net/,FishNet 2,NA,NA,18-09-1983
Curimatidae,Steindachneri guentheri,Vernet_00376,-77.12959,0.539002,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/ku/kui?id=dc1d3fcb-1ed3-11e3-bfac-90b11c41863e,15-06-1968
Curimatidae,Steindachneri guentheri,gbifID_4002776748,-71.414109,-2.864413,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:4002776748,8-08-2003
Curimatidae,Steindachneri guentheri,gbifID_4015529644,-73.6625,3.954167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:4015529644,11-11-2020
Curimatidae,Steindachneri guentheri,Fishnet_00439,-76.1875,0.2875,https://fishnet2.net/,FishNet 2,NA,NA,30-09-1983
Curimatidae,Steindachneri guentheri,Vernet_01802,-77.579167,-1.3625,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/fmnh/fishes?id=bc6915c4-b8bb-413a-b2dc-863024e4d946,9-11-1981
Curimatidae,Steindachneri guentheri,gbifID_1317261743,-61.420833,8.4625,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1317261743,21-11-1979
Curimatidae,Steindachneri guentheri,red_00896,-67.5625,-9.595833,https://specieslink.net/,speciesLink,NA,NA,NA-NA-2010
Curimatidae,Steindachneri guentheri,iDigBio_02878,-71.420833,-11.8875,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,URI:catalog:ROM:Ichthyology:74171,10-1991
Curimatidae,Steindachneri guentheri,iDigBio_04706,-77.88,-1.2133,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,9f48c024-836b-4e06-b67d-0b30814ada02,NA-11-1981
Curimatidae,Steindachneri guentheri,iDigBio_01415,-74.9375,-9.6125,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,URI:catalog:ROM:Ichthyology:55569,26-07-1988
Curimatidae,Steindachneri guentheri,iDigBio_03496,-77.8405,-4.62998,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,4dd08b47-c046-43c1-a8cb-75b62b6d8b16,30-07-2006
Curimatidae,Steindachneri guentheri,gbifID_1211714294,-58.16336,5.17456,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211714294,20-03-2010
Curimatidae,Steindachneri guentheri,Fishnet_00226,-77.294458,0.486696,https://fishnet2.net/,FishNet 2,NA,NA,13-11-1983
Curimatidae,Steindachneri guentheri,gbifID_1699600654,-72.295833,1.5375,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699600654,1-03-1958
Curimatidae,Steindachneri guentheri,Vernet_02729,-65.9625,8.320833,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/usnm/fishes?id=http-n2t-net-ark-65665-3fb83fd51-9a1c-437b-bb0e-5bdc5646de8c,7-11-1979
Curimatidae,Steindachneri guentheri,Vernet_03892,-62.541667,8.679167,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/usnm/fishes?id=http-n2t-net-ark-65665-304a240fa-919d-471c-9cf2-46b990a5d41a,19-02-1978
Curimatidae,Steindachneri guentheri,iDigBio_01933,-59.345595,7.16758,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,URI:catalog:ROM:Ichthyology:66615,11-10-1992
Curimatidae,Steindachneri guentheri,gbifID_1211714021,-58.19616,5.15107,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211714021,28-03-2010
Curimatidae,Steindachneri guentheri,gbifID_197219576,-68.743,-11.314,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:197219576,4-09-1996
Curimatidae,Steindachneri guentheri,Vernet_03663,-69.3125,-12.795833,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/tcwc/ichthyology?id=urn-catalog-tcwc-ichthyology-14001-09,20-07-2009
Curimatidae,Steindachneri guentheri,gbifID_2005520581,-72.5125,3.429167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2005520581,13-07-2018
Curimatidae,Steindachneri guentheri,gbifID_473369344,-59.829167,8.154167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:473369344,NA
Curimatidae,Steindachneri guentheri,red_06527,-65.344444,-10.443055,https://specieslink.net/,speciesLink,NA,NA,NA-NA-2004
Curimatidae,Steindachneri guentheri,gbifID_4015529678,-73.747806,3.979806,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:4015529678,10-11-2020
Curimatidae,Steindachneri guentheri,Vernet_00671,-71.220833,-12.170833,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/ansp/fish?id=urn-lod-ansp-org-catalog-ansp-fish-ansp143738-2e78759d-8162-48b1-bc9e-2753772a903c-2015-5-14,5-08-1977
Curimatidae,Steindachneri guentheri,gbifID_473369247,-73.629167,4.1625,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:473369247,24-03-1914
Curimatidae,Steindachneri guentheri,gbifID_1699614966,-75.467841,1.390923,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699614966,13-12-2005
Curimatidae,Steindachneri guentheri,gbifID_657002552,-76.975144,0.677579,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:657002552,13-03-1967
Curimatidae,Steindachneri guentheri,iDigBio_04368,-77.652539,-1.404056,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,6995fd19-dbda-471c-a2ef-315ddd35e09c,NA-11-1981
Curimatidae,Steindachneri guentheri,Vernet_03958,-62.179167,8.6875,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/usnm/fishes?id=http-n2t-net-ark-65665-341b54b69-aa7f-4426-8e40-40b4f36b3721,9-02-1978
Curimatidae,Steindachneri guentheri,gbifID_666703610,-76.43088,0.253701,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:666703610,24-11-1983
Curimatidae,Steindachneri guentheri,Fishnet_12289,-76.879937,0.688986,https://fishnet2.net/,FishNet 2,NA,NA,18-06-1967
Curimatidae,Steindachneri guentheri,gbifID_1416659208,-65.1625,-4.979167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1416659208,3-08-2009
Curimatidae,Steindachneri guentheri,Vernet_02629,-69.1625,-12.504167,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/usnm/fishes?id=http-n2t-net-ark-65665-38327a1ec-db95-4114-95b3-2abb75e85f69,25-08-1983
Curimatidae,Steindachneri guentheri,gbifID_197220309,-77.826,-1.919,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:197220309,12-07-1999
Curimatidae,Steindachneri guentheri,gbifID_1571751588,-73.320833,3.8625,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1571751588,NA
Curimatidae,Steindachneri guentheri,Vernet_03569,-58.24087,4.85843,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/rom/fishes?id=uri-catalog-rom-ichthyology-86942,23-03-2010
Curimatidae,Steindachneri guentheri,gbifID_666673479,-76.829167,0.170833,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:666673479,27-09-1981
Curimatidae,Steindachneri guentheri,gbifID_1699613331,-67.529167,6.1625,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699613331,22-02-2005
Curimatidae,Steindachneri guentheri,red_03886,-61.970833,-9.5125,https://specieslink.net/,speciesLink,NA,NA,NA-NA-2012
Curimatidae,Steindachneri guentheri,Vernet_02001,-78.745833,-5.3875,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/rom/fishes?id=uri-catalog-rom-ichthyology-52215,7-07-1986
Curimatidae,Steindachneri guentheri,red_00977,-67.6875,-10.4125,https://specieslink.net/,speciesLink,NA,NA,NA-NA-2010
Curimatidae,Steindachneri guentheri,gbifID_1211701658,-71.220833,-12.404167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211701658,11-10-1991
Curimatidae,Steindachneri guentheri,gbifID_1211701646,-71.5875,-11.770833,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211701646,NA-NA-1991
Curimatidae,Steindachneri guentheri,Vernet_04114,-62.2125,8.6625,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/usnm/fishes?id=http-n2t-net-ark-65665-3f17b2e5c-6240-4a7c-a50c-59c9404bf425,19-02-1978
Curimatidae,Steindachneri guentheri,red_00982,-67.65775,-10.265167,https://specieslink.net/,speciesLink,NA,NA,NA-NA-2010
Curimatidae,Steindachneri guentheri,gbifID_1211714364,-58.693,6.3612,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211714364,7-04-2010
Curimatidae,Steindachneri guentheri,iDigBio_02973,-62.170833,8.695833,www.idigbio.org,iDigBio (Integrated Digitized Biocollections),NA,http://n2t.net/ark:/65665/30efe0259-7658-4a30-9e1c-ff957be39020,NA-11-1979
Curimatidae,Steindachneri guentheri,gbifID_1211714152,-58.2375,5.2375,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1211714152,28-03-2010
Curimatidae,Steindachneri guentheri,gbifID_2350111952,-72.679167,-5.541667,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2350111952,27-03-2003
Curimatidae,Steindachneri guentheri,Vernet_02070,-59.496256,7.547801,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/rom/fishes?id=uri-catalog-rom-ichthyology-66600,6-10-1992
Curimatidae,Steindachneri guentheri,gbifID_666587723,-76.345782,0.378659,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:666587723,29-11-1983
Curimatidae,Steindachneri guentheri,gbifID_2416576816,-73.629167,3.4125,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2416576816,14-10-2011
Curimatidae,Steindachneri guentheri,gbifID_2416580043,-72.570833,3.5375,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2416580043,20-06-2011
Curimatidae,Steindachneri guentheri,gbifID_2416576758,-73.6125,3.270833,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2416576758,8-12-2013
Curimatidae,Steindachneri guentheri,gbifID_2416576785,-73.645833,3.429167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2416576785,20-10-2011
Curimatidae,Steindachneri guentheri,gbifID_1699616084,-73.454167,3.870833,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1699616084,1-02-2006
Curimatidae,Steindachneri guentheri,Vernet_03180,-76.4375,0.545833,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/fmnh/fishes?id=651026f8-24d6-4af5-b663-264b149dad60,13-10-1981
Curimatidae,Steindachneri guentheri,gbifID_2416572194,-72.929167,3.2375,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2416572194,10-11-2011
Curimatidae,Steindachneri guentheri,gbifID_3394047657,-73.773139,2.243361,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:3394047657,29-10-2016
Curimatidae,Steindachneri guentheri,gbifID_666645003,-76.204167,0.154167,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:666645003,4-10-1983
Curimatidae,Steindachneri guentheri,Fishnet_00824,-76.604167,0.404167,https://fishnet2.net/,FishNet 2,NA,NA,5-10-1981
Curimatidae,Steindachneri guentheri,gbifID_2416576383,-73.76,3.82,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:2416576383,9-12-2013
Curimatidae,Steindachneri guentheri,gbifID_1571749351,-71.486389,5.934444,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1571749351,NA
Curimatidae,Steindachneri guentheri,Fishnet_09944,-72.120833,4.154167,https://fishnet2.net/,FishNet 2,NA,NA,10-10-1978
Curimatidae,Steindachneri guentheri,Vernet_01738,-76.945833,0.529167,http://www.vertnet.org/,VertNet,NA,http://portal.vertnet.org/o/fmnh/fishes?id=6ef55f12-0013-4c02-b389-5dfd201df47e,27-11-1983
Curimatidae,Steindachneri guentheri,gbifID_1571749208,-71.4875,5.9125,https://doi.org/10.15468/dl.5wk4ue,GBIF (the Global Biodiversity Information Facility),NA,gbifID:1571749208,NA
