"specie","longitude","latitude"
"Curimata acutirostris",-50.5875,-13.2375
"Curimata acutirostris",-53.417221,-15.345
"Curimata acutirostris",-51.831111,-16.551667
"Curimata acutirostris",-50.775556,-14.346389
"Curimata acutirostris",-50.5975,-15.730278
"Curimata acutirostris",-51.3225,-15.934444
"Curimata acutirostris",-47.688056,-7.27
"Curimata acutirostris",-50.9875,-14.370833
"Curimata acutirostris",-50.986449,-14.554895
"Curimata acutirostris",-48.4625,-11.3125
"Curimata acutirostris",-48.454167,-11.2625
"Curimata acutirostris",-48.517889,-10.971653
"Curimata acutirostris",-48.3875,-10.095833
"Curimata acutirostris",-48.419528,-10.246056
"Curimata acutirostris",-48.420833,-10.420833
"Curimata acutirostris",-48.382139,-10.069694
"Curimata acutirostris",-48.359417,-9.728222
"Curimata acutirostris",-48.364722,-9.751417
"Curimata acutirostris",-48.354167,-12.245833
"Curimata acutirostris",-48.265409,-12.339711
"Curimata acutirostris",-47.868704,-12.63637
"Curimata acutirostris",-48.270833,-12.604167
"Curimata acutirostris",-47.404167,-6.379167
"Curimata acutirostris",-47.496111,-5.715833
"Curimata acutirostris",-48.420556,-10.720833
"Curimata acutirostris",-50.604712,-13.053164
"Curimata acutirostris",-47.444444,-5.631667
"Curimata acutirostris",-48.835602,-5.296838
"Curimata acutirostris",-50.35,-13.23
"Curimata acutirostris",-48.145833,-13.4375
"Curimata acutirostris",-48.617222,-11.790833
"Curimata acutirostris",-48.120833,-8.745833
"Curimata acutirostris",-50.161389,-9.720556
"Curimata acutirostris",-48.179444,-8.974444
"Curimata acutirostris",-48.404167,-9.775556
"Curimata acutirostris",-48.563438,-11.025278
"Curimata acutirostris",-48.2125,-12.504167
"Curimata acutirostris",-47.47716,-6.624754
"Curimata acutirostris",-50.67159,-6.079524
"Curimata acutirostris",-50.603622,-6.332801
"Curimata acutirostris",-48.479447,-12.19719
"Curimata acutirostris",-50.604191,-13.172448
"Curimata acutirostris",-50.2125,-5.720833
"Curimata acutirostris",-49.170833,-10.429167
"Curimata acutirostris",-48.505031,-11.185368
"Curimata acutirostris",-50.570833,-12.845833
"Curimata acutirostris",-49.970833,-9.279167
"Curimata acutirostris",-50.870766,-13.238279
"Curimata acutirostris",-49.579167,-5.520833
"Curimata acutirostris",-47.579621,-6.385692
"Curimata acutirostris",-47.430278,-6.076667
"Curimata acutirostris",-48.1585,-12.966
"Curimata acutirostris",-50.521092,-13.106584
"Curimata acutirostris",-48.429167,-10.6625
"Curimata acutirostris",-49.6125,-5.620833
"Curimata acutirostris",-50.570411,-13.412014
"Curimata acutirostris",-50.7125,-13.404167
"Curimata acutirostris",-48.366667,-10.794167
