"specie","longitude","latitude"
"Curimata aspera",-77.826,-1.919
"Curimata aspera",-75.295833,0.654167
"Curimata aspera",-77.2375,-2.254167
"Curimata aspera",-74.701556,-8.938442
"Curimata aspera",-75.5375,0.8125
"Curimata aspera",-75.512035,0.849387
"Curimata aspera",-74.570833,-8.304167
"Curimata aspera",-65.445833,-10.854167
"Curimata aspera",-74.1667,-4.8333
"Curimata aspera",-64.304167,-12.5375
"Curimata aspera",-71.604167,0.945833
"Curimata aspera",-63.195833,-5.629167
"Curimata aspera",-71.8625,-3.329167
"Curimata aspera",-77.727559,-4.128046
"Curimata aspera",-77.310047,-3.820371
"Curimata aspera",-76.458333,-5.9625
"Curimata aspera",-59.708333,-3.229167
"Curimata aspera",-76.954167,0.4375
"Curimata aspera",-70.3625,-3.8125
"Curimata aspera",-75.570833,0.8375
"Curimata aspera",-74.8125,1.270833
"Curimata aspera",-76.97896,0.679519
"Curimata aspera",-67.745833,-2.770833
"Curimata aspera",-74.845833,1.270833
"Curimata aspera",-64.295833,-12.529167
"Curimata aspera",-64.2125,-12.570833
"Curimata aspera",-69.7625,-2.845833
"Curimata aspera",-76.945833,0.479399
"Curimata aspera",-65.954167,-2.5625
"Curimata aspera",-75.881557,0.304569
"Curimata aspera",-64.279167,-12.495833
"Curimata aspera",-73.44807,-4.44876
"Curimata aspera",-70.104167,-4.170833
"Curimata aspera",-72.5625,-1.1625
"Curimata aspera",-64.2625,-12.479167
"Curimata aspera",-69.979167,-3.1125
"Curimata aspera",-55.3875,-2.420833
"Curimata aspera",-69.940556,-4.215278
"Curimata aspera",-64.295833,-12.495833
"Curimata aspera",-76.595833,0.370833
