"specie","longitude","latitude"
"Curimata cerasina",-67.429167,7.904167
"Curimata cerasina",-67.629167,7.545833
"Curimata cerasina",-69.279167,8.8125
"Curimata cerasina",-67.7125,8.145833
"Curimata cerasina",-67.629167,8.2625
"Curimata cerasina",-69.495833,9.3625
"Curimata cerasina",-66.2125,7.654167
"Curimata cerasina",-69.329167,7.754167
"Curimata cerasina",-69.504167,7.5125
"Curimata cerasina",-67.4875,7.8875
"Curimata cerasina",-69.345,8.8275
"Curimata cerasina",-69.7125,9.204167
"Curimata cerasina",-68.5375,8.5875
"Curimata cerasina",-67.604167,8.104167
"Curimata cerasina",-65.904167,3.479167
"Curimata cerasina",-64.845833,7.6375
"Curimata cerasina",-69.645833,9.145833
"Curimata cerasina",-72.105278,4.641111
"Curimata cerasina",-68.854167,7.220833
"Curimata cerasina",-67.570833,8.304167
"Curimata cerasina",-69.678045,9.088422
"Curimata cerasina",-69.662265,9.013445
"Curimata cerasina",-65.908118,3.413029
"Curimata cerasina",-66.253476,7.636904
"Curimata cerasina",-64.82062,7.661798
"Curimata cerasina",-69.978668,8.64797
"Curimata cerasina",-69.917945,8.778195
"Curimata cerasina",-68.9375,7.8875
"Curimata cerasina",-69.354644,8.176904
"Curimata cerasina",-69.603221,8.960679
"Curimata cerasina",-69.2528,7.5694
"Curimata cerasina",-67.5333,7.5472
"Curimata cerasina",-69.5056,9.0972
"Curimata cerasina",-69.5708,8.744975
"Curimata cerasina",-69.7986,8.7486
"Curimata cerasina",-67.978351,7.99467
"Curimata cerasina",-69.396121,8.803375
"Curimata cerasina",-66.5275,7.8128
"Curimata cerasina",-69.2028,8.9417
"Curimata cerasina",-68.646954,8.628613
"Curimata cerasina",-68.0778,9.0333
"Curimata cerasina",-69.517496,8.345673
"Curimata cerasina",-68.370829,8.488824
"Curimata cerasina",-69.020833,8.820833
"Curimata cerasina",-67.854167,9.054167
"Curimata cerasina",-68.479167,7.929167
"Curimata cerasina",-69.331226,8.055254
"Curimata cerasina",-69.5944,7.4222
"Curimata cerasina",-67.387373,7.844975
"Curimata cerasina",-68.3472,8.763824
"Curimata cerasina",-67.178959,8.329061
"Curimata cerasina",-67.154136,7.962564
"Curimata cerasina",-69.546304,8.863436
"Curimata cerasina",-69.346684,7.930279
"Curimata cerasina",-69.312131,8.104569
"Curimata cerasina",-69.3167,7.8389
"Curimata cerasina",-69.521082,8.295241
"Curimata cerasina",-69.421248,8.454734
"Curimata cerasina",-68.803823,9.429073
"Curimata cerasina",-69.845031,8.980711
"Curimata cerasina",-67.495689,8.112472
"Curimata cerasina",-67.15,8.9917
"Curimata cerasina",-70.12987,8.970241
"Curimata cerasina",-69.0875,8.9375
"Curimata cerasina",-69.3375,8.979167
"Curimata cerasina",-68.9611,9.7
"Curimata cerasina",-69.4556,7.6222
"Curimata cerasina",-66.793258,7.945701
"Curimata cerasina",-69.412262,7.45433
"Curimata cerasina",-66.729704,7.887547
"Curimata cerasina",-67.380571,7.345419
"Curimata cerasina",-69.18802,8.506273
"Curimata cerasina",-67.27915,7.561409
