"specie","longitude","latitude"
"Curimata cisandina",-72.854167,-3.454167
"Curimata cisandina",-74.320833,-5.1875
"Curimata cisandina",-59.995833,-3.1625
"Curimata cisandina",-76.429167,0.254167
"Curimata cisandina",-66.789036,-2.746066
"Curimata cisandina",-69.946982,-4.224876
"Curimata cisandina",-61.254167,1.504167
"Curimata cisandina",-73.2125,-3.854167
"Curimata cisandina",-66.804167,-2.504167
"Curimata cisandina",-68.929167,-3.570833
"Curimata cisandina",-69.954167,-4.204167
"Curimata cisandina",-59.795833,-3.220833
"Curimata cisandina",-75.881557,0.304569
"Curimata cisandina",-70.2875,-4.3625
"Curimata cisandina",-73.170833,-3.7625
"Curimata cisandina",-76.460489,-5.698306
"Curimata cisandina",-73.104167,-3.4875
"Curimata cisandina",-74.970833,-7.604167
"Curimata cisandina",-75.570833,0.8375
"Curimata cisandina",-75.495833,-1.395833
"Curimata cisandina",-70.36498,-3.785828
"Curimata cisandina",-75.512035,0.849387
"Curimata cisandina",-70.366392,-3.783645
"Curimata cisandina",-70.254167,-3.820833
"Curimata cisandina",-70.291667,-4.354167
"Curimata cisandina",-69.979167,-3.1125
"Curimata cisandina",-74.378542,0.752949
"Curimata cisandina",-61.736084,0.479962
"Curimata cisandina",-66.745125,-2.737857
"Curimata cisandina",-76.420833,-0.2875
"Curimata cisandina",-66.079167,-2.520833
"Curimata cisandina",-75.895439,-0.261918
"Curimata cisandina",-70.044903,-4.369564
"Curimata cisandina",-70.3875,3.7625
"Curimata cisandina",-75.571374,-0.830119
"Curimata cisandina",-75.484728,-1.012849
"Curimata cisandina",-75.437702,-0.88618
"Curimata cisandina",-70.069459,-4.303891
"Curimata cisandina",-74.349417,-0.751807
"Curimata cisandina",-72.670833,-3.3875
"Curimata cisandina",-74.520833,-8.4125
"Curimata cisandina",-73.316258,-3.757664
"Curimata cisandina",-73.363742,-3.78237
"Curimata cisandina",-61.279167,3.395833
"Curimata cisandina",-52.845833,-12.9375
"Curimata cisandina",-73.5875,-4.529167
