"specie","longitude","latitude"
"Curimata cyprinoides",-53.604167,5.404167
"Curimata cyprinoides",-57.179167,5.529167
"Curimata cyprinoides",-58.295833,6.404167
"Curimata cyprinoides",-55.4625,5.545833
"Curimata cyprinoides",-58.6125,3.804167
"Curimata cyprinoides",-59.3375,3.579167
"Curimata cyprinoides",-52.604167,3.920833
"Curimata cyprinoides",-57.170833,5.5125
"Curimata cyprinoides",-52.770833,4.9375
"Curimata cyprinoides",-53.429167,5.420833
"Curimata cyprinoides",-52.5625,3.945833
"Curimata cyprinoides",-52.561944,3.981667
"Curimata cyprinoides",-61.294289,8.479619
"Curimata cyprinoides",-53.595833,5.3875
"Curimata cyprinoides",-53.32092,5.2731
"Curimata cyprinoides",-57.245833,5.420833
"Curimata cyprinoides",-59.329167,3.704167
"Curimata cyprinoides",-55.5875,5.670833
"Curimata cyprinoides",-52.5758,3.89171
"Curimata cyprinoides",-60.8625,8.5375
"Curimata cyprinoides",-63.1375,-7.5125
"Curimata cyprinoides",-57.2875,4.995833
"Curimata cyprinoides",-52.595833,3.995833
"Curimata cyprinoides",-58.6781,5.29869
"Curimata cyprinoides",-65.663,-11.631
"Curimata cyprinoides",-54.645833,5.470833
"Curimata cyprinoides",-52.395833,4.204167
"Curimata cyprinoides",-52.2125,4.5125
"Curimata cyprinoides",-59.820833,3.4125
"Curimata cyprinoides",-52.291667,4.5625
"Curimata cyprinoides",-59.829167,8.154167
"Curimata cyprinoides",-59.329167,3.6625
"Curimata cyprinoides",-58.633333,7.483333
"Curimata cyprinoides",-59.395833,5.8375
"Curimata cyprinoides",-58.295833,6.4375
"Curimata cyprinoides",-57.154167,5.8375
"Curimata cyprinoides",-58.720833,6.395833
"Curimata cyprinoides",-53.529167,5.529167
"Curimata cyprinoides",-52.770833,4.929167
"Curimata cyprinoides",-52.3625,4.1875
"Curimata cyprinoides",-59.829167,3.345833
"Curimata cyprinoides",-57.304167,5.129167
"Curimata cyprinoides",-68.125,9.875
"Curimata cyprinoides",-57.7125,5.929167
"Curimata cyprinoides",-59.2375,7.670833
"Curimata cyprinoides",-58.303749,5.995968
"Curimata cyprinoides",-68.5375,8.770833
"Curimata cyprinoides",-52.129167,4.3125
"Curimata cyprinoides",-59.679167,3.620833
"Curimata cyprinoides",-57.1625,5.2875
"Curimata cyprinoides",-59.2875,3.754167
"Curimata cyprinoides",-58.82222,4.81111
"Curimata cyprinoides",-57.1875,5.570833
"Curimata cyprinoides",-60.375,6.958333
"Curimata cyprinoides",-52.3,4.56
"Curimata cyprinoides",-54.529167,5.520833
"Curimata cyprinoides",-53.433333,5.416667
"Curimata cyprinoides",-69.58892,7.384552
"Curimata cyprinoides",-52.795833,4.895833
"Curimata cyprinoides",-51.704167,-7.1875
"Curimata cyprinoides",-48.316667,-13.833333
"Curimata cyprinoides",-60.820833,8.5875
"Curimata cyprinoides",-55.160487,5.804304
"Curimata cyprinoides",-61.945833,-10.8875
"Curimata cyprinoides",-53.43,5.41
"Curimata cyprinoides",-55.754167,4.2375
"Curimata cyprinoides",-57.1875,5.2125
"Curimata cyprinoides",-58.16483,5.17152
"Curimata cyprinoides",-52.779167,4.9125
"Curimata cyprinoides",-51.945833,4.470833
"Curimata cyprinoides",-58.795833,7.654167
"Curimata cyprinoides",-59.2875,3.895833
"Curimata cyprinoides",-53.8311,3.39217
"Curimata cyprinoides",-52.776389,4.917778
"Curimata cyprinoides",-54.329167,-1.929167
"Curimata cyprinoides",-59.320833,3.704167
"Curimata cyprinoides",-48.495833,-11.204167
"Curimata cyprinoides",-48.4625,-11.3125
"Curimata cyprinoides",-53.829167,5.679167
"Curimata cyprinoides",-57.995833,6.545833
"Curimata cyprinoides",-59.30792,3.6964
"Curimata cyprinoides",-65.667,-11.118
"Curimata cyprinoides",-58.3625,6.529167
"Curimata cyprinoides",-50.313611,-5.668611
"Curimata cyprinoides",-54.15,5.33333
"Curimata cyprinoides",-53.695833,5.420833
