"specie","longitude","latitude"
"Curimata incompta",-68.7875,5.829167
"Curimata incompta",-66.204167,5.104167
"Curimata incompta",-65.204167,7.3625
"Curimata incompta",-70.254167,-3.820833
"Curimata incompta",-61.420833,8.4625
"Curimata incompta",-66.9625,5.095833
"Curimata incompta",-66.96112,3.70278
"Curimata incompta",-66.7625,4.120833
"Curimata incompta",-62.18,8.72
"Curimata incompta",-68.4795,5.744639
"Curimata incompta",-66.190745,5.144909
"Curimata incompta",-65.604167,5.504167
"Curimata incompta",-66.295833,4.670833
"Curimata incompta",-73.7625,2.2375
"Curimata incompta",-63.585519,8.149958
"Curimata incompta",-62.2375,8.654167
"Curimata incompta",-66.4375,3.954167
"Curimata incompta",-69.946982,-4.224876
"Curimata incompta",-61.995833,8.679167
"Curimata incompta",-67.4125,6.179167
"Curimata incompta",-62.4375,8.520833
"Curimata incompta",-65.69482,3.15842
"Curimata incompta",-63.445833,8.1625
"Curimata incompta",-62.183333,8.716667
"Curimata incompta",-62.170833,0.704167
"Curimata incompta",-65.604167,5.495833
"Curimata incompta",-68.5125,5.7375
"Curimata incompta",-67.470833,6.2125
"Curimata incompta",-68.469472,5.557861
"Curimata incompta",-62.1125,8.729167
"Curimata incompta",-65.795833,1.8125
"Curimata incompta",-65.907339,2.834884
"Curimata incompta",-70.366392,-3.783645
"Curimata incompta",-66.179167,5.445833
"Curimata incompta",-66.154167,7.645833
"Curimata incompta",-67.620833,5.595833
"Curimata incompta",-66.2125,7.654167
"Curimata incompta",-68.120833,3.9375
"Curimata incompta",-62.1833,8.7167
"Curimata incompta",-62.129167,8.7125
"Curimata incompta",-61.429167,8.529167
"Curimata incompta",-65.956523,7.667518
"Curimata incompta",-64.9733,6.3639
"Curimata incompta",-62.445833,8.520833
"Curimata incompta",-67.8375,7.970833
"Curimata incompta",-67.8375,5.320833
"Curimata incompta",-67.695833,6.1375
"Curimata incompta",-67.3875,7.2625
"Curimata incompta",-64.8875,7.629167
"Curimata incompta",-73.879278,2.292528
"Curimata incompta",-67.420833,6.545833
"Curimata incompta",-67.404167,6.545833
"Curimata incompta",-69.945833,-4.129167
"Curimata incompta",-71.120833,4.870833
"Curimata incompta",-65.1625,7.1956
"Curimata incompta",-62.6625,8.379167
"Curimata incompta",-68.8795,5.795194
"Curimata incompta",-65.87731,3.11385
"Curimata incompta",-65.81384,5.15189
"Curimata incompta",-69.954167,-4.204167
"Curimata incompta",-67.9625,4.145833
"Curimata incompta",-67.829167,6.554167
"Curimata incompta",-67.4375,6.554167
"Curimata incompta",-67.8375,7.104167
"Curimata incompta",-73.916583,2.202694
"Curimata incompta",-66.629167,5.2875
"Curimata incompta",-69.8625,6.395833
