"specie","longitude","latitude"
"Curimata inornata",-49.38364,-1.26763
"Curimata inornata",-50.154167,-1.3625
"Curimata inornata",-57.529167,-5.879167
"Curimata inornata",-48.404167,-10.5875
"Curimata inornata",-64.670833,-3.2625
"Curimata inornata",-47.688056,-7.27
"Curimata inornata",-47.579167,-7.445833
"Curimata inornata",-50.970833,-16.220833
"Curimata inornata",-50.879167,-15.395833
"Curimata inornata",-54.720833,-2.395833
"Curimata inornata",-50.5875,-13.3625
"Curimata inornata",-52.370833,-3.629167
"Curimata inornata",-52.204167,-3.395833
"Curimata inornata",-52.728669,-3.287622
"Curimata inornata",-51.8875,-3.5875
"Curimata inornata",-51.720833,-3.4125
"Curimata inornata",-51.6125,-3.570833
"Curimata inornata",-51.5831,-3.75673
"Curimata inornata",-51.438829,-1.77872
"Curimata inornata",-53.254167,-13.820833
"Curimata inornata",-56.1625,-4.3625
"Curimata inornata",-53.945396,-13.479697
"Curimata inornata",-53.109722,-13.596944
"Curimata inornata",-53.249722,-13.839444
"Curimata inornata",-53.970967,-13.479522
"Curimata inornata",-53.379441,-13.421148
"Curimata inornata",-56.512778,-9.451944
"Curimata inornata",-55.329167,-11.6375
"Curimata inornata",-55.428167,-7.645967
"Curimata inornata",-55.245833,-11.7125
"Curimata inornata",-56.491111,-9.452778
"Curimata inornata",-56.775833,-9.332222
"Curimata inornata",-56.778333,-9.343889
"Curimata inornata",-56.545833,-9.420833
"Curimata inornata",-59.445833,-10.1625
"Curimata inornata",-52.3625,-3.554167
"Curimata inornata",-52.192778,-3.216389
"Curimata inornata",-57.419444,-8.846944
"Curimata inornata",-47.366667,-13.266667
"Curimata inornata",-55.975,-1.646389
"Curimata inornata",-58.520833,-3.195833
"Curimata inornata",-51.870915,-14.504208
"Curimata inornata",-58.2875,-10.454167
"Curimata inornata",-58.3375,-10.4375
"Curimata inornata",-53.896179,-13.519965
"Curimata inornata",-53.436507,-13.338942
"Curimata inornata",-53.256111,-13.852222
"Curimata inornata",-55.866667,-1.766667
"Curimata inornata",-55.833333,-1.866667
"Curimata inornata",-54.954167,-2.504167
"Curimata inornata",-57.5375,-1.804167
"Curimata inornata",-63.154167,-4.804167
"Curimata inornata",-56.254167,-4.420833
"Curimata inornata",-55.995833,-4.2875
"Curimata inornata",-56.2875,-4.620833
"Curimata inornata",-51.704167,-3.120833
"Curimata inornata",-56.254167,-4.454167
"Curimata inornata",-50.520833,-5.8625
"Curimata inornata",-55.8375,-4.204167
