"specie","longitude","latitude"
"Curimata knerii",-63.2625,0.620833
"Curimata knerii",-59.995833,-3.1625
"Curimata knerii",-54.791667,-2.125
"Curimata knerii",-55.833332,-1.866667
"Curimata knerii",-66.789036,-2.746066
"Curimata knerii",-54.890833,-2.435944
"Curimata knerii",-60.295833,-2.354167
"Curimata knerii",-56.254167,-4.445833
"Curimata knerii",-54.954167,-2.495833
"Curimata knerii",-60.283333,-3.416667
"Curimata knerii",-61.8125,-9.629167
"Curimata knerii",-61.5875,-9.395833
"Curimata knerii",-61.670833,-9.9375
"Curimata knerii",-54.890833,-2.441389
"Curimata knerii",-54.894611,-2.436778
"Curimata knerii",-55.345833,-3.5875
"Curimata knerii",-55.995833,-4.2875
"Curimata knerii",-55.4625,-2.170833
"Curimata knerii",-55.139197,-2.327789
"Curimata knerii",-59.8875,-7.2125
"Curimata knerii",-62.201861,-8.837194
"Curimata knerii",-54.6875,-2.445833
"Curimata knerii",-54.739873,-2.413969
"Curimata knerii",-54.7375,-2.4125
"Curimata knerii",-54.704167,-2.4125
"Curimata knerii",-61.569636,-8.919808
"Curimata knerii",-54.970833,-2.479167
"Curimata knerii",-66.970406,-2.983333
"Curimata knerii",-54.950001,-2.5
"Curimata knerii",-57.554167,-3.804167
"Curimata knerii",-59.829167,-2.920833
"Curimata knerii",-56.153716,-2.132691
"Curimata knerii",-52.179167,-1.779167
"Curimata knerii",-60.195833,-3.2875
"Curimata knerii",-62.179167,-8.895833
"Curimata knerii",-59.330278,-2.123056
"Curimata knerii",-61.907114,-9.407833
"Curimata knerii",-58.916667,-3.616111
"Curimata knerii",-63.1375,-7.5125
"Curimata knerii",-66.804167,-2.504167
"Curimata knerii",-62.3666,-8.696919
"Curimata knerii",-54.354167,-2.595833
"Curimata knerii",-62.365103,-8.695333
"Curimata knerii",-70.2875,-4.3625
"Curimata knerii",-62.945833,-7.745833
"Curimata knerii",-58.920833,-3.395833
"Curimata knerii",-61.674364,-9.327211
"Curimata knerii",-61.304167,-5.820833
"Curimata knerii",-60.104167,-3.195833
"Curimata knerii",-59.454167,0.704167
"Curimata knerii",-61.907114,-9.40783
"Curimata knerii",-54.890833,-2.436111
"Curimata knerii",-61.6875,-6.629167
"Curimata knerii",-56.720833,-2.604167
"Curimata knerii",-62.374639,-8.664556
"Curimata knerii",-55.900002,-1.766667
"Curimata knerii",-61.670833,-9.4625
"Curimata knerii",-65.4375,-9.679167
"Curimata knerii",-60.445833,-3.429167
"Curimata knerii",-60.208333,-3.958333
"Curimata knerii",-70.291667,-4.354167
"Curimata knerii",-56.778056,-9.321667
"Curimata knerii",-62.791667,-1.958333
"Curimata knerii",-62.095833,-1.8125
"Curimata knerii",-57.995833,-9.129167
"Curimata knerii",-53.236174,0.954101
"Curimata knerii",-56.2875,-4.5125
"Curimata knerii",-61.454167,-1.6125
"Curimata knerii",-52.595833,0.570833
"Curimata knerii",-55.866667,-1.766667
"Curimata knerii",-55.9,-1.766667
"Curimata knerii",-55.833333,-1.866667
"Curimata knerii",-58.920833,-4.970833
"Curimata knerii",-56.254167,-4.454167
"Curimata knerii",-54.954167,-2.504167
