"specie","longitude","latitude"
"Curimata mivartii",-74.5375,8.320833
"Curimata mivartii",-75.1875,7.9875
"Curimata mivartii",-74.975744,8.2955
"Curimata mivartii",-75.334652,7.347807
"Curimata mivartii",-74.979167,8.295833
"Curimata mivartii",-74.745833,8.9625
"Curimata mivartii",-74.518891,8.318382
"Curimata mivartii",-75.954167,8.979167
"Curimata mivartii",-74.494534,8.332565
"Curimata mivartii",-74.474572,8.893717
"Curimata mivartii",-74.954167,8.3375
"Curimata mivartii",-75.280106,7.68841
"Curimata mivartii",-74.487301,8.364349
"Curimata mivartii",-75.282512,7.666725
"Curimata mivartii",-74.975747,8.2954
"Curimata mivartii",-74.534268,8.470962
"Curimata mivartii",-74.454167,8.879167
"Curimata mivartii",-75.1375,8.120833
"Curimata mivartii",-74.519602,8.631612
"Curimata mivartii",-74.1125,6.729167
"Curimata mivartii",-74.772674,8.88431
"Curimata mivartii",-74.474569,8.893715
"Curimata mivartii",-74.534208,8.466551
"Curimata mivartii",-74.5375,8.345833
"Curimata mivartii",-74.519857,8.317953
"Curimata mivartii",-73.8625,7.4125
"Curimata mivartii",-75.195833,7.8625
"Curimata mivartii",-74.461674,8.732033
"Curimata mivartii",-74.542613,8.308352
"Curimata mivartii",-74.452681,8.877404
"Curimata mivartii",-74.772664,8.88322
"Curimata mivartii",-73.829167,6.904167
"Curimata mivartii",-75.3559,7.582674
"Curimata mivartii",-75.257052,7.748392
"Curimata mivartii",-75.1625,8.120833
"Curimata mivartii",-75.198694,7.957806
"Curimata mivartii",-75.207532,7.956473
"Curimata mivartii",-75.320833,7.4625
"Curimata mivartii",-74.4875,8.3375
"Curimata mivartii",-74.542614,8.30835
"Curimata mivartii",-75.195833,8.120833
"Curimata mivartii",-75.36237,7.322469
"Curimata mivartii",-75.245833,8.179167
"Curimata mivartii",-74.495833,8.279167
"Curimata mivartii",-74.448508,8.861486
"Curimata mivartii",-74.520833,8.595833
"Curimata mivartii",-74.835557,10.279222
"Curimata mivartii",-74.452687,8.877409
"Curimata mivartii",-74.995833,10.345833
"Curimata mivartii",-75.205722,7.797778
"Curimata mivartii",-73.857634,7.191635
"Curimata mivartii",-75.28003,7.688407
"Curimata mivartii",-74.51911,8.70418
"Curimata mivartii",-74.494528,8.332564
"Curimata mivartii",-74.731689,8.242797
"Curimata mivartii",-75.204167,7.954167
"Curimata mivartii",-75.3375,7.495833
"Curimata mivartii",-74.39828,6.50758
"Curimata mivartii",-74.554167,8.3375
"Curimata mivartii",-74.398,6.497
"Curimata mivartii",-75.604167,8.204167
"Curimata mivartii",-74.679167,6.604167
"Curimata mivartii",-75.229225,7.951077
"Curimata mivartii",-75.875,8.125
"Curimata mivartii",-75.354167,7.579167
"Curimata mivartii",-75.438799,7.251453
"Curimata mivartii",-75.207825,7.956244
"Curimata mivartii",-75.920833,8.1125
"Curimata mivartii",-74.519101,8.704177
"Curimata mivartii",-75.129167,10.3875
"Curimata mivartii",-75.259021,7.748245
"Curimata mivartii",-73.856945,7.174364
"Curimata mivartii",-74.74618,5.68918
"Curimata mivartii",-73.8625,7.1625
"Curimata mivartii",-75.445833,7.254167
"Curimata mivartii",-74.9875,8.154167
"Curimata mivartii",-73.8125,7.9625
"Curimata mivartii",-74.754428,8.202104
"Curimata mivartii",-75.1512,8.19338
"Curimata mivartii",-74.553019,8.568936
"Curimata mivartii",-73.995833,6.929167
"Curimata mivartii",-75.197969,7.956169
"Curimata mivartii",-74.680097,8.255356
"Curimata mivartii",-75.189359,7.970703
"Curimata mivartii",-74.592492,8.295486
"Curimata mivartii",-75.18916,7.98916
"Curimata mivartii",-75.145833,8.2125
"Curimata mivartii",-75.404167,7.579167
"Curimata mivartii",-75.350106,7.58176
"Curimata mivartii",-74.779167,7.970833
"Curimata mivartii",-75.18936,7.970699
"Curimata mivartii",-75.254167,7.954167
"Curimata mivartii",-75.20781,7.95594
"Curimata mivartii",-75.3125,7.3875
"Curimata mivartii",-74.579167,8.254167
"Curimata mivartii",-75.184028,7.94425
"Curimata mivartii",-74.3981,6.4972
"Curimata mivartii",-74.874703,8.5593
"Curimata mivartii",-74.445833,8.704167
"Curimata mivartii",-75.545833,8.879167
"Curimata mivartii",-74.398,6.508
"Curimata mivartii",-75.170833,8.3875
"Curimata mivartii",-74.397,6.577
"Curimata mivartii",-74.448507,8.861492
"Curimata mivartii",-74.470833,8.895833
"Curimata mivartii",-75.361468,7.322095
"Curimata mivartii",-75.241722,7.944889
"Curimata mivartii",-74.91289,10.240202
"Curimata mivartii",-75.804167,8.1125
"Curimata mivartii",-75.2625,7.745833
"Curimata mivartii",-73.923072,7.202702
"Curimata mivartii",-73.84208,7.174049
"Curimata mivartii",-74.551792,8.337356
"Curimata mivartii",-75.13696,8.3118
"Curimata mivartii",-74.39806,6.49722
"Curimata mivartii",-75.194872,7.963422
"Curimata mivartii",-73.837056,7.163444
"Curimata mivartii",-73.89313,7.41139
"Curimata mivartii",-74.874444,8.55833
"Curimata mivartii",-75.154167,8.1875
"Curimata mivartii",-73.845833,7.104167
"Curimata mivartii",-74.474961,8.896211
"Curimata mivartii",-74.754403,8.202188
"Curimata mivartii",-75.5875,7.1875
"Curimata mivartii",-74.557153,8.573083
"Curimata mivartii",-73.904167,7.354167
"Curimata mivartii",-73.905719,7.354768
"Curimata mivartii",-73.904167,7.395833
