"specie","longitude","latitude"
"Curimata ocellata",-57.195833,-1.729167
"Curimata ocellata",-57.529167,-5.879167
"Curimata ocellata",-53.379441,-13.421148
"Curimata ocellata",-52.3625,-3.554167
"Curimata ocellata",-51.967222,-3.368056
"Curimata ocellata",-52.192778,-3.216389
"Curimata ocellata",-51.704167,-3.120833
"Curimata ocellata",-60.6375,-3.220833
"Curimata ocellata",-55.9,-1.766667
"Curimata ocellata",-56.254167,-4.454167
"Curimata ocellata",-65.129167,0.329167
"Curimata ocellata",-64.870453,0.545506
"Curimata ocellata",-51.429167,-2.1875
"Curimata ocellata",-58.920833,-4.970833
"Curimata ocellata",-59.473241,-1.921187
"Curimata ocellata",-60.156783,-3.32933
"Curimata ocellata",-59.8875,-3.1625
"Curimata ocellata",-60.079167,-3.129167
"Curimata ocellata",-59.5375,-3.154167
"Curimata ocellata",-60.264928,-3.497874
"Curimata ocellata",-66.504167,-2.404167
"Curimata ocellata",-66.354167,-2.6125
"Curimata ocellata",-66.3375,-2.045833
"Curimata ocellata",-66.043889,-1.983333
"Curimata ocellata",-66.129167,-2.0875
"Curimata ocellata",-65.729167,-2.720833
"Curimata ocellata",-66.354167,-2.320833
"Curimata ocellata",-65.604333,-2.711
"Curimata ocellata",-64.779167,-3.1125
"Curimata ocellata",-64.833556,-3.202167
"Curimata ocellata",-62.5865,-3.8915
"Curimata ocellata",-63.877667,-3.8545
"Curimata ocellata",-62.370833,-3.795833
"Curimata ocellata",-61.684333,-3.750944
"Curimata ocellata",-62.004667,-3.924667
"Curimata ocellata",-61.476833,-3.9225
"Curimata ocellata",-61.154167,-3.579167
"Curimata ocellata",-60.835,-3.643167
"Curimata ocellata",-63.6875,-3.6125
"Curimata ocellata",-63.542167,-3.7515
"Curimata ocellata",-62.420833,-3.895833
"Curimata ocellata",-62.804167,-3.895833
"Curimata ocellata",-57.223472,-2.800778
"Curimata ocellata",-57.595389,-2.365472
"Curimata ocellata",-57.629167,-2.4375
"Curimata ocellata",-58.098222,-2.900556
"Curimata ocellata",-57.179167,-2.5375
"Curimata ocellata",-58.695833,-3.2625
"Curimata ocellata",-57.531389,-2.876944
"Curimata ocellata",-58.645833,-3.2875
"Curimata ocellata",-57.703611,-3.17525
"Curimata ocellata",-59.279167,-3.120833
"Curimata ocellata",-57.494306,-2.776639
"Curimata ocellata",-57.745833,-3.054167
"Curimata ocellata",-65.178,-15.898
"Curimata ocellata",-65.012,-15.826
"Curimata ocellata",-65.138,-15.604
"Curimata ocellata",-64.994,-15.321
"Curimata ocellata",-65.246,-15.389
"Curimata ocellata",-65.013,-15.13
"Curimata ocellata",-65.162,-14.831
"Curimata ocellata",-65.031,-14.785
"Curimata ocellata",-64.913,-14.596
"Curimata ocellata",-64.939,-14.455
"Curimata ocellata",-65.188,-14.555
"Curimata ocellata",-66.027,-16.03
"Curimata ocellata",-65.96,-15.788
"Curimata ocellata",-67.153,-14.379
"Curimata ocellata",-66.993,-14.245
"Curimata ocellata",-67.171,-14.92
"Curimata ocellata",-66.863,-14.503
"Curimata ocellata",-65.263,-13.53
"Curimata ocellata",-65.222,-13.242
"Curimata ocellata",-65.004,-12.804
"Curimata ocellata",-65.017,-12.58
"Curimata ocellata",-65.121,-12.028
"Curimata ocellata",-65.03,-11.937
