"specie","longitude","latitude"
"Curimata roseni",-65.90577,2.837192
"Curimata roseni",-61.4375,0.6625
"Curimata roseni",-66.751557,4.121295
"Curimata roseni",-77.420664,0.485216
"Curimata roseni",-62.201861,-8.837194
"Curimata roseni",-59.988552,3.920595
"Curimata roseni",-74.1667,-4.8333
"Curimata roseni",-75.245833,0.654167
"Curimata roseni",-63.579167,-6.4375
"Curimata roseni",-55.870833,-1.770833
"Curimata roseni",-74.378524,0.752932
"Curimata roseni",-63.195833,-5.629167
"Curimata roseni",-74.8625,-5.295833
"Curimata roseni",-61.129167,1.7875
"Curimata roseni",-65.875806,3.140563
"Curimata roseni",-59.2875,3.895833
"Curimata roseni",-66.995833,3.9125
"Curimata roseni",-60.720833,2.8625
"Curimata roseni",-58.9625,-3.604167
"Curimata roseni",-69.829167,-2.870833
"Curimata roseni",-62.595833,-8.920833
"Curimata roseni",-70.52836,-2.71814
"Curimata roseni",-67.970833,-3.129167
"Curimata roseni",-66.4375,3.954167
"Curimata roseni",-74.554167,0.1125
"Curimata roseni",-73.25,-4.3333
"Curimata roseni",-59.304167,3.845833
"Curimata roseni",-73.230294,-3.757097
"Curimata roseni",-58.30611,5.93333
"Curimata roseni",-58.954167,-3.595833
"Curimata roseni",-62.711944,-8.340833
"Curimata roseni",-75.495833,0.554167
"Curimata roseni",-74.770833,0.154167
"Curimata roseni",-60.283333,-3.416667
"Curimata roseni",-55.4375,-2.479167
"Curimata roseni",-65.907339,2.834884
"Curimata roseni",-59.329167,3.6625
"Curimata roseni",-73.237543,-3.696283
"Curimata roseni",-63.521944,-6.559167
"Curimata roseni",-64.504167,0.479167
"Curimata roseni",-58.620833,-3.3375
"Curimata roseni",-66.970833,-2.8875
"Curimata roseni",-60.305306,-3.523587
"Curimata roseni",-73.295833,-3.7375
"Curimata roseni",-59.81935,3.41058
"Curimata roseni",-61.583332,-1.166667
"Curimata roseni",-58.30639,5.99333
"Curimata roseni",-59.779167,-4.3875
"Curimata roseni",-72.5625,-1.1625
"Curimata roseni",-72.4875,0.5625
"Curimata roseni",-76.606235,0.733169
"Curimata roseni",-61.569636,-8.919808
"Curimata roseni",-59.82132,3.41355
"Curimata roseni",-69.495833,3.870833
"Curimata roseni",-57.7125,-3.404167
"Curimata roseni",-69.954167,-1.304167
"Curimata roseni",-70.795833,-4.179167
"Curimata roseni",-54.795833,-2.2375
"Curimata roseni",-66.493391,2.230245
"Curimata roseni",-59.330278,-2.123056
"Curimata roseni",-55.150028,-2.634583
"Curimata roseni",-71.754167,-2.154167
"Curimata roseni",-69.764444,-2.730278
"Curimata roseni",-73.829167,-1.495833
"Curimata roseni",-66.7625,4.120833
"Curimata roseni",-70.585556,-3.697222
"Curimata roseni",-63.23946,-6.35499
"Curimata roseni",-72.5625,0.708333
"Curimata roseni",-70.2625,-4.3705
"Curimata roseni",-61.254167,1.504167
"Curimata roseni",-52.186111,-3.325
"Curimata roseni",-60.595556,3.375278
"Curimata roseni",-61.845,-1.278868
"Curimata roseni",-61.583333,-1.166667
