"specie","longitude","latitude"
"Curimata vittata",-66.970406,-2.983333
"Curimata vittata",-67.1125,-2.970833
"Curimata vittata",-62.929167,0.9625
"Curimata vittata",-51.454167,-1.8875
"Curimata vittata",-64.716667,-3.366667
"Curimata vittata",-66.9625,5.220833
"Curimata vittata",-74.504167,-5.404167
"Curimata vittata",-65.663,-11.631
"Curimata vittata",-58.795833,4.804167
"Curimata vittata",-65.2875,0.395833
"Curimata vittata",-55.579167,-2.6375
"Curimata vittata",-74.5125,-5.3875
"Curimata vittata",-59.995833,-3.129167
"Curimata vittata",-75.1875,0.2125
"Curimata vittata",-56.3625,-14.320833
"Curimata vittata",-64.620833,-2.470833
"Curimata vittata",-55.354167,-2.554167
"Curimata vittata",-62.201861,-8.837194
"Curimata vittata",-62.240002,-1.318056
"Curimata vittata",-63.55837,-13.30981
"Curimata vittata",-62.9375,-13.354167
"Curimata vittata",-65.295833,-9.954167
"Curimata vittata",-63.195833,-7.529167
"Curimata vittata",-61.4375,0.6625
"Curimata vittata",-66.8125,-2.9375
"Curimata vittata",-54.8625,-9.345833
"Curimata vittata",-66.8375,1.2875
"Curimata vittata",-60.104167,-3.195833
"Curimata vittata",-55.1375,-2.320833
"Curimata vittata",-74.4625,-5.345833
"Curimata vittata",-73.2625,-3.779167
"Curimata vittata",-64.870456,0.545506
"Curimata vittata",-69.529167,1.845833
"Curimata vittata",-56.4125,-4.279167
"Curimata vittata",-62.620833,-1.320833
"Curimata vittata",-55.4625,-2.170833
"Curimata vittata",-65.907339,2.834884
"Curimata vittata",-61.829167,-1.154167
"Curimata vittata",-64.929167,0.529167
"Curimata vittata",-67.429167,3.879167
"Curimata vittata",-66.804167,-2.504167
"Curimata vittata",-63.1125,-4.879167
"Curimata vittata",-72.5625,-1.1625
"Curimata vittata",-73.245833,-4.375
"Curimata vittata",-61.254167,1.504167
"Curimata vittata",-73.404167,0.7125
"Curimata vittata",-55.145833,-2.104167
"Curimata vittata",-54.739873,-2.413969
"Curimata vittata",-54.845833,-2.179167
"Curimata vittata",-65.129167,0.329167
"Curimata vittata",-59.995833,-3.1625
"Curimata vittata",-68.3625,4.104167
"Curimata vittata",-76.6722,-4.4303
"Curimata vittata",-57.7125,-3.404167
"Curimata vittata",-66.4375,3.954167
"Curimata vittata",-66.7625,4.120833
"Curimata vittata",-65.8125,4.495833
"Curimata vittata",-69.954167,-4.204167
"Curimata vittata",-66.954167,3.729167
"Curimata vittata",-56.652778,-1.428611
"Curimata vittata",-67.708333,0.120833
"Curimata vittata",-64.2875,-12.504167
"Curimata vittata",-58.520833,-3.1625
"Curimata vittata",-60.150002,-3.333333
"Curimata vittata",-75.495833,-1.395833
"Curimata vittata",-65.204167,7.3625
"Curimata vittata",-74.504167,-8.479167
"Curimata vittata",-60.979167,1.945833
"Curimata vittata",-64.758333,-3.408333
"Curimata vittata",-51.5375,-2.204167
"Curimata vittata",-71.8625,-3.329167
"Curimata vittata",-63.154167,-13.254167
"Curimata vittata",-68.209167,5.818417
"Curimata vittata",-64.879444,-9.391389
"Curimata vittata",-54.890833,-2.435944
"Curimata vittata",-63.1375,-7.5125
"Curimata vittata",-68.843389,5.79525
"Curimata vittata",-78.8625,-4.420833
"Curimata vittata",-76.1875,0.2875
"Curimata vittata",-72.6625,-7.6375
"Curimata vittata",-59.946091,-3.239697
"Curimata vittata",-58.606869,-3.29317
"Curimata vittata",-63.9125,-8.770833
"Curimata vittata",-56.254167,-4.445833
"Curimata vittata",-71.220833,-3.179167
"Curimata vittata",-67.454167,-9.229167
"Curimata vittata",-60.9442,-2.62139
"Curimata vittata",-60.454167,-3.420833
"Curimata vittata",-60.295833,-2.354167
"Curimata vittata",-70.76667,-8.166667
"Curimata vittata",-62.879653,-8.538811
"Curimata vittata",-52.415833,-13.505278
"Curimata vittata",-60.6375,-3.220833
"Curimata vittata",-52.146667,-1.859167
"Curimata vittata",-61.429167,-3.804167
"Curimata vittata",-59.329167,-15.4875
"Curimata vittata",-69.745833,5.254167
"Curimata vittata",-66.842141,1.189489
"Curimata vittata",-66.42375,4.21879
"Curimata vittata",-68.720833,3.679167
"Curimata vittata",-64.720593,-2.449524
"Curimata vittata",-65.279167,-10.8625
"Curimata vittata",-69.945833,-4.129167
"Curimata vittata",-61.650833,1.390833
"Curimata vittata",-60.283333,-3.416667
"Curimata vittata",-66.96112,3.70278
"Curimata vittata",-69.946982,-4.224876
"Curimata vittata",-58.474612,4.138448
"Curimata vittata",-64.120833,-3.754167
"Curimata vittata",-70.429167,-3.795833
"Curimata vittata",-66.751557,4.121295
"Curimata vittata",-63.1875,-12.8125
"Curimata vittata",-56.429167,-2.5875
"Curimata vittata",-55.472778,-2.591944
"Curimata vittata",-55.645833,-2.320833
"Curimata vittata",-55.870833,-1.770833
"Curimata vittata",-60.75,-3.216667
"Curimata vittata",-55.390889,-2.571861
"Curimata vittata",-64.14555,-12.578
"Curimata vittata",-70.9625,6.920833
"Curimata vittata",-62.333611,-6.710556
"Curimata vittata",-66.920833,4.7125
"Curimata vittata",-59.330278,-2.123333
"Curimata vittata",-54.9125,-2.354167
"Curimata vittata",-67.933047,3.848958
"Curimata vittata",-63.5375,0.495833
"Curimata vittata",-71.853469,-4.510512
"Curimata vittata",-60.3625,-3.820833
"Curimata vittata",-65.3375,-4.845833
"Curimata vittata",-65.204167,0.429167
"Curimata vittata",-67.85429,-11.40328
"Curimata vittata",-75.995833,-7.345833
"Curimata vittata",-54.890833,-2.435833
"Curimata vittata",-67.454167,6.654167
"Curimata vittata",-61.3875,-4.6875
"Curimata vittata",-61.583332,-1.166667
"Curimata vittata",-60.754167,-2.679167
"Curimata vittata",-60.195833,-3.2875
"Curimata vittata",-57.395833,-11.5375
"Curimata vittata",-61.554167,-1.129167
"Curimata vittata",-54.6875,-2.445833
"Curimata vittata",-60.3875,-3.7875
"Curimata vittata",-60.682,-3.264556
