"specie","longitude","latitude"
"Curimatella alburnus",-74.504167,-5.404167
"Curimatella alburnus",-75.2375,0.570833
"Curimatella alburnus",-55.4625,-2.170833
"Curimatella alburnus",-59.354167,3.304167
"Curimatella alburnus",-58.595833,-3.2875
"Curimatella alburnus",-63.1375,-7.5125
"Curimatella alburnus",-69.945833,-4.129167
"Curimatella alburnus",-69.94806,-4.123767
"Curimatella alburnus",-74.353279,-5.311528
"Curimatella alburnus",-75.495833,-1.395833
"Curimatella alburnus",-67.563,-11.192
"Curimatella alburnus",-74.304167,-5.204167
"Curimatella alburnus",-64.726667,-3.355833
"Curimatella alburnus",-62.929167,-7.7625
"Curimatella alburnus",-62.541667,-4.5125
"Curimatella alburnus",-60.305306,-3.523587
"Curimatella alburnus",-60.104167,-3.195833
"Curimatella alburnus",-73.179167,-3.754167
"Curimatella alburnus",-72.6625,-7.6375
"Curimatella alburnus",-59.795833,-3.220833
"Curimatella alburnus",-62.945833,-7.745833
"Curimatella alburnus",-64.470833,-6.6875
"Curimatella alburnus",-70.291667,-4.354167
"Curimatella alburnus",-73.25,-4.3333
"Curimatella alburnus",-64.758333,-3.408333
"Curimatella alburnus",-74.504167,-4.9125
"Curimatella alburnus",-52.545833,-3.7875
"Curimatella alburnus",-73.29834,-4.24833
"Curimatella alburnus",-73.345833,-3.779167
"Curimatella alburnus",-59.379167,-4.1625
"Curimatella alburnus",-56.779167,-2.6375
"Curimatella alburnus",-54.845833,-2.179167
"Curimatella alburnus",-73.280267,-3.721248
"Curimatella alburnus",-64.604167,-6.695833
"Curimatella alburnus",-63.1375,-4.145833
"Curimatella alburnus",-76.1875,0.2875
"Curimatella alburnus",-60.3625,-3.820833
"Curimatella alburnus",-52.620833,-3.820833
"Curimatella alburnus",-64.59,-12.202222
"Curimatella alburnus",-60.145833,-3.220833
"Curimatella alburnus",-76.2125,0.1375
"Curimatella alburnus",-75.504167,-1.1375
"Curimatella alburnus",-60.276467,-3.482465
"Curimatella alburnus",-59.304167,3.745833
"Curimatella alburnus",-60.654167,-2.554167
"Curimatella alburnus",-72.820833,-7.604167
"Curimatella alburnus",-64.229167,-12.454167
"Curimatella alburnus",-58.916667,-3.616111
"Curimatella alburnus",-54.97167,-2.42694
"Curimatella alburnus",-61.958333,-5.629167
"Curimatella alburnus",-74.378558,0.752975
"Curimatella alburnus",-60.9625,2.6375
"Curimatella alburnus",-75.329167,0.170833
"Curimatella alburnus",-59.520833,2.7375
"Curimatella alburnus",-58.945556,-3.489167
"Curimatella alburnus",-67.745833,-2.770833
"Curimatella alburnus",-75.5375,-1.145833
"Curimatella alburnus",-69.529167,1.845833
"Curimatella alburnus",-64.795833,-3.304167
"Curimatella alburnus",-59.320833,-3.170833
"Curimatella alburnus",-61.333332,-3.833333
"Curimatella alburnus",-74.879167,0.120833
"Curimatella alburnus",-59.355,-15.216111
"Curimatella alburnus",-64.304167,-12.5375
"Curimatella alburnus",-58.795833,4.804167
"Curimatella alburnus",-69.579167,-1.854167
"Curimatella alburnus",-61.4625,-3.704167
"Curimatella alburnus",-58.920833,-3.395833
"Curimatella alburnus",-75.6125,1.629167
"Curimatella alburnus",-61.304167,-5.820833
"Curimatella alburnus",-61.8375,-4.279167
"Curimatella alburnus",-54.91187,-1.59723
"Curimatella alburnus",-59.833989,3.448191
"Curimatella alburnus",-74.979167,0.095833
"Curimatella alburnus",-64.4125,-2.9625
"Curimatella alburnus",-73.2625,-3.779167
"Curimatella alburnus",-58.9375,2.954167
"Curimatella alburnus",-51.604167,-1.429167
"Curimatella alburnus",-69.946031,-4.128462
"Curimatella alburnus",-56.7131,-2.18611
"Curimatella alburnus",-70.195833,-4.3625
"Curimatella alburnus",-59.9625,-15.208333
"Curimatella alburnus",-70.379167,-3.779167
"Curimatella alburnus",-70.7625,-3.920833
