"specie","longitude","latitude"
"Curimatella dorsalis",-66.605562,-14.93755
"Curimatella dorsalis",-60.3625,-3.820833
"Curimatella dorsalis",-67.6875,6.9625
"Curimatella dorsalis",-67.429167,5.995833
"Curimatella dorsalis",-54.583622,-25.591881
"Curimatella dorsalis",-67.5625,-11.179167
"Curimatella dorsalis",-50.2125,-5.720833
"Curimatella dorsalis",-64.895833,7.629167
"Curimatella dorsalis",-57.7375,-16.7375
"Curimatella dorsalis",-63.6625,8.495833
"Curimatella dorsalis",-48.617222,-11.790833
"Curimatella dorsalis",-72.41,4.39
"Curimatella dorsalis",-60.220833,-3.254167
"Curimatella dorsalis",-56.979167,-19.595833
"Curimatella dorsalis",-67.8375,5.320833
"Curimatella dorsalis",-65.220833,7.1125
"Curimatella dorsalis",-57.9375,-21.829167
"Curimatella dorsalis",-56.858056,-16.747222
"Curimatella dorsalis",-62.170833,8.695833
"Curimatella dorsalis",-48.529167,-11.279167
"Curimatella dorsalis",-70.141159,1.295632
"Curimatella dorsalis",-71.8625,-3.329167
"Curimatella dorsalis",-73.1625,-3.829167
"Curimatella dorsalis",-57.33,-25.33
"Curimatella dorsalis",-57.120833,-26.3875
"Curimatella dorsalis",-67.884506,3.626953
"Curimatella dorsalis",-67.4875,7.8875
"Curimatella dorsalis",-73.454167,3.870833
"Curimatella dorsalis",-73.2125,-3.854167
"Curimatella dorsalis",-66.2625,-14.9375
"Curimatella dorsalis",-70.77947,-4.17657
"Curimatella dorsalis",-70.795833,-4.179167
"Curimatella dorsalis",-56.9875,-19.604167
"Curimatella dorsalis",-57.845833,-22.479167
"Curimatella dorsalis",-63.195833,-5.629167
"Curimatella dorsalis",-56.625,-15.629167
"Curimatella dorsalis",-67.5614,-11.1517
"Curimatella dorsalis",-67.645833,7.4625
"Curimatella dorsalis",-61.995833,8.679167
"Curimatella dorsalis",-48.420833,-10.720833
"Curimatella dorsalis",-56.245833,-14.704167
"Curimatella dorsalis",-55.4375,-2.479167
"Curimatella dorsalis",-57.929167,-20.795833
"Curimatella dorsalis",-73.280267,-3.721248
"Curimatella dorsalis",-69.954167,-4.145833
"Curimatella dorsalis",-56.9875,-19.579167
"Curimatella dorsalis",-71.429167,4.820833
"Curimatella dorsalis",-62.4375,8.520833
"Curimatella dorsalis",-57.429167,-15.4125
"Curimatella dorsalis",-50.6375,-13.4375
"Curimatella dorsalis",-48.420556,-10.720833
"Curimatella dorsalis",-50.620833,-13.6375
"Curimatella dorsalis",-62.679167,-8.7625
"Curimatella dorsalis",-59.946091,-3.239697
"Curimatella dorsalis",-67.854167,6.179167
"Curimatella dorsalis",-67.613237,6.286175
"Curimatella dorsalis",-63.679167,-13.2875
"Curimatella dorsalis",-61.4875,-3.104167
"Curimatella dorsalis",-73.4625,-4.995833
"Curimatella dorsalis",-62.2375,8.654167
"Curimatella dorsalis",-51.745833,-3.2375
"Curimatella dorsalis",-57.970833,-21.845833
"Curimatella dorsalis",-57.9875,-22.129167
"Curimatella dorsalis",-67.6375,7.1625
"Curimatella dorsalis",-70.94751,-4.37676
"Curimatella dorsalis",-57.5125,-19.5875
"Curimatella dorsalis",-70.291667,-4.354167
"Curimatella dorsalis",-67.5556,-11.135
"Curimatella dorsalis",-64.345833,-13.870833
"Curimatella dorsalis",-50.7125,-13.404167
"Curimatella dorsalis",-56.29,-16.37
"Curimatella dorsalis",-49.6625,-3.754167
"Curimatella dorsalis",-65.2875,-13.879167
"Curimatella dorsalis",-48.4125,-4.554167
"Curimatella dorsalis",-56.329167,-19.6125
"Curimatella dorsalis",-48.4125,-10.379167
"Curimatella dorsalis",-62.445833,8.520833
"Curimatella dorsalis",-75.6625,1.4875
"Curimatella dorsalis",-55.604167,-19.6375
"Curimatella dorsalis",-73.2625,-3.779167
"Curimatella dorsalis",-71.84,5.59
"Curimatella dorsalis",-67.85429,-11.40328
"Curimatella dorsalis",-56.754167,-16.4875
"Curimatella dorsalis",-69.504167,7.5125
"Curimatella dorsalis",-57.979167,-20.670833
"Curimatella dorsalis",-56.170833,-16.4625
"Curimatella dorsalis",-73.479167,3.879167
"Curimatella dorsalis",-69.945833,-4.129167
"Curimatella dorsalis",-56.404167,-19.5875
"Curimatella dorsalis",-64.59,-12.202222
"Curimatella dorsalis",-67.529167,6.1625
"Curimatella dorsalis",-56.745,-2.17139
"Curimatella dorsalis",-57.679167,-25.304167
"Curimatella dorsalis",-67.554167,-11.145833
"Curimatella dorsalis",-54.97167,-2.42694
"Curimatella dorsalis",-52.095833,-3.695833
"Curimatella dorsalis",-55.370833,-14.829167
"Curimatella dorsalis",-55.276111,-14.810278
"Curimatella dorsalis",-56.479168,-15.998055
"Curimatella dorsalis",-57.854167,-21.3125
"Curimatella dorsalis",-55.620833,-20.8125
