"specie","longitude","latitude"
"Curimatella immaculata",-60.629167,6.129167
"Curimatella immaculata",-68.182128,7.761226
"Curimatella immaculata",-70.958333,5.670833
"Curimatella immaculata",-58.6781,5.29869
"Curimatella immaculata",-67.8375,7.879167
"Curimatella immaculata",-72.679167,1.9625
"Curimatella immaculata",-62.81411,7.312323
"Curimatella immaculata",-71.49,5.662278
"Curimatella immaculata",-59.528603,3.65392
"Curimatella immaculata",-59.545833,7.5125
"Curimatella immaculata",-63.520833,-13.329167
"Curimatella immaculata",-67.320833,6.545833
"Curimatella immaculata",-71.120833,5.5125
"Curimatella immaculata",-70.304167,1.479167
"Curimatella immaculata",-66.489722,7.369722
"Curimatella immaculata",-68.115,9.540278
"Curimatella immaculata",-58.16336,5.17456
"Curimatella immaculata",-63.6625,8.495833
"Curimatella immaculata",-52.206402,-3.20333
"Curimatella immaculata",-60.16473,6.21027
"Curimatella immaculata",-63.154167,6.7875
"Curimatella immaculata",-59.379167,4.145833
"Curimatella immaculata",-59.2375,7.670833
"Curimatella immaculata",-61.254167,1.504167
"Curimatella immaculata",-55.695833,-2.3625
"Curimatella immaculata",-67.820833,5.345833
"Curimatella immaculata",-59.395833,5.8375
"Curimatella immaculata",-67.50667,6.54556
"Curimatella immaculata",-67.3125,8.720833
"Curimatella immaculata",-65.956523,7.667518
"Curimatella immaculata",-70.379167,-3.779167
"Curimatella immaculata",-58.779167,3.829167
"Curimatella immaculata",-67.4125,6.179167
"Curimatella immaculata",-54.329167,-1.929167
"Curimatella immaculata",-67.621294,5.575603
"Curimatella immaculata",-48.751667,-11.1375
"Curimatella immaculata",-70.412852,-3.802734
"Curimatella immaculata",-66.4875,7.354167
"Curimatella immaculata",-59.604167,5.779167
"Curimatella immaculata",-69.329167,7.754167
"Curimatella immaculata",-70.927972,5.660389
"Curimatella immaculata",-65.604167,5.495833
"Curimatella immaculata",-50.520833,-14.654167
"Curimatella immaculata",-59.220833,3.9375
"Curimatella immaculata",-71.429167,5.645833
"Curimatella immaculata",-60.820833,8.5875
"Curimatella immaculata",-66.154167,7.645833
"Curimatella immaculata",-60.169194,3.384917
"Curimatella immaculata",-63.4375,8.195833
"Curimatella immaculata",-72.6625,-7.6375
"Curimatella immaculata",-50.563889,-13.232222
"Curimatella immaculata",-64.7983,6.8922
"Curimatella immaculata",-50.7125,-13.404167
"Curimatella immaculata",-71.645833,4.8625
"Curimatella immaculata",-59.62501,5.71741
"Curimatella immaculata",-72.754167,-7.604167
"Curimatella immaculata",-72.4125,4.879167
"Curimatella immaculata",-59.220833,5.679167
"Curimatella immaculata",-60.104167,6.104167
"Curimatella immaculata",-69.429167,7.445833
"Curimatella immaculata",-67.266659,8.638672
"Curimatella immaculata",-48.420556,-10.720833
"Curimatella immaculata",-59.67715,3.62483
"Curimatella immaculata",-67.820833,6.279167
"Curimatella immaculata",-52.245833,-1.754167
"Curimatella immaculata",-61.995833,8.679167
"Curimatella immaculata",-59.554167,3.670833
"Curimatella immaculata",-62.4375,8.520833
"Curimatella immaculata",-66.502093,7.133489
"Curimatella immaculata",-49.8875,-12.5125
"Curimatella immaculata",-65.404167,-13.645833
"Curimatella immaculata",-62.2375,8.654167
"Curimatella immaculata",-69.58333,7.5505
"Curimatella immaculata",-73.595833,-4.8875
"Curimatella immaculata",-65.363142,7.583452
"Curimatella immaculata",-63.25462,-13.17601
"Curimatella immaculata",-69.33056,7.71306
"Curimatella immaculata",-65.8323,3.108056
"Curimatella immaculata",-72.7875,2.195833
"Curimatella immaculata",-67.454167,7.420833
"Curimatella immaculata",-59.30597,3.69786
"Curimatella immaculata",-62.170833,8.695833
"Curimatella immaculata",-66.179167,5.445833
"Curimatella immaculata",-67.795833,6.295833
"Curimatella immaculata",-73.554167,4.604167
"Curimatella immaculata",-59.679167,3.620833
"Curimatella immaculata",-73.2125,-3.854167
"Curimatella immaculata",-70.77947,-4.17657
"Curimatella immaculata",-59.3875,7.520833
"Curimatella immaculata",-67.5375,6.420833
"Curimatella immaculata",-72.4125,4.895833
"Curimatella immaculata",-59.154167,7.570833
"Curimatella immaculata",-66.270833,-14.945833
"Curimatella immaculata",-73.229167,-3.8375
"Curimatella immaculata",-72.6625,4.379167
"Curimatella immaculata",-66.2375,5.320833
"Curimatella immaculata",-67.720833,4.295833
"Curimatella immaculata",-59.304167,3.745833
"Curimatella immaculata",-67.404167,6.545833
"Curimatella immaculata",-66.9625,5.220833
"Curimatella immaculata",-66.875,5.1125
"Curimatella immaculata",-73.1125,4.104167
"Curimatella immaculata",-51.1978,-3.47222
"Curimatella immaculata",-55.5375,-1.920833
"Curimatella immaculata",-46.970833,-12.195833
"Curimatella immaculata",-55.175833,-2.891111
"Curimatella immaculata",-68.320833,-10.504167
"Curimatella immaculata",-66.1125,5.454167
"Curimatella immaculata",-66.893694,8.712564
"Curimatella immaculata",-63.529167,8.154167
"Curimatella immaculata",-70.929167,6.7875
"Curimatella immaculata",-52.677222,-3.824167
"Curimatella immaculata",-71.595833,6.2125
"Curimatella immaculata",-71.295833,0.879167
"Curimatella immaculata",-60.3375,6.129167
"Curimatella immaculata",-59.355,-15.216111
"Curimatella immaculata",-69.2625,7.5625
"Curimatella immaculata",-63.195833,-5.629167
"Curimatella immaculata",-70.204167,6.7125
"Curimatella immaculata",-64.9875,7.729167
"Curimatella immaculata",-62.59117,7.76744
"Curimatella immaculata",-69.8625,6.395833
"Curimatella immaculata",-73.237543,-3.696283
"Curimatella immaculata",-67.570833,7.404167
"Curimatella immaculata",-67.4125,6.5375
"Curimatella immaculata",-67.420833,6.545833
"Curimatella immaculata",-54.890833,-2.435944
"Curimatella immaculata",-61.72,8.63
"Curimatella immaculata",-66.3125,-14.954167
"Curimatella immaculata",-50.5875,-13.2375
"Curimatella immaculata",-60.329167,6.8625
"Curimatella immaculata",-65.220833,7.1125
"Curimatella immaculata",-48.395833,-10.8375
"Curimatella immaculata",-46.745833,-13.254167
"Curimatella immaculata",-57.204167,-5.5875
"Curimatella immaculata",-52.254167,-15.895833
"Curimatella immaculata",-59.629167,5.7875
"Curimatella immaculata",-48.2125,-12.504167
"Curimatella immaculata",-48.370833,-9.7625
"Curimatella immaculata",-65.30327,-13.34661
"Curimatella immaculata",-63.7875,-13.354167
"Curimatella immaculata",-54.8875,-3.329167
"Curimatella immaculata",-67.2375,8.595833
"Curimatella immaculata",-60.150983,6.2223
"Curimatella immaculata",-63.11528,7.92358
"Curimatella immaculata",-60.151133,6.22207
"Curimatella immaculata",-67.933047,3.848958
"Curimatella immaculata",-59.329167,3.6625
"Curimatella immaculata",-73.370833,3.295833
"Curimatella immaculata",-50.204167,-14.320833
"Curimatella immaculata",-67.5611,-11.1514
"Curimatella immaculata",-64.87175,-14.87982
"Curimatella immaculata",-70.304167,1.604167
"Curimatella immaculata",-60.3678,6.3392
"Curimatella immaculata",-67.4875,7.8875
"Curimatella immaculata",-55.1375,-2.320833
"Curimatella immaculata",-69.9375,-4.104167
"Curimatella immaculata",-67.829167,6.270833
"Curimatella immaculata",-66.804167,-2.504167
"Curimatella immaculata",-48.495833,-11.204167
