"specie","longitude","latitude"
"Curimatella lepidura",-42.945833,-13.4625
"Curimatella lepidura",-42.9125,-12.6375
"Curimatella lepidura",-43.120833,-13.404167
"Curimatella lepidura",-45.483334,-19.766666
"Curimatella lepidura",-45.150002,-18.633333
"Curimatella lepidura",-44.233891,-15.345555
"Curimatella lepidura",-43.713612,-16.650278
"Curimatella lepidura",-44.528332,-14.239445
"Curimatella lepidura",-43.357777,-13.520278
"Curimatella lepidura",-43.263611,-15.214723
"Curimatella lepidura",-43.429167,-13.254167
"Curimatella lepidura",-44.404167,-15.545833
"Curimatella lepidura",-38.990555,-8.667222
"Curimatella lepidura",-44.202778,-15.183056
"Curimatella lepidura",-44.104167,-15.170833
"Curimatella lepidura",-44.154167,-15.1875
"Curimatella lepidura",-46.1125,-15.920833
"Curimatella lepidura",-40.491667,-7.863611
"Curimatella lepidura",-44.779167,-17.295833
"Curimatella lepidura",-44.729167,-17.429167
"Curimatella lepidura",-44.295833,-13.579167
"Curimatella lepidura",-44.293611,-13.561389
"Curimatella lepidura",-38.895833,-7.895833
"Curimatella lepidura",-42.338194,-10.986167
"Curimatella lepidura",-41.620833,-9.6125
"Curimatella lepidura",-39.829167,-8.8125
"Curimatella lepidura",-39.845833,-8.7625
"Curimatella lepidura",-45.283333,-18.5
"Curimatella lepidura",-43.779167,-17.104167
"Curimatella lepidura",-43.770833,-14.754167
"Curimatella lepidura",-44.333333,-13.4
"Curimatella lepidura",-42.704167,-14.595833
"Curimatella lepidura",-44.504167,-19.629167
"Curimatella lepidura",-42.829167,-14.2125
"Curimatella lepidura",-44.879167,-14.579167
"Curimatella lepidura",-43.670833,-15.345833
"Curimatella lepidura",-43.357778,-13.520278
"Curimatella lepidura",-43.311389,-15.2225
"Curimatella lepidura",-44.529167,-11.620833
"Curimatella lepidura",-36.854167,-10.179167
"Curimatella lepidura",-45.329167,-18.595833
"Curimatella lepidura",-44.954167,-17.4375
