"specie","longitude","latitude"
"Curimatella meyeri",-75.512035,0.849387
"Curimatella meyeri",-74.51255,-5.421722
"Curimatella meyeri",-55.4625,-2.170833
"Curimatella meyeri",-69.946982,-4.224876
"Curimatella meyeri",-55.4375,-2.479167
"Curimatella meyeri",-74.1667,-4.8333
"Curimatella meyeri",-55.495833,-1.8375
"Curimatella meyeri",-70.2859,-4.61246
"Curimatella meyeri",-66.804167,-2.504167
"Curimatella meyeri",-59.104167,-3.879167
"Curimatella meyeri",-58.9625,-3.604167
"Curimatella meyeri",-62.201861,-8.837194
"Curimatella meyeri",-74.879167,0.120833
"Curimatella meyeri",-54.845833,-2.179167
"Curimatella meyeri",-59.995833,-3.1625
"Curimatella meyeri",-69.954167,-4.204167
"Curimatella meyeri",-60.1875,-3.354167
"Curimatella meyeri",-63.779167,-13.7125
"Curimatella meyeri",-63.944444,-8.798056
"Curimatella meyeri",-67.821389,-5.706389
"Curimatella meyeri",-69.9625,-4.179167
"Curimatella meyeri",-61.4625,-3.704167
"Curimatella meyeri",-69.945833,-4.129167
"Curimatella meyeri",-74.5143,-5.388367
"Curimatella meyeri",-65.179167,-13.195833
"Curimatella meyeri",-65.129167,0.329167
"Curimatella meyeri",-63.1375,-7.5125
"Curimatella meyeri",-70.429167,-3.795833
"Curimatella meyeri",-74.504167,-5.2875
"Curimatella meyeri",-59.920833,-3.154167
"Curimatella meyeri",-74.504167,-5.404167
"Curimatella meyeri",-65.245833,-15.279167
"Curimatella meyeri",-55.420833,-1.970833
"Curimatella meyeri",-65.354167,-10.7875
"Curimatella meyeri",-71.8625,-3.329167
"Curimatella meyeri",-70.366392,-3.783645
"Curimatella meyeri",-63.1875,-10.8375
"Curimatella meyeri",-64.629167,-9.204167
"Curimatella meyeri",-72.6625,-7.6375
"Curimatella meyeri",-64.98631,-14.78546
"Curimatella meyeri",-73.963508,-3.515069
"Curimatella meyeri",-65.5125,-2.5875
"Curimatella meyeri",-74.5125,-5.3875
"Curimatella meyeri",-67.563,-11.192
"Curimatella meyeri",-70.479167,-3.7625
"Curimatella meyeri",-70.6875,-3.7875
"Curimatella meyeri",-70.6375,-3.820833
"Curimatella meyeri",-65.1375,-15.5875
"Curimatella meyeri",-69.291667,-11.454167
"Curimatella meyeri",-73.570833,-4.504167
"Curimatella meyeri",-74.4625,-5.3375
"Curimatella meyeri",-61.304167,-5.820833
"Curimatella meyeri",-61.9125,-1.354167
"Curimatella meyeri",-71.5625,-2.3125
"Curimatella meyeri",-66.170833,-11.104167
"Curimatella meyeri",-63.195833,-5.629167
"Curimatella meyeri",-64.370833,-12.541667
"Curimatella meyeri",-72.666664,-9.3
"Curimatella meyeri",-55.857498,-1.791667
"Curimatella meyeri",-68.11603,-11.2928
"Curimatella meyeri",-70.585556,-3.697222
"Curimatella meyeri",-73.695833,-7.179167
"Curimatella meyeri",-60.3875,-3.7875
"Curimatella meyeri",-60.179167,-4.904167
"Curimatella meyeri",-63.845833,-8.6375
"Curimatella meyeri",-64.845833,-3.370833
"Curimatella meyeri",-69.829167,-12.695833
"Curimatella meyeri",-67.85429,-11.40328
"Curimatella meyeri",-61.6875,-6.629167
"Curimatella meyeri",-74.779738,0.213304
"Curimatella meyeri",-73.895833,-3.495833
"Curimatella meyeri",-66.895833,-4.8875
"Curimatella meyeri",-58.379167,-3.8875
"Curimatella meyeri",-74.5125,-5.279167
"Curimatella meyeri",-68.770833,-11.3125
"Curimatella meyeri",-64.970833,-14.895833
"Curimatella meyeri",-75.930542,0.227982
"Curimatella meyeri",-64.229167,-12.454167
"Curimatella meyeri",-64.370833,-12.520833
"Curimatella meyeri",-65.304167,-13.720833
"Curimatella meyeri",-69.954167,-4.2125
"Curimatella meyeri",-63.1125,-4.879167
"Curimatella meyeri",-73.295833,-3.820833
"Curimatella meyeri",-65.295833,-16.745833
"Curimatella meyeri",-72.870833,-2.604167
"Curimatella meyeri",-65.120833,-14.904167
"Curimatella meyeri",-63.129167,-9.604167
"Curimatella meyeri",-59.945833,-3.970833
"Curimatella meyeri",-70.77947,-4.17657
"Curimatella meyeri",-65.1039,-15.42877
"Curimatella meyeri",-58.729167,-3.295833
"Curimatella meyeri",-74.931055,-7.526175
"Curimatella meyeri",-54.7125,-1.920833
"Curimatella meyeri",-67.652533,-11.152193
"Curimatella meyeri",-73.89536,-3.49618
"Curimatella meyeri",-64.645833,-9.2625
"Curimatella meyeri",-64.120833,-3.754167
"Curimatella meyeri",-65.445833,-9.6875
"Curimatella meyeri",-58.520833,-3.1625
"Curimatella meyeri",-70.454167,-3.795833
"Curimatella meyeri",-75.15611,-6.912739
"Curimatella meyeri",-68.729167,-9.345833
"Curimatella meyeri",-63.293611,-5.703333
"Curimatella meyeri",-64.995833,-14.879167
"Curimatella meyeri",-70.5875,-3.7375
"Curimatella meyeri",-72.430149,-4.901792
"Curimatella meyeri",-63.695833,-13.2875
"Curimatella meyeri",-59.595833,-4.379167
"Curimatella meyeri",-68.65672,-11.95204
"Curimatella meyeri",-54.97167,-2.42694
"Curimatella meyeri",-73.2375,-3.745833
"Curimatella meyeri",-60.429167,-3.254167
"Curimatella meyeri",-68.708333,-3.791667
"Curimatella meyeri",-74.7875,0.2125
"Curimatella meyeri",-60.954167,-2.620833
"Curimatella meyeri",-58.916667,-3.616111
"Curimatella meyeri",-61.333332,-3.833333
"Curimatella meyeri",-75.10831,-7.35138
"Curimatella meyeri",-62.870833,-7.1125
"Curimatella meyeri",-64.279167,-12.679167
"Curimatella meyeri",-65.179167,-13.179167
"Curimatella meyeri",-61.254167,1.504167
"Curimatella meyeri",-64.715833,-9.311667
"Curimatella meyeri",-62.945833,-7.745833
"Curimatella meyeri",-68.3875,-12.379167
"Curimatella meyeri",-68.654167,-11.245833
"Curimatella meyeri",-65.2375,-13.295833
"Curimatella meyeri",-62.333611,-6.710556
"Curimatella meyeri",-65.2875,-13.879167
"Curimatella meyeri",-67.479167,-5.504167
"Curimatella meyeri",-71.220833,-3.179167
"Curimatella meyeri",-58.445833,-3.154167
"Curimatella meyeri",-64.14555,-12.578
"Curimatella meyeri",-65.25027,-13.16324
"Curimatella meyeri",-65.10744,-15.42366
"Curimatella meyeri",-63.880833,-3.861667
"Curimatella meyeri",-73.879167,-3.4875
"Curimatella meyeri",-61.546389,-2.32778
"Curimatella meyeri",-70.370833,1.1875
"Curimatella meyeri",-64.7875,-3.104167
"Curimatella meyeri",-55.779167,-2.2375
"Curimatella meyeri",-57.720833,-2.595833
"Curimatella meyeri",-68.75,-11.314
"Curimatella meyeri",-63.195833,-7.529167
"Curimatella meyeri",-68.379167,-11.695833
"Curimatella meyeri",-61.958333,-5.629167
"Curimatella meyeri",-67.995833,-11.8625
"Curimatella meyeri",-59.946091,-3.239697
"Curimatella meyeri",-63.379167,-6.679167
"Curimatella meyeri",-64.879167,-3.208333
"Curimatella meyeri",-63.929167,-12.5125
"Curimatella meyeri",-61.546389,-2.327778
"Curimatella meyeri",-65.279167,-15.8875
"Curimatella meyeri",-63.5,-8.45
"Curimatella meyeri",-62.879653,-8.538811
"Curimatella meyeri",-62.929167,-7.254167
"Curimatella meyeri",-61.720833,-6.445833
"Curimatella meyeri",-72.395833,-9.354167
"Curimatella meyeri",-72.7625,-8.945833
"Curimatella meyeri",-72.2125,-9.170833
"Curimatella meyeri",-72.704167,-8.9875
"Curimatella meyeri",-72.666667,-9.3
"Curimatella meyeri",-55.8575,-1.791667
"Curimatella meyeri",-60.179167,-3.354167
"Curimatella meyeri",-61.333333,-3.833333
