"specie","longitude","latitude"
"Curimatopsis evelynae",-61.654167,1.3875
"Curimatopsis evelynae",-64.870456,0.545506
"Curimatopsis evelynae",-67.125,1.9875
"Curimatopsis evelynae",-64.929167,0.529167
"Curimatopsis evelynae",-66.8375,1.2875
"Curimatopsis evelynae",-73.295833,-3.7375
"Curimatopsis evelynae",-65.895833,3.625
"Curimatopsis evelynae",-62.929167,0.9625
"Curimatopsis evelynae",-65.955532,2.809895
"Curimatopsis evelynae",-67.1625,0.375
"Curimatopsis evelynae",-69.579167,-1.854167
"Curimatopsis evelynae",-67.644694,4.729044
"Curimatopsis evelynae",-67.591389,6.152556
"Curimatopsis evelynae",-67.529167,6.1625
"Curimatopsis evelynae",-71.4625,5.945833
"Curimatopsis evelynae",-64.970833,7.370833
"Curimatopsis evelynae",-72.654167,5.1125
"Curimatopsis evelynae",-68.229167,5.8125
"Curimatopsis evelynae",-65.159128,7.416879
"Curimatopsis evelynae",-68.958333,3.6625
"Curimatopsis evelynae",-67.245833,0.629167
"Curimatopsis evelynae",-65.8323,3.108056
"Curimatopsis evelynae",-70.233861,1.284444
"Curimatopsis evelynae",-65.695833,3.1625
"Curimatopsis evelynae",-55.6125,-4.625
"Curimatopsis evelynae",-64.779376,0.487763
"Curimatopsis evelynae",-67.404167,5.8875
"Curimatopsis evelynae",-65.1625,7.420833
"Curimatopsis evelynae",-67.870833,1.954167
"Curimatopsis evelynae",-68.843389,5.79525
"Curimatopsis evelynae",-67.48,5.78
"Curimatopsis evelynae",-67.279167,1.945833
"Curimatopsis evelynae",-70.720833,5.1125
"Curimatopsis evelynae",-67.7625,7.1125
"Curimatopsis evelynae",-64.7114,-3.35417
"Curimatopsis evelynae",-62.9875,0.670833
"Curimatopsis evelynae",-61.383335,-1.933333
"Curimatopsis evelynae",-71.9625,4.329167
"Curimatopsis evelynae",-65.1875,0.3375
"Curimatopsis evelynae",-56.295833,-1.770833
"Curimatopsis evelynae",-72.545833,4.304167
"Curimatopsis evelynae",-67.695833,6.1375
"Curimatopsis evelynae",-73.8625,3.229167
"Curimatopsis evelynae",-67.297597,4.775461
"Curimatopsis evelynae",-67.5125,6.104167
"Curimatopsis evelynae",-73.670833,3.4625
"Curimatopsis evelynae",-65.904167,3.479167
"Curimatopsis evelynae",-67.8375,7.879167
"Curimatopsis evelynae",-68.7875,5.829167
"Curimatopsis evelynae",-61.664167,-9.713611
"Curimatopsis evelynae",-67.420833,6.545833
"Curimatopsis evelynae",-67.620833,7.120833
"Curimatopsis evelynae",-67.729167,6.104167
"Curimatopsis evelynae",-70.629167,4.445833
"Curimatopsis evelynae",-56.129167,-2.179167
"Curimatopsis evelynae",-65.204167,0.354167
"Curimatopsis evelynae",-66.41077,2.423
"Curimatopsis evelynae",-61.120833,1.8125
"Curimatopsis evelynae",-70.7375,5.1625
"Curimatopsis evelynae",-70.745833,5.154167
"Curimatopsis evelynae",-62.904167,0.929167
"Curimatopsis evelynae",-60.754167,-2.679167
"Curimatopsis evelynae",-65.903651,3.489377
"Curimatopsis evelynae",-71.804167,4.529167
"Curimatopsis evelynae",-72.579806,3.378694
"Curimatopsis evelynae",-59.670833,-2.745833
"Curimatopsis evelynae",-61.9125,1.8875
"Curimatopsis evelynae",-65.455288,0.395791
"Curimatopsis evelynae",-66.645833,2.820833
"Curimatopsis evelynae",-68.2125,5.820833
"Curimatopsis evelynae",-59.945833,-2.120833
"Curimatopsis evelynae",-67.329167,6.945833
"Curimatopsis evelynae",-61.379167,-3.8875
"Curimatopsis evelynae",-65.455575,0.395901
"Curimatopsis evelynae",-55.9375,-2.7375
"Curimatopsis evelynae",-54.9875,-2.195833
"Curimatopsis evelynae",-70.5575,1.363889
"Curimatopsis evelynae",-54.554167,-2.6625
"Curimatopsis evelynae",-67.652528,6.202861
"Curimatopsis evelynae",-67.945833,0.1375
"Curimatopsis evelynae",-62.079167,0.970833
"Curimatopsis evelynae",-70.630005,1.379256
"Curimatopsis evelynae",-71.941119,4.312757
"Curimatopsis evelynae",-68.154167,5.879167
"Curimatopsis evelynae",-57.7125,-3.404167
"Curimatopsis evelynae",-70.6875,5.570833
"Curimatopsis evelynae",-65.204167,0.345833
"Curimatopsis evelynae",-67.429167,7.1375
"Curimatopsis evelynae",-66.954167,2.004167
"Curimatopsis evelynae",-59.704167,-2.695833
"Curimatopsis evelynae",-67.726947,4.870019
"Curimatopsis evelynae",-70.204167,6.7125
"Curimatopsis evelynae",-56.945833,-2.495833
"Curimatopsis evelynae",-67.679167,4.4375
"Curimatopsis evelynae",-64.795833,-3.304167
"Curimatopsis evelynae",-66.804167,-2.504167
"Curimatopsis evelynae",-67.595833,6.170833
"Curimatopsis evelynae",-56.4875,-2.120833
"Curimatopsis evelynae",-61.254167,1.495833
"Curimatopsis evelynae",-64.716667,-3.366667
"Curimatopsis evelynae",-55.870833,-1.770833
"Curimatopsis evelynae",-60.295833,-2.354167
"Curimatopsis evelynae",-67.9375,3.870833
"Curimatopsis evelynae",-67.7375,5.429167
"Curimatopsis evelynae",-67.8375,7.970833
"Curimatopsis evelynae",-61.9517,-10.8853
"Curimatopsis evelynae",-64.756389,-3.448611
"Curimatopsis evelynae",-66.995833,4.2375
"Curimatopsis evelynae",-70.245833,6.404167
"Curimatopsis evelynae",-56.1625,-2.295833
"Curimatopsis evelynae",-68.229167,2.120833
"Curimatopsis evelynae",-67.40139,6.541667
"Curimatopsis evelynae",-66.954167,1.979167
"Curimatopsis evelynae",-62.920833,0.4625
"Curimatopsis evelynae",-64.729167,-3.395833
"Curimatopsis evelynae",-64.779167,0.420833
"Curimatopsis evelynae",-60.78255,-2.77925
"Curimatopsis evelynae",-71.7125,6.270833
"Curimatopsis evelynae",-67.667333,3.846583
"Curimatopsis evelynae",-71.570833,4.670833
"Curimatopsis evelynae",-60.333332,-2.7
"Curimatopsis evelynae",-70.735833,5.196944
"Curimatopsis evelynae",-66.995833,3.9125
"Curimatopsis evelynae",-67.954167,3.6625
"Curimatopsis evelynae",-62.123333,-4.438056
"Curimatopsis evelynae",-68.3375,3.479167
"Curimatopsis evelynae",-62.853889,-3.914722
"Curimatopsis evelynae",-65.9548,2.80973
"Curimatopsis evelynae",-59.995833,-3.1625
"Curimatopsis evelynae",-71.579167,4.6625
"Curimatopsis evelynae",-69.3875,-1.3625
"Curimatopsis evelynae",-71.8525,4.44028
"Curimatopsis evelynae",-71.839148,4.451068
"Curimatopsis evelynae",-62.595833,-4.5375
"Curimatopsis evelynae",-71.517,3.844467
"Curimatopsis evelynae",-64.9375,0.129167
"Curimatopsis evelynae",-67.520833,6.104167
"Curimatopsis evelynae",-67.39584,6.539722
"Curimatopsis evelynae",-60.920974,-2.62455
"Curimatopsis evelynae",-60.2875,-3.104167
"Curimatopsis evelynae",-56.304167,-1.7625
"Curimatopsis evelynae",-60.9442,-2.62139
"Curimatopsis evelynae",-58.595833,-3.2875
"Curimatopsis evelynae",-67.924472,4.441333
"Curimatopsis evelynae",-63.195833,0.495833
"Curimatopsis evelynae",-64.104167,0.7875
"Curimatopsis evelynae",-68.517333,5.576528
"Curimatopsis evelynae",-67.495833,6.104167
"Curimatopsis evelynae",-67.504167,6.104167
"Curimatopsis evelynae",-72.7875,4.170833
"Curimatopsis evelynae",-68.404167,3.670833
"Curimatopsis evelynae",-63.1125,-4.879167
"Curimatopsis evelynae",-61.877778,-10.193889
"Curimatopsis evelynae",-64.795833,0.4375
"Curimatopsis evelynae",-71.404167,3.820833
"Curimatopsis evelynae",-65.523374,3.13453
"Curimatopsis evelynae",-64.795833,-3.329167
"Curimatopsis evelynae",-72.67,1.96
"Curimatopsis evelynae",-71.429167,3.870833
"Curimatopsis evelynae",-61.279167,1.4625
"Curimatopsis evelynae",-68.854167,5.795833
"Curimatopsis evelynae",-61.7625,-1.795833
"Curimatopsis evelynae",-68.6375,5.845833
"Curimatopsis evelynae",-61.820833,0.820833
"Curimatopsis evelynae",-71.6875,4.2875
"Curimatopsis evelynae",-67.8625,3.820833
"Curimatopsis evelynae",-64.9375,0.604167
"Curimatopsis evelynae",-64.1125,0.129167
"Curimatopsis evelynae",-71.545833,3.845833
"Curimatopsis evelynae",-64.879167,0.179167
"Curimatopsis evelynae",-69.495833,3.870833
"Curimatopsis evelynae",-67.270833,0.3125
"Curimatopsis evelynae",-70.2375,6.120833
"Curimatopsis evelynae",-61.403056,-4.729167
"Curimatopsis evelynae",-67.495833,6.195833
"Curimatopsis evelynae",-62.895833,0.404167
"Curimatopsis evelynae",-66.829167,1.279167
"Curimatopsis evelynae",-66.879167,1.279167
"Curimatopsis evelynae",-69.8625,6.229167
"Curimatopsis evelynae",-67.5625,5.375
"Curimatopsis evelynae",-71.504167,3.8625
"Curimatopsis evelynae",-67.9125,3.8875
"Curimatopsis evelynae",-67.870833,3.8125
"Curimatopsis evelynae",-68.1125,3.654167
"Curimatopsis evelynae",-68.395833,3.679167
"Curimatopsis evelynae",-62.295833,0.195833
"Curimatopsis evelynae",-69.129167,0.1625
"Curimatopsis evelynae",-65.7125,0.5625
"Curimatopsis evelynae",-65.4125,0.370833
"Curimatopsis evelynae",-64.820833,0.4625
"Curimatopsis evelynae",-64.9625,0.420833
"Curimatopsis evelynae",-62.1125,-1.670833
"Curimatopsis evelynae",-62.104167,1.004167
"Curimatopsis evelynae",-62.079167,0.9375
"Curimatopsis evelynae",-62.1125,-1.208333
"Curimatopsis evelynae",-62.129167,-1.7375
"Curimatopsis evelynae",-62.420833,-1.1125
"Curimatopsis evelynae",-62.079167,0.929167
"Curimatopsis evelynae",-59.795833,-7.170833
"Curimatopsis evelynae",-65.228797,0.478712
"Curimatopsis evelynae",-61.3125,-7.879167
"Curimatopsis evelynae",-61.340278,-7.855736
"Curimatopsis evelynae",-64.870453,0.545506
"Curimatopsis evelynae",-65.228784,0.478302
