"specie","longitude","latitude"
"Curimatopsis macrolepis",-76.1875,0.2875
"Curimatopsis macrolepis",-70.528306,-2.718111
"Curimatopsis macrolepis",-74.4625,-5.3375
"Curimatopsis macrolepis",-60.125,-3.2125
"Curimatopsis macrolepis",-60.3625,-3.820833
"Curimatopsis macrolepis",-59.946091,-3.239697
"Curimatopsis macrolepis",-73.379167,-3.820833
"Curimatopsis macrolepis",-62.541667,8.679167
"Curimatopsis macrolepis",-73.52366,-3.864353
"Curimatopsis macrolepis",-69.4875,7.5375
"Curimatopsis macrolepis",-69.729167,-2.8875
"Curimatopsis macrolepis",-60.145833,-3.220833
"Curimatopsis macrolepis",-60.276467,-3.482465
"Curimatopsis macrolepis",-61.133333,-13.516667
"Curimatopsis macrolepis",-65.1625,7.1125
"Curimatopsis macrolepis",-74.4625,-5.345833
"Curimatopsis macrolepis",-73.279167,-3.6875
"Curimatopsis macrolepis",-63.2375,6.8625
"Curimatopsis macrolepis",-74.9375,-4.9875
"Curimatopsis macrolepis",-50.395833,-6.445833
"Curimatopsis macrolepis",-62.770833,0.395833
"Curimatopsis macrolepis",-60.26667,-3.41667
"Curimatopsis macrolepis",-48.2125,-2.429167
"Curimatopsis macrolepis",-74.304167,-5.204167
"Curimatopsis macrolepis",-73.492161,-3.869021
"Curimatopsis macrolepis",-48.420833,-2.520833
"Curimatopsis macrolepis",-58.170833,-1.9875
"Curimatopsis macrolepis",-60.4,-13.983333
"Curimatopsis macrolepis",-59.395833,-3.2625
"Curimatopsis macrolepis",-73.854167,-5.845833
"Curimatopsis macrolepis",-60.3625,-3.2125
"Curimatopsis macrolepis",-58.470833,-3.120833
"Curimatopsis macrolepis",-73.8625,3.229167
"Curimatopsis macrolepis",-71.8625,-3.329167
"Curimatopsis macrolepis",-62.870833,0.6125
"Curimatopsis macrolepis",-47.6625,-2.154167
"Curimatopsis macrolepis",-63.468611,-3.852778
"Curimatopsis macrolepis",-62.853889,-3.914722
"Curimatopsis macrolepis",-73.604167,-5.554167
"Curimatopsis macrolepis",-75.095833,0.495833
"Curimatopsis macrolepis",-64.88284,7.468719
"Curimatopsis macrolepis",-58.2875,-3.429167
"Curimatopsis macrolepis",-61.120833,1.8125
"Curimatopsis macrolepis",-55.145833,-2.104167
"Curimatopsis macrolepis",-61.4625,-3.654167
"Curimatopsis macrolepis",-60.150002,-3.333333
"Curimatopsis macrolepis",-63.522222,-6.56
"Curimatopsis macrolepis",-74.954167,0.904167
"Curimatopsis macrolepis",-73.295833,-3.7375
"Curimatopsis macrolepis",-60.220833,-3.254167
