"specie","longitude","latitude"
"Curimatopsis microlepis",-57.679167,-2.7875
"Curimatopsis microlepis",-62.195833,-1.820833
"Curimatopsis microlepis",-63.329167,-3.9125
"Curimatopsis microlepis",-67.546,-14.596
"Curimatopsis microlepis",-67.796,-14.411
"Curimatopsis microlepis",-67.771,-14.521
"Curimatopsis microlepis",-67.854,-14.529
"Curimatopsis microlepis",-67.879,-14.447
"Curimatopsis microlepis",-67.946,-14.355
"Curimatopsis microlepis",-67.896,-14.273
"Curimatopsis microlepis",-68.038,-14.256
"Curimatopsis microlepis",-68.115,-14.18
"Curimatopsis microlepis",-68.196,-14.224
"Curimatopsis microlepis",-68.354,-14.122
"Curimatopsis microlepis",-68.488,-14.214
"Curimatopsis microlepis",-68.554,-14.316
"Curimatopsis microlepis",-68.625,-14.483
"Curimatopsis microlepis",-68.495,-14.541
"Curimatopsis microlepis",-67.129,-15.272
"Curimatopsis microlepis",-67.527,-14.09
"Curimatopsis microlepis",-67.386,-13.389
"Curimatopsis microlepis",-67.212,-13.164
"Curimatopsis microlepis",-66.954,-12.637
"Curimatopsis microlepis",-65.487,-10.438
"Curimatopsis microlepis",-65.612,-10.54
"Curimatopsis microlepis",-65.737,-10.705
"Curimatopsis microlepis",-66.007,-10.815
"Curimatopsis microlepis",-65.876,-11.039
"Curimatopsis microlepis",-65.178,-15.898
"Curimatopsis microlepis",-65.012,-15.826
"Curimatopsis microlepis",-65.138,-15.604
"Curimatopsis microlepis",-65.246,-15.389
"Curimatopsis microlepis",-65.031,-14.785
"Curimatopsis microlepis",-64.913,-14.596
"Curimatopsis microlepis",-64.939,-14.455
"Curimatopsis microlepis",-65.188,-14.555
"Curimatopsis microlepis",-66.027,-16.03
"Curimatopsis microlepis",-67.153,-14.379
"Curimatopsis microlepis",-67.171,-14.92
"Curimatopsis microlepis",-66.863,-14.503
"Curimatopsis microlepis",-65.263,-13.53
"Curimatopsis microlepis",-65.222,-13.242
"Curimatopsis microlepis",-65.004,-12.804
"Curimatopsis microlepis",-65.03,-11.937
"Curimatopsis microlepis",-64.73,-3.4
