"specie","longitude","latitude"
"Curimatopsis myersi",-55.106581,-17.671397
"Curimatopsis myersi",-57.654167,-18.995833
"Curimatopsis myersi",-57.3875,-19.5125
"Curimatopsis myersi",-55.645833,-19.495833
"Curimatopsis myersi",-54.3625,-18.420833
"Curimatopsis myersi",-56.858056,-16.747222
"Curimatopsis myersi",-55.345833,-19.145833
"Curimatopsis myersi",-54.150002,-17.200001
"Curimatopsis myersi",-55.820833,-20.4625
"Curimatopsis myersi",-56.754167,-16.4875
"Curimatopsis myersi",-57.454167,-19.520833
"Curimatopsis myersi",-56.9875,-19.579167
"Curimatopsis myersi",-56.995833,-19.620833
"Curimatopsis myersi",-56.429167,-20.479167
"Curimatopsis myersi",-57.579167,-19.245833
"Curimatopsis myersi",-57.395833,-19.545833
"Curimatopsis myersi",-56.4875,-23.920833
"Curimatopsis myersi",-56.5125,-23.870833
"Curimatopsis myersi",-55.795833,-16.154167
"Curimatopsis myersi",-57.3875,-19.554167
"Curimatopsis myersi",-56.9875,-19.604167
"Curimatopsis myersi",-57.5125,-19.5875
"Curimatopsis myersi",-57.520833,-17.845833
"Curimatopsis myersi",-57.620833,-19.570833
"Curimatopsis myersi",-56.329167,-16.304167
"Curimatopsis myersi",-54.795833,-18.445833
"Curimatopsis myersi",-56.370833,-16.329167
"Curimatopsis myersi",-55.9,-16.33
"Curimatopsis myersi",-55.5125,-15.7625
"Curimatopsis myersi",-56.2875,-16.370833
"Curimatopsis myersi",-55.3125,-19.170833
"Curimatopsis myersi",-55.629167,-19.4875
"Curimatopsis myersi",-54.1503,-17.2089
"Curimatopsis myersi",-56.484,-23.917
"Curimatopsis myersi",-56.454167,-23.879167
"Curimatopsis myersi",-57.820833,-23.604167
"Curimatopsis myersi",-57.220833,-23.4625
"Curimatopsis myersi",-56.416667,-23.416667
"Curimatopsis myersi",-57.2625,-19.5875
"Curimatopsis myersi",-57.545833,-19.479167
"Curimatopsis myersi",-57.220833,-19.470833
"Curimatopsis myersi",-55.298,-19.162
"Curimatopsis myersi",-54.2875,-17.2375
"Curimatopsis myersi",-54.154167,-17.2125
"Curimatopsis myersi",-54.151,-17.209
"Curimatopsis myersi",-54.151,-17.201
"Curimatopsis myersi",-54.145833,-17.195833
"Curimatopsis myersi",-54.154167,-17.204167
"Curimatopsis myersi",-56.859,-16.748
"Curimatopsis myersi",-56.292,-16.39
"Curimatopsis myersi",-55.9125,-16.329167
"Curimatopsis myersi",-55.872,-16.336
"Curimatopsis myersi",-56.5375,-16.320833
"Curimatopsis myersi",-56.595833,-16.254167
"Curimatopsis myersi",-57.754167,-16.8875
"Curimatopsis myersi",-57.8375,-16.7125
"Curimatopsis myersi",-55.656,-15.766
"Curimatopsis myersi",-56.291,-15.481
"Curimatopsis myersi",-55.729167,-14.9625
"Curimatopsis myersi",-57.104167,-23.4625
"Curimatopsis myersi",-56.4625,-25.1625
"Curimatopsis myersi",-55.541667,-19.345833
"Curimatopsis myersi",-57.645833,-15.8875
"Curimatopsis myersi",-57.655556,-15.7925
"Curimatopsis myersi",-57.679167,-15.720833
"Curimatopsis myersi",-57.704167,-15.479167
"Curimatopsis myersi",-55.779167,-16.2875
"Curimatopsis myersi",-55.829167,-16.329167
"Curimatopsis myersi",-54.835,-18.4225
