"specie","longitude","latitude"
"Cyphocharax abramoides",-59.995833,-3.1625
"Cyphocharax abramoides",-65.170833,0.529167
"Cyphocharax abramoides",-51.454167,-1.8875
"Cyphocharax abramoides",-67.7,4
"Cyphocharax abramoides",-67.8125,5.2375
"Cyphocharax abramoides",-51.495833,-1.870833
"Cyphocharax abramoides",-59.9875,-3.170833
"Cyphocharax abramoides",-55.870833,-1.770833
"Cyphocharax abramoides",-62.929167,0.9625
"Cyphocharax abramoides",-67.804167,5.2375
"Cyphocharax abramoides",-51.604167,-1.920833
"Cyphocharax abramoides",-55.900002,-1.766667
"Cyphocharax abramoides",-66.9875,0.1875
"Cyphocharax abramoides",-67.6375,3.8125
"Cyphocharax abramoides",-60.9442,-2.62139
"Cyphocharax abramoides",-60.295833,-2.354167
"Cyphocharax abramoides",-55.579167,-2.6375
"Cyphocharax abramoides",-55.604167,-2.704167
"Cyphocharax abramoides",-55.478333,-2.571111
"Cyphocharax abramoides",-58.606869,-3.29317
"Cyphocharax abramoides",-65.120833,0.379167
"Cyphocharax abramoides",-59.330278,-2.123333
"Cyphocharax abramoides",-55.354167,-3.604167
"Cyphocharax abramoides",-56.254167,-4.445833
"Cyphocharax abramoides",-67.804167,5.604167
"Cyphocharax abramoides",-62.8625,0.404167
"Cyphocharax abramoides",-50.429167,-1.8375
"Cyphocharax abramoides",-62.920833,0.720833
"Cyphocharax abramoides",-55.595833,-2.695833
"Cyphocharax abramoides",-60.754167,-2.679167
"Cyphocharax abramoides",-65.320833,-4.904167
"Cyphocharax abramoides",-62.1125,-1.208333
"Cyphocharax abramoides",-56.279167,-2.320833
"Cyphocharax abramoides",-55.472778,-2.591944
"Cyphocharax abramoides",-58.33173,-3.2247
"Cyphocharax abramoides",-67.929167,3.6375
"Cyphocharax abramoides",-63.5375,0.495833
"Cyphocharax abramoides",-60.601139,-2.784417
"Cyphocharax abramoides",-55.212778,-3.361111
"Cyphocharax abramoides",-59.895833,-3.1375
"Cyphocharax abramoides",-55.214306,-2.522778
"Cyphocharax abramoides",-61.650833,1.390833
"Cyphocharax abramoides",-57.141667,-2.908333
"Cyphocharax abramoides",-54.8375,-2.479167
"Cyphocharax abramoides",-62.904167,0.395833
"Cyphocharax abramoides",-55.390889,-2.571861
"Cyphocharax abramoides",-66.329167,5.154167
"Cyphocharax abramoides",-61.4125,-4.720833
"Cyphocharax abramoides",-56.479167,-2.529167
"Cyphocharax abramoides",-63.2625,0.620833
"Cyphocharax abramoides",-67.0875,0.1375
"Cyphocharax abramoides",-56.4875,-2.120833
"Cyphocharax abramoides",-56.151667,-2.208056
"Cyphocharax abramoides",-56.370833,-2.4125
"Cyphocharax abramoides",-56.268056,-2.470833
"Cyphocharax abramoides",-66.985,3.887
"Cyphocharax abramoides",-66.970406,-2.983333
"Cyphocharax abramoides",-64.928828,0.52849
"Cyphocharax abramoides",-57.195833,-1.729167
"Cyphocharax abramoides",-51.438829,-1.77872
"Cyphocharax abramoides",-65.455575,0.395901
"Cyphocharax abramoides",-69.2,0.133333
"Cyphocharax abramoides",-69.1125,0.170833
"Cyphocharax abramoides",-69.154167,0.154167
"Cyphocharax abramoides",-65.228784,0.478302
"Cyphocharax abramoides",-55.9,-1.766667
"Cyphocharax abramoides",-55.866667,-1.766667
"Cyphocharax abramoides",-58.920833,-4.970833
"Cyphocharax abramoides",-56.483333,-2.116667
"Cyphocharax abramoides",-56.254167,-4.454167
