"specie","longitude","latitude"
"Cyphocharax aninha",-56.304167,0.4375
"Cyphocharax aninha",-53.659621,0.569562
"Cyphocharax aninha",-53.421667,0.312225
"Cyphocharax aninha",-54.20386,1.086462
"Cyphocharax aninha",-53.929556,0.823389
"Cyphocharax aninha",-55.200824,-0.255716
"Cyphocharax aninha",-52.577988,-1.537892
"Cyphocharax aninha",-55.345846,-0.170535
"Cyphocharax aninha",-53.945585,-0.95941
"Cyphocharax aninha",-53.795814,0.968956
"Cyphocharax aninha",-53.837502,0.70455
"Cyphocharax aninha",-54.054693,1.051403
"Cyphocharax aninha",-54.054693,0.880082
"Cyphocharax aninha",-53.695686,0.422822
"Cyphocharax aninha",-53.954722,0.988725
"Cyphocharax aninha",-56.243926,0.29689
"Cyphocharax aninha",-53.930323,-0.811063
"Cyphocharax aninha",-53.447461,0.404548
"Cyphocharax aninha",-53.58006,-0.63722
"Cyphocharax aninha",-53.704554,-0.718312
"Cyphocharax aninha",-54.012849,1.012373
"Cyphocharax aninha",-53.963074,0.878797
"Cyphocharax aninha",-53.170939,-0.13714
"Cyphocharax aninha",-53.987627,-0.146431
"Cyphocharax aninha",-54.003617,-0.999429
"Cyphocharax aninha",-55.013346,0.046431
"Cyphocharax aninha",-55.079029,0.034047
