"specie","longitude","latitude"
"Cyphocharax aspilos",-72.228754,9.782967
"Cyphocharax aspilos",-72.012495,9.645955
"Cyphocharax aspilos",-72.402902,10.079063
"Cyphocharax aspilos",-71.779167,8.754167
"Cyphocharax aspilos",-72.195032,9.953427
"Cyphocharax aspilos",-72.350582,9.879668
"Cyphocharax aspilos",-72.5375,8.220833
"Cyphocharax aspilos",-72.410639,8.369417
"Cyphocharax aspilos",-72.379516,9.728906
"Cyphocharax aspilos",-72.255185,9.637435
"Cyphocharax aspilos",-72.595833,9.6375
"Cyphocharax aspilos",-72.6375,8.604167
"Cyphocharax aspilos",-72.4125,8.370833
"Cyphocharax aspilos",-71.904167,9.0875
"Cyphocharax aspilos",-71.104167,10.670833
"Cyphocharax aspilos",-71.454167,9.020833
"Cyphocharax aspilos",-72.1875,10.870833
"Cyphocharax aspilos",-71,10.3167
"Cyphocharax aspilos",-71.7875,8.520833
"Cyphocharax aspilos",-72.320833,8.520833
"Cyphocharax aspilos",-72.6469,9.2894
"Cyphocharax aspilos",-71.979167,8.845833
"Cyphocharax aspilos",-72.533528,8.223583
"Cyphocharax aspilos",-71.104167,9.104167
"Cyphocharax aspilos",-72.604167,8.7125
"Cyphocharax aspilos",-72.245505,9.078449
"Cyphocharax aspilos",-70.829167,9.320833
"Cyphocharax aspilos",-72.5117,9.75
"Cyphocharax aspilos",-72.429167,9.704167
"Cyphocharax aspilos",-71.7625,8.6375
"Cyphocharax aspilos",-70.8417,9.3283
"Cyphocharax aspilos",-71,10.32
"Cyphocharax aspilos",-72.58,10.57
"Cyphocharax aspilos",-71.095833,10.6625
"Cyphocharax aspilos",-71.1875,10.8875
"Cyphocharax aspilos",-71.7875,11.054167
"Cyphocharax aspilos",-72.329167,8.5125
"Cyphocharax aspilos",-72.6125,8.704167
"Cyphocharax aspilos",-71.970833,8.8375
"Cyphocharax aspilos",-71.429167,9.0125
"Cyphocharax aspilos",-71.104167,9.070833
"Cyphocharax aspilos",-72.63,9.28
"Cyphocharax aspilos",-72.4125,9.695833
"Cyphocharax aspilos",-72.504167,9.745833
