"specie","longitude","latitude"
"Cyphocharax biocellatus",-54.4375,2.6625
"Cyphocharax biocellatus",-55.12018,2.995369
"Cyphocharax biocellatus",-54.009141,3.49023
"Cyphocharax biocellatus",-53.653641,4.327585
"Cyphocharax biocellatus",-55.496486,2.547529
"Cyphocharax biocellatus",-54.237247,2.746048
"Cyphocharax biocellatus",-53.613961,4.65501
"Cyphocharax biocellatus",-55.113488,3.98834
"Cyphocharax biocellatus",-53.803613,2.571082
"Cyphocharax biocellatus",-53.481177,4.244209
"Cyphocharax biocellatus",-55.617553,2.654319
"Cyphocharax biocellatus",-55.611081,2.755208
"Cyphocharax biocellatus",-54.803968,3.83872
"Cyphocharax biocellatus",-55.252478,2.92922
"Cyphocharax biocellatus",-53.78,4.94
"Cyphocharax biocellatus",-55.412854,3.176208
"Cyphocharax biocellatus",-54.4375,4.370833
"Cyphocharax biocellatus",-53.21878,3.921756
"Cyphocharax biocellatus",-53.621765,3.311295
"Cyphocharax biocellatus",-55.344962,2.679446
"Cyphocharax biocellatus",-54.071007,3.296066
"Cyphocharax biocellatus",-55.6107,2.48947
"Cyphocharax biocellatus",-53.87839,3.761756
"Cyphocharax biocellatus",-53.536,4.122
"Cyphocharax biocellatus",-53.823543,3.295711
