"specie","longitude","latitude"
"Cyphocharax boiadeiro",-53.3875,-17.245833
"Cyphocharax boiadeiro",-53.245633,-17.429565
"Cyphocharax boiadeiro",-50.270833,-10.504167
"Cyphocharax boiadeiro",-53.21824,-17.719486
"Cyphocharax boiadeiro",-53.005909,-17.337542
"Cyphocharax boiadeiro",-52.979342,-17.512949
"Cyphocharax boiadeiro",-52.087626,-15.53948
"Cyphocharax boiadeiro",-53.135352,-17.263303
"Cyphocharax boiadeiro",-52.29778,-15.67806
"Cyphocharax boiadeiro",-53.335454,-17.321104
"Cyphocharax boiadeiro",-53.279779,-17.230203
"Cyphocharax boiadeiro",-53.204516,-17.384831
"Cyphocharax boiadeiro",-50.245717,-10.611845
"Cyphocharax boiadeiro",-53.344786,-17.220733
"Cyphocharax boiadeiro",-53.280329,-17.303629
