"specie","longitude","latitude"
"Cyphocharax corumbae",-47.28028,-17.13
"Cyphocharax corumbae",-47.603934,-22.220606
"Cyphocharax corumbae",-47.612479,-22.237759
"Cyphocharax corumbae",-48.96,-18.619
"Cyphocharax corumbae",-48.720833,-18.5875
"Cyphocharax corumbae",-48.532,-18.59
"Cyphocharax corumbae",-48.695833,-18.429167
"Cyphocharax corumbae",-49.204167,-18.4125
"Cyphocharax corumbae",-48.2125,-18.3375
"Cyphocharax corumbae",-48.562,-18.329
"Cyphocharax corumbae",-48.145833,-18.279167
"Cyphocharax corumbae",-48.5625,-18.120833
"Cyphocharax corumbae",-47.693,-18.104
"Cyphocharax corumbae",-48.5875,-18.6875
"Cyphocharax corumbae",-48.55,-17.8
"Cyphocharax corumbae",-48.5,-17.733
"Cyphocharax corumbae",-48.583,-17.7
"Cyphocharax corumbae",-48.579167,-17.704167
"Cyphocharax corumbae",-48.371,-17.484
"Cyphocharax corumbae",-47.521,-17.378
"Cyphocharax corumbae",-47.364,-17.338
"Cyphocharax corumbae",-47.281,-17.13
"Cyphocharax corumbae",-47.970833,-16.970833
"Cyphocharax corumbae",-49.2125,-16.4125
"Cyphocharax corumbae",-48.961113,-18.619444
"Cyphocharax corumbae",-48.583333,-17.7
"Cyphocharax corumbae",-48.5,-17.733333
