"specie","longitude","latitude"
"Cyphocharax festivus",-70.120833,1.254167
"Cyphocharax festivus",-70.215472,0.676444
"Cyphocharax festivus",-73.245833,-3.845833
"Cyphocharax festivus",-52.206402,-3.20333
"Cyphocharax festivus",-67.320833,6.545833
"Cyphocharax festivus",-59.2875,3.895833
"Cyphocharax festivus",-65.204167,7.3625
"Cyphocharax festivus",-59.988552,3.920595
"Cyphocharax festivus",-61.420833,8.4625
"Cyphocharax festivus",-74.504167,-5.2875
"Cyphocharax festivus",-55.354167,-3.604167
"Cyphocharax festivus",-73.295833,-3.7375
"Cyphocharax festivus",-59.304167,3.754167
"Cyphocharax festivus",-59.104167,3.9125
"Cyphocharax festivus",-48.420556,-10.720833
"Cyphocharax festivus",-63.468611,-3.852778
"Cyphocharax festivus",-73.495833,-3.870833
"Cyphocharax festivus",-68.2625,3.229167
"Cyphocharax festivus",-59.9625,2.9625
"Cyphocharax festivus",-48.379167,-12.245833
"Cyphocharax festivus",-67.8125,5.2125
"Cyphocharax festivus",-59.91765,2.92725
"Cyphocharax festivus",-66.295833,4.670833
"Cyphocharax festivus",-64.429167,5.929167
"Cyphocharax festivus",-59.245833,2.4625
"Cyphocharax festivus",-68.2125,5.820833
"Cyphocharax festivus",-58.795833,4.804167
"Cyphocharax festivus",-59.3875,3.695833
"Cyphocharax festivus",-73.1875,-3.8125
"Cyphocharax festivus",-59.645833,3.304167
"Cyphocharax festivus",-51.454167,-1.8875
"Cyphocharax festivus",-48.370833,-9.7625
"Cyphocharax festivus",-59.111,5.36333
"Cyphocharax festivus",-66.454167,3.679167
"Cyphocharax festivus",-73.345833,-3.779167
"Cyphocharax festivus",-48.751667,-11.1375
"Cyphocharax festivus",-73.237543,-3.696283
"Cyphocharax festivus",-48.240889,-13.803444
"Cyphocharax festivus",-59.545833,4.4875
"Cyphocharax festivus",-59.7875,3.4625
"Cyphocharax festivus",-67.5125,1.920833
"Cyphocharax festivus",-73.245833,-3.695833
"Cyphocharax festivus",-58.62889,5.52778
"Cyphocharax festivus",-64.7983,6.8922
"Cyphocharax festivus",-57.620833,-9.195833
"Cyphocharax festivus",-48.425,-10.694167
"Cyphocharax festivus",-66.96112,3.70278
"Cyphocharax festivus",-70.513611,1.325
"Cyphocharax festivus",-73.3625,-3.795833
"Cyphocharax festivus",-59.395833,5.2625
"Cyphocharax festivus",-72.6875,2.354167
"Cyphocharax festivus",-48.414167,-10.692778
"Cyphocharax festivus",-64.4125,6.7625
"Cyphocharax festivus",-59.454167,5.204167
"Cyphocharax festivus",-48.228056,-12.5225
"Cyphocharax festivus",-68.1,5.97
"Cyphocharax festivus",-58.48643,4.43153
"Cyphocharax festivus",-65.64861,1.4475
"Cyphocharax festivus",-67.620833,7.120833
"Cyphocharax festivus",-48.418611,-10.697222
"Cyphocharax festivus",-48.168722,-13.300722
"Cyphocharax festivus",-66.7625,4.120833
"Cyphocharax festivus",-48.38,-10.536944
"Cyphocharax festivus",-59.295833,3.845833
"Cyphocharax festivus",-58.7875,4.754167
"Cyphocharax festivus",-73.370833,3.295833
"Cyphocharax festivus",-73.332811,-3.770826
"Cyphocharax festivus",-67.4125,6.179167
"Cyphocharax festivus",-59.329167,3.6625
"Cyphocharax festivus",-66.804167,-2.504167
"Cyphocharax festivus",-59.3125,5.304167
"Cyphocharax festivus",-59.345833,3.704167
"Cyphocharax festivus",-63.6625,8.495833
"Cyphocharax festivus",-67.829167,6.270833
"Cyphocharax festivus",-68.5125,5.7375
"Cyphocharax festivus",-59.6125,3.604167
"Cyphocharax festivus",-73.395833,-3.8375
"Cyphocharax festivus",-59.245833,2.104167
"Cyphocharax festivus",-59.2375,2.9625
"Cyphocharax festivus",-64.4786,5.8997
"Cyphocharax festivus",-58.55528,5.97611
"Cyphocharax festivus",-70.927972,5.660389
"Cyphocharax festivus",-59.795833,3.479167
"Cyphocharax festivus",-71.804167,4.554167
"Cyphocharax festivus",-58.849167,4.821389
"Cyphocharax festivus",-70.866667,4.583333
"Cyphocharax festivus",-48.4125,-10.729167
"Cyphocharax festivus",-59.6125,3.895833
"Cyphocharax festivus",-59.34877,2.62759
"Cyphocharax festivus",-67.395833,6.295833
"Cyphocharax festivus",-56.77587,-9.33055
"Cyphocharax festivus",-48.4625,-11.3125
"Cyphocharax festivus",-72.720833,4.395833
"Cyphocharax festivus",-67.80954,5.20952
