"specie","longitude","latitude"
"Cyphocharax gangamon",-56.659888,-12.32025
"Cyphocharax gangamon",-56.537686,-9.803867
"Cyphocharax gangamon",-55.02049,-4.230485
"Cyphocharax gangamon",-56.846156,-5.471297
"Cyphocharax gangamon",-57.4,-11.533333
"Cyphocharax gangamon",-57.088465,-9.028901
"Cyphocharax gangamon",-57.44,-6.530556
"Cyphocharax gangamon",-55.6125,-4.625
"Cyphocharax gangamon",-57.320833,-11.5125
"Cyphocharax gangamon",-55.645833,-4.070833
"Cyphocharax gangamon",-55.451773,-11.235102
"Cyphocharax gangamon",-55.37051,-11.134563
"Cyphocharax gangamon",-55.304833,-11.08675
"Cyphocharax gangamon",-55.262,-11.063
"Cyphocharax gangamon",-55.368645,-11.021216
"Cyphocharax gangamon",-55.545866,-11.027612
"Cyphocharax gangamon",-55.529,-10.979
"Cyphocharax gangamon",-55.649482,-10.954898
"Cyphocharax gangamon",-55.68225,-10.984861
"Cyphocharax gangamon",-55.712,-11.073
"Cyphocharax gangamon",-55.752333,-10.968056
"Cyphocharax gangamon",-55.82,-10.98
"Cyphocharax gangamon",-55.828,-11.074
"Cyphocharax gangamon",-55.897,-11.036
"Cyphocharax gangamon",-55.654,-9.896
"Cyphocharax gangamon",-55.713,-9.974
"Cyphocharax gangamon",-55.563,-10.026
"Cyphocharax gangamon",-56.197,-10.13
"Cyphocharax gangamon",-55.996,-10.114
"Cyphocharax gangamon",-56.246333,-10.041278
"Cyphocharax gangamon",-56.070028,-9.870472
"Cyphocharax gangamon",-56.308,-9.555
