"specie","longitude","latitude"
"Cyphocharax gilbert",-41.379167,-21.745833
"Cyphocharax gilbert",-42.404167,-21.1375
"Cyphocharax gilbert",-45.966667,-23.333333
"Cyphocharax gilbert",-40.370833,-17.845833
"Cyphocharax gilbert",-41.722222,-20.884722
"Cyphocharax gilbert",-39.604167,-17.270833
"Cyphocharax gilbert",-39.405605,-14.322906
"Cyphocharax gilbert",-39.843056,-18.306944
"Cyphocharax gilbert",-41.291944,-12.760833
"Cyphocharax gilbert",-40.937778,-18.847778
"Cyphocharax gilbert",-39.270833,-16.395833
"Cyphocharax gilbert",-39.945833,-18.3875
"Cyphocharax gilbert",-40.896389,-18.822778
"Cyphocharax gilbert",-41.133333,-21.683333
"Cyphocharax gilbert",-41.454167,-21.770833
"Cyphocharax gilbert",-40.195833,-10.4625
"Cyphocharax gilbert",-42.6786,-19.172199
"Cyphocharax gilbert",-40.6375,-17.395833
"Cyphocharax gilbert",-39.849444,-17.938333
"Cyphocharax gilbert",-40.579167,-19.5125
"Cyphocharax gilbert",-40.821944,-19.806944
"Cyphocharax gilbert",-43.145833,-22.495833
"Cyphocharax gilbert",-41.195833,-21.679167
"Cyphocharax gilbert",-39.9125,-8.979167
"Cyphocharax gilbert",-40.445833,-18.120833
"Cyphocharax gilbert",-40.645833,-20.806111
"Cyphocharax gilbert",-42.554167,-21.829167
"Cyphocharax gilbert",-41.533056,-20.763611
"Cyphocharax gilbert",-41.654167,-22.1875
"Cyphocharax gilbert",-41.716944,-20.955278
"Cyphocharax gilbert",-40.479167,-20.270833
"Cyphocharax gilbert",-39.954167,-18.3125
"Cyphocharax gilbert",-40.220833,-17.895833
"Cyphocharax gilbert",-40.486944,-18.856944
"Cyphocharax gilbert",-40.326944,-19.522203
"Cyphocharax gilbert",-42.120833,-21.695833
"Cyphocharax gilbert",-40.267778,-18.495
"Cyphocharax gilbert",-40.3125,-18.6375
"Cyphocharax gilbert",-39.786389,-17.812222
"Cyphocharax gilbert",-40.8375,-20.9375
"Cyphocharax gilbert",-40.570833,-19.5375
"Cyphocharax gilbert",-42.951944,-22.713056
"Cyphocharax gilbert",-39.520833,-17.704167
"Cyphocharax gilbert",-40.695833,-18.8125
"Cyphocharax gilbert",-41.328611,-12.660306
"Cyphocharax gilbert",-41.268611,-20.759639
"Cyphocharax gilbert",-44.345833,-17.345833
"Cyphocharax gilbert",-39.8125,-14.370833
"Cyphocharax gilbert",-40.797222,-20.808611
"Cyphocharax gilbert",-45.5375,-23.279167
"Cyphocharax gilbert",-39.953333,-18.311389
"Cyphocharax gilbert",-42.779167,-21.404167
"Cyphocharax gilbert",-41.413056,-21.454722
"Cyphocharax gilbert",-41.75,-21.25
"Cyphocharax gilbert",-41.7175,-19.984167
"Cyphocharax gilbert",-43.954167,-22.783333
"Cyphocharax gilbert",-45.620833,-23.395833
"Cyphocharax gilbert",-42.470833,-10.3125
"Cyphocharax gilbert",-40.870833,-19.345833
"Cyphocharax gilbert",-41.713889,-19.978333
"Cyphocharax gilbert",-41.135833,-20.796667
"Cyphocharax gilbert",-41.348331,-17.844166
"Cyphocharax gilbert",-40.127361,-18.966444
"Cyphocharax gilbert",-42.333333,-21.133333
"Cyphocharax gilbert",-40.895833,-18.822222
"Cyphocharax gilbert",-40.220833,-18.9875
"Cyphocharax gilbert",-41.721111,-20.880556
"Cyphocharax gilbert",-40.614444,-19.616111
"Cyphocharax gilbert",-40.7875,-19.579167
"Cyphocharax gilbert",-41.5125,-20.379167
"Cyphocharax gilbert",-41.179167,-20.754167
"Cyphocharax gilbert",-40.504167,-19.620833
"Cyphocharax gilbert",-39.398056,-14.393056
"Cyphocharax gilbert",-40.209444,-20.150278
"Cyphocharax gilbert",-42.554167,-21.770833
"Cyphocharax gilbert",-41.673028,-20.754111
"Cyphocharax gilbert",-42.804167,-21.229167
"Cyphocharax gilbert",-41.7175,-20.900278
"Cyphocharax gilbert",-39.554167,-17.4375
"Cyphocharax gilbert",-39.415194,-14.366557
"Cyphocharax gilbert",-40.404167,-19.5375
