"specie","longitude","latitude"
"Cyphocharax gillii",-55.370833,-14.829167
"Cyphocharax gillii",-55.2981,-19.1611
"Cyphocharax gillii",-57.2125,-15.645833
"Cyphocharax gillii",-56.858056,-16.747222
"Cyphocharax gillii",-57.629167,-16.8125
"Cyphocharax gillii",-57.654167,-18.995833
"Cyphocharax gillii",-57.650002,-15.933056
"Cyphocharax gillii",-56.99,-19.583333
"Cyphocharax gillii",-56.7125,-16.5875
"Cyphocharax gillii",-57.879167,-25.320833
"Cyphocharax gillii",-56.595833,-16.254167
"Cyphocharax gillii",-53.737222,-17.993611
"Cyphocharax gillii",-56.9875,-19.6125
"Cyphocharax gillii",-56.9875,-19.579167
"Cyphocharax gillii",-55.5125,-15.279167
"Cyphocharax gillii",-57.2625,-25.3875
"Cyphocharax gillii",-56.7125,-16.6125
"Cyphocharax gillii",-56.754167,-16.4875
"Cyphocharax gillii",-56.4875,-25.6375
"Cyphocharax gillii",-56.854167,-16.745833
"Cyphocharax gillii",-56.520833,-19.5125
"Cyphocharax gillii",-56.245833,-19.570833
"Cyphocharax gillii",-56.604167,-16.229167
"Cyphocharax gillii",-56.6625,-16.420833
"Cyphocharax gillii",-56.1419,-19.5894
"Cyphocharax gillii",-53.454167,-18.270833
"Cyphocharax gillii",-56.370833,-16.329167
"Cyphocharax gillii",-57.370833,-19.4375
"Cyphocharax gillii",-57.3125,-19.404167
"Cyphocharax gillii",-56.995833,-19.620833
"Cyphocharax gillii",-55.804167,-16.179167
"Cyphocharax gillii",-56.3125,-16.370833
"Cyphocharax gillii",-57.594222,-16.946028
"Cyphocharax gillii",-58.151823,-16.467932
"Cyphocharax gillii",-55.833118,-16.325797
"Cyphocharax gillii",-56.77,-20.67
"Cyphocharax gillii",-55.170833,-19.3125
"Cyphocharax gillii",-56.966667,-19.683332
"Cyphocharax gillii",-55.25806,-20.50306
"Cyphocharax gillii",-57.110557,-14.252946
"Cyphocharax gillii",-55.354167,-19.629167
"Cyphocharax gillii",-55.37444,-20.53583
"Cyphocharax gillii",-56.429167,-24.654167
"Cyphocharax gillii",-57.3375,-19.4125
"Cyphocharax gillii",-57.3625,-19.304167
"Cyphocharax gillii",-56.695833,-16.4625
"Cyphocharax gillii",-56.6625,-16.4375
"Cyphocharax gillii",-56.335556,-15.744722
"Cyphocharax gillii",-56.970833,-19.595833
"Cyphocharax gillii",-54.834999,-18.422501
"Cyphocharax gillii",-55.923222,-16.453889
"Cyphocharax gillii",-57.745833,-16.729167
"Cyphocharax gillii",-57.454167,-19.520833
"Cyphocharax gillii",-56.329167,-16.304167
"Cyphocharax gillii",-55.345833,-19.145833
"Cyphocharax gillii",-56.8375,-26.5375
"Cyphocharax gillii",-57.2125,-19.470833
"Cyphocharax gillii",-57.478583,-17.878278
"Cyphocharax gillii",-55.918497,-15.539167
"Cyphocharax gillii",-56.88308,-22.783587
"Cyphocharax gillii",-58.195833,-15.826111
"Cyphocharax gillii",-55.620833,-20.8125
"Cyphocharax gillii",-55.645833,-19.495833
"Cyphocharax gillii",-55.620833,-14.8375
"Cyphocharax gillii",-57.381494,-17.827158
"Cyphocharax gillii",-55.795833,-16.154167
"Cyphocharax gillii",-53.8375,-18.304167
"Cyphocharax gillii",-54.834972,-18.423444
"Cyphocharax gillii",-55.8875,-16.2125
"Cyphocharax gillii",-57.120833,-26.3875
"Cyphocharax gillii",-55.629167,-19.4875
"Cyphocharax gillii",-56.670833,-22.770833
"Cyphocharax gillii",-55.41306,-20.495
"Cyphocharax gillii",-56.29,-16.37
"Cyphocharax gillii",-56.479168,-15.998055
"Cyphocharax gillii",-55.9375,-24.370833
"Cyphocharax gillii",-56.870833,-15.854167
"Cyphocharax gillii",-58.454167,-15.854167
"Cyphocharax gillii",-55.270833,-19.954167
"Cyphocharax gillii",-56.979167,-19.6375
"Cyphocharax gillii",-56.329167,-19.6125
"Cyphocharax gillii",-56.3625,-16.3125
"Cyphocharax gillii",-55.8325,-16.325833
"Cyphocharax gillii",-57.8375,-16.7125
"Cyphocharax gillii",-56.9875,-19.604167
"Cyphocharax gillii",-57.254167,-15.629167
"Cyphocharax gillii",-56.5125,-23.870833
"Cyphocharax gillii",-56.329167,-15.770833
"Cyphocharax gillii",-56.954167,-19.5875
"Cyphocharax gillii",-55.950001,-16.183332
"Cyphocharax gillii",-55.677222,-15.113889
"Cyphocharax gillii",-56.4875,-19.620833
"Cyphocharax gillii",-55.106581,-17.671397
"Cyphocharax gillii",-55.6375,-24.245833
"Cyphocharax gillii",-55.820833,-20.4625
"Cyphocharax gillii",-55.36556,-20.54583
"Cyphocharax gillii",-56.2625,-15.8625
"Cyphocharax gillii",-56.9875,-19.570833
"Cyphocharax gillii",-57.6125,-19.295833
"Cyphocharax gillii",-57.42,-25.145
"Cyphocharax gillii",-56.6375,-16.345833
"Cyphocharax gillii",-55.6375,-24.4125
"Cyphocharax gillii",-57.466727,-25.321158
"Cyphocharax gillii",-54.150002,-17.200001
"Cyphocharax gillii",-56.5625,-23.895833
"Cyphocharax gillii",-57.579167,-19.245833
"Cyphocharax gillii",-56.38917,-20.25972
"Cyphocharax gillii",-57.6875,-16.6875
"Cyphocharax gillii",-57.304167,-25.845833
"Cyphocharax gillii",-56.304167,-20.729167
"Cyphocharax gillii",-54.3625,-18.420833
"Cyphocharax gillii",-55.970833,-16.195833
"Cyphocharax gillii",-54.677222,-18.506389
"Cyphocharax gillii",-55.671408,-15.146553
"Cyphocharax gillii",-56.729167,-24.520833
"Cyphocharax gillii",-53.379444,-18.202499
"Cyphocharax gillii",-57.679167,-19.404167
"Cyphocharax gillii",-56.708333,-15.6625
"Cyphocharax gillii",-57.420833,-19.420833
"Cyphocharax gillii",-56.969444,-19.341389
"Cyphocharax gillii",-56.479167,-15.995833
"Cyphocharax gillii",-58.195835,-15.826111
"Cyphocharax gillii",-57.870833,-24.145833
"Cyphocharax gillii",-56.397,-23.841
"Cyphocharax gillii",-56.458,-23.822
"Cyphocharax gillii",-57.215,-23.223
"Cyphocharax gillii",-57.144,-23.124
"Cyphocharax gillii",-57.1375,-23.120833
"Cyphocharax gillii",-57.220833,-23.4625
"Cyphocharax gillii",-56.879167,-22.7875
"Cyphocharax gillii",-55.426,-20.601
"Cyphocharax gillii",-55.420833,-20.604167
"Cyphocharax gillii",-55.366,-20.546
"Cyphocharax gillii",-55.382,-20.53
"Cyphocharax gillii",-55.397,-20.514
"Cyphocharax gillii",-55.254167,-20.504167
"Cyphocharax gillii",-55.413,-20.495
"Cyphocharax gillii",-55.420833,-20.4625
"Cyphocharax gillii",-56.967,-19.683
"Cyphocharax gillii",-57.295833,-19.654167
"Cyphocharax gillii",-56.142,-19.589
"Cyphocharax gillii",-56.99,-19.584
"Cyphocharax gillii",-56.984,-19.584
"Cyphocharax gillii",-57.8875,-19.504167
"Cyphocharax gillii",-57.3375,-19.5125
"Cyphocharax gillii",-57.417,-19.417
"Cyphocharax gillii",-56.969,-19.341
"Cyphocharax gillii",-55.298,-19.162
"Cyphocharax gillii",-55.298,-19.161
"Cyphocharax gillii",-57.726,-18.98
"Cyphocharax gillii",-58.470833,-18.995833
"Cyphocharax gillii",-57.795833,-18.945833
"Cyphocharax gillii",-57.818,-18.937
"Cyphocharax gillii",-54.835,-18.423
"Cyphocharax gillii",-53.379,-18.202
"Cyphocharax gillii",-57.382,-17.828
"Cyphocharax gillii",-59.929167,-17.7375
"Cyphocharax gillii",-58.7625,-17.6875
"Cyphocharax gillii",-58.454167,-17.5375
"Cyphocharax gillii",-58.729167,-17.5125
"Cyphocharax gillii",-54.154167,-17.204167
"Cyphocharax gillii",-56.859,-16.748
"Cyphocharax gillii",-56.858,-16.748
"Cyphocharax gillii",-57.75,-16.733
"Cyphocharax gillii",-58.704167,-16.620833
"Cyphocharax gillii",-56.370833,-16.529167
"Cyphocharax gillii",-58.470833,-16.470833
"Cyphocharax gillii",-56.420833,-16.4375
"Cyphocharax gillii",-56.292,-16.39
"Cyphocharax gillii",-56.6375,-16.354167
"Cyphocharax gillii",-56.5375,-16.320833
"Cyphocharax gillii",-56.620833,-16.220833
"Cyphocharax gillii",-55.954167,-16.179167
"Cyphocharax gillii",-57.754167,-16.8875
"Cyphocharax gillii",-57.683,-16.67
"Cyphocharax gillii",-57.679167,-16.629167
"Cyphocharax gillii",-56.479,-15.998
"Cyphocharax gillii",-57.654167,-15.929167
