"specie","longitude","latitude"
"Cyphocharax gouldingi",-49.2375,-6.6875
"Cyphocharax gouldingi",-47.770833,-3.279167
"Cyphocharax gouldingi",-51.603056,-3.143889
"Cyphocharax gouldingi",-52.206402,-3.20333
"Cyphocharax gouldingi",-50.195833,-5.979167
"Cyphocharax gouldingi",-53.668194,-4.470722
"Cyphocharax gouldingi",-47.364445,-1.552222
"Cyphocharax gouldingi",-53.927222,-14.64
"Cyphocharax gouldingi",-47.9125,-3.329167
"Cyphocharax gouldingi",-52.870833,-3.845833
"Cyphocharax gouldingi",-66.170833,-11.104167
"Cyphocharax gouldingi",-47.779167,-3.304167
"Cyphocharax gouldingi",-52.676944,-3.823611
"Cyphocharax gouldingi",-51.745833,-3.2375
"Cyphocharax gouldingi",-56.129167,-2.179167
"Cyphocharax gouldingi",-52.2064,-3.20333
"Cyphocharax gouldingi",-48.220833,-12.4875
"Cyphocharax gouldingi",-49.970833,-9.279167
"Cyphocharax gouldingi",-57.6875,-6.404167
"Cyphocharax gouldingi",-48.382778,-10.849167
"Cyphocharax gouldingi",-51.6875,-3.2375
"Cyphocharax gouldingi",-58.304167,-6.504167
"Cyphocharax gouldingi",-50.929167,2.170833
"Cyphocharax gouldingi",-53.668333,-4.470833
"Cyphocharax gouldingi",-49.204167,-5.479167
"Cyphocharax gouldingi",-57.754167,-6.229167
"Cyphocharax gouldingi",-52.71125,-15.499139
"Cyphocharax gouldingi",-52.445833,-3.670833
"Cyphocharax gouldingi",-48.465,-2.506667
"Cyphocharax gouldingi",-51.567222,-3.797222
"Cyphocharax gouldingi",-51.7125,-3.829167
"Cyphocharax gouldingi",-50.1625,-9.720833
"Cyphocharax gouldingi",-51.1978,-3.47222
"Cyphocharax gouldingi",-52.872222,-3.841667
"Cyphocharax gouldingi",-52.220833,-15.8875
"Cyphocharax gouldingi",-48.529167,-11.279167
"Cyphocharax gouldingi",-51.9375,-6.204167
"Cyphocharax gouldingi",-52.620833,-3.820833
"Cyphocharax gouldingi",-58.233667,4.14845
"Cyphocharax gouldingi",-48.220833,-12.8375
"Cyphocharax gouldingi",-55.870833,-1.770833
"Cyphocharax gouldingi",-51.889444,0.718056
"Cyphocharax gouldingi",-48.196893,-1.964705
"Cyphocharax gouldingi",-52.219167,-3.414889
"Cyphocharax gouldingi",-48.229167,-12.745833
"Cyphocharax gouldingi",-52.376611,-15.595778
