"specie","longitude","latitude"
"Cyphocharax helleri",-56.5817,4.215
"Cyphocharax helleri",-53.529167,4.104167
"Cyphocharax helleri",-53.636944,4.743056
"Cyphocharax helleri",-52.795833,2.845833
"Cyphocharax helleri",-58.474612,4.138448
"Cyphocharax helleri",-53.545833,4.1375
"Cyphocharax helleri",-60.367117,6.32715
"Cyphocharax helleri",-59.570833,7.4875
"Cyphocharax helleri",-53.2375,5.2625
"Cyphocharax helleri",-53.929167,3.395833
"Cyphocharax helleri",-59.3875,7.520833
"Cyphocharax helleri",-58.977556,4.298171
"Cyphocharax helleri",-56.452,4.31
"Cyphocharax helleri",-54.629167,3.354167
"Cyphocharax helleri",-53.875,4.545833
"Cyphocharax helleri",-57.7,3.7
"Cyphocharax helleri",-52.954167,4.570833
"Cyphocharax helleri",-53.5375,4.129167
"Cyphocharax helleri",-60.2317,6.20943
"Cyphocharax helleri",-56.5156,4.5308
"Cyphocharax helleri",-59.2375,7.670833
"Cyphocharax helleri",-52.746111,2.3325
"Cyphocharax helleri",-53.520833,4.970833
"Cyphocharax helleri",-61.644613,6.977234
"Cyphocharax helleri",-52.96,4.86
"Cyphocharax helleri",-52.495833,4.545833
"Cyphocharax helleri",-52.94,4.68
"Cyphocharax helleri",-53.9,5.63
"Cyphocharax helleri",-54.1125,5.379167
"Cyphocharax helleri",-53.179167,3.595833
"Cyphocharax helleri",-59.245833,2.4625
"Cyphocharax helleri",-52.595833,3.995833
"Cyphocharax helleri",-53.66,5.17
"Cyphocharax helleri",-59.496256,7.547801
"Cyphocharax helleri",-52.486111,2.78
"Cyphocharax helleri",-58.929167,7.654167
"Cyphocharax helleri",-52.900833,4.556111
"Cyphocharax helleri",-54.370833,4.320833
"Cyphocharax helleri",-52.870833,2.254167
"Cyphocharax helleri",-59.154167,7.570833
"Cyphocharax helleri",-52.3875,3.970833
"Cyphocharax helleri",-54.620833,0.8375
"Cyphocharax helleri",-59.545833,7.5125
"Cyphocharax helleri",-52.7125,4.520833
"Cyphocharax helleri",-53.645833,4.9875
"Cyphocharax helleri",-54.4125,5.875
"Cyphocharax helleri",-53.229167,3.920833
"Cyphocharax helleri",-53.970833,4.945833
"Cyphocharax helleri",-54.643443,4.66781
"Cyphocharax helleri",-59.970833,4.695833
"Cyphocharax helleri",-53.520833,4.095833
"Cyphocharax helleri",-59.3625,7.270833
"Cyphocharax helleri",-52.879167,4.5375
"Cyphocharax helleri",-54.4625,2.245833
"Cyphocharax helleri",-56.5839,4.2542
"Cyphocharax helleri",-56.4997,4.3636
"Cyphocharax helleri",-54.105556,3.758333
"Cyphocharax helleri",-53.754167,2.954167
"Cyphocharax helleri",-52.299444,3.188056
"Cyphocharax helleri",-54.779167,3.304167
"Cyphocharax helleri",-53.529167,4.9125
"Cyphocharax helleri",-52.53,2.59
"Cyphocharax helleri",-52.986389,4.773611
"Cyphocharax helleri",-52.95,5.33
"Cyphocharax helleri",-59.329167,7.304167
"Cyphocharax helleri",-54.645833,3.3125
"Cyphocharax helleri",-55.6107,2.48947
"Cyphocharax helleri",-54.395833,5.370833
"Cyphocharax helleri",-53.820833,3.604167
"Cyphocharax helleri",-52.8625,2.2625
"Cyphocharax helleri",-53.9375,5.6625
