"specie","longitude","latitude"
"Cyphocharax laticlavius",-75.537786,-1.144987
"Cyphocharax laticlavius",-76.129129,-1.453937
"Cyphocharax laticlavius",-75.280645,-0.98623
"Cyphocharax laticlavius",-75.736994,-1.413581
"Cyphocharax laticlavius",-75.772781,-1.553684
"Cyphocharax laticlavius",-75.534645,-0.81805
"Cyphocharax laticlavius",-75.129184,-1.013641
"Cyphocharax laticlavius",-75.203424,-1.529032
"Cyphocharax laticlavius",-74.785114,-1.332013
"Cyphocharax laticlavius",-75.743085,-1.060279
"Cyphocharax laticlavius",-75.268653,-1.24778
"Cyphocharax laticlavius",-75.069222,-1.750322
"Cyphocharax laticlavius",-74.706592,-1.763171
"Cyphocharax laticlavius",-75.002121,-1.436233
"Cyphocharax laticlavius",-75.553617,-1.358568
"Cyphocharax laticlavius",-74.800819,-1.209233
"Cyphocharax laticlavius",-75.995055,-1.075031
"Cyphocharax laticlavius",-74.987845,-1.157837
"Cyphocharax laticlavius",-75.830872,-1.140704
"Cyphocharax laticlavius",-74.843649,-2.087254
"Cyphocharax laticlavius",-75.576333,-1.552922
"Cyphocharax laticlavius",-76.422659,-0.662433
"Cyphocharax laticlavius",-75.645036,-0.695983
"Cyphocharax laticlavius",-75.87862,-1.3382
"Cyphocharax laticlavius",-75.470399,-1.054473
"Cyphocharax laticlavius",-75.505362,-1.137849
"Cyphocharax laticlavius",-75.646574,-1.086167
