"specie","longitude","latitude"
"Cyphocharax leucostictus",-61.546389,-2.327778
"Cyphocharax leucostictus",-66.170833,-11.104167
"Cyphocharax leucostictus",-63.195833,-5.629167
"Cyphocharax leucostictus",-58.520833,-3.8625
"Cyphocharax leucostictus",-66.8375,1.2875
"Cyphocharax leucostictus",-50.3875,-5.854167
"Cyphocharax leucostictus",-52.788889,-3.883333
"Cyphocharax leucostictus",-50.161389,-9.720556
"Cyphocharax leucostictus",-57.6125,-9.195833
"Cyphocharax leucostictus",-51.1978,-3.47222
"Cyphocharax leucostictus",-54.894611,-2.436778
"Cyphocharax leucostictus",-52.2064,-3.20333
"Cyphocharax leucostictus",-54.890833,-2.435833
"Cyphocharax leucostictus",-50.604167,-6.329167
"Cyphocharax leucostictus",-56.270833,-4.579167
"Cyphocharax leucostictus",-63.521944,-6.559167
"Cyphocharax leucostictus",-50.554167,-4.9625
"Cyphocharax leucostictus",-59.330278,-2.123056
"Cyphocharax leucostictus",-54.890833,-2.435944
"Cyphocharax leucostictus",-50.329167,-5.7375
"Cyphocharax leucostictus",-51.754167,-3.6375
"Cyphocharax leucostictus",-56.439167,-5.180278
"Cyphocharax leucostictus",-51.879167,-3.129167
"Cyphocharax leucostictus",-51.291667,-5.520833
"Cyphocharax leucostictus",-66.645833,2.820833
"Cyphocharax leucostictus",-51.9875,-3.704167
"Cyphocharax leucostictus",-55.150028,-2.634583
"Cyphocharax leucostictus",-52.678611,-3.823611
"Cyphocharax leucostictus",-53.854167,-13.479167
"Cyphocharax leucostictus",-63.579167,-6.4375
"Cyphocharax leucostictus",-64.2125,-12.570833
"Cyphocharax leucostictus",-56.720833,-2.604167
"Cyphocharax leucostictus",-51.567222,-3.797222
"Cyphocharax leucostictus",-52.620833,-3.820833
"Cyphocharax leucostictus",-60.295833,-2.354167
"Cyphocharax leucostictus",-51.765556,-3.591667
"Cyphocharax leucostictus",-58.606869,-3.29317
"Cyphocharax leucostictus",-60.954167,-2.620833
"Cyphocharax leucostictus",-55.579167,-2.6375
"Cyphocharax leucostictus",-50.595833,-4.6125
"Cyphocharax leucostictus",-60.979167,1.920833
"Cyphocharax leucostictus",-61.403056,-4.729167
"Cyphocharax leucostictus",-70.226929,1.265833
"Cyphocharax leucostictus",-60.78255,-2.77925
"Cyphocharax leucostictus",-60.2125,-6.145833
"Cyphocharax leucostictus",-54.970833,-2.479167
"Cyphocharax leucostictus",-50.829167,-4.320833
"Cyphocharax leucostictus",-56.360942,-4.661081
"Cyphocharax leucostictus",-70.239333,1.244167
"Cyphocharax leucostictus",-70.2395,1.243861
"Cyphocharax leucostictus",-60.9442,-2.62139
"Cyphocharax leucostictus",-60.1625,-3.1125
"Cyphocharax leucostictus",-59.829167,3.345833
"Cyphocharax leucostictus",-52.429167,-3.6125
"Cyphocharax leucostictus",-70.229167,1.2625
"Cyphocharax leucostictus",-50.161667,-9.720556
"Cyphocharax leucostictus",-49.2875,-5.370833
"Cyphocharax leucostictus",-50.2125,-5.720833
"Cyphocharax leucostictus",-49.920833,-5.2875
"Cyphocharax leucostictus",-59.3625,3.645833
"Cyphocharax leucostictus",-50.4125,-4.454167
"Cyphocharax leucostictus",-64.2375,-12.5625
"Cyphocharax leucostictus",-49.584444,-6.138611
"Cyphocharax leucostictus",-49.6125,-5.620833
"Cyphocharax leucostictus",-49.354167,-5.404167
"Cyphocharax leucostictus",-61.470833,-1.579167
"Cyphocharax leucostictus",-51.7125,-3.829167
"Cyphocharax leucostictus",-54.826944,-13.114722
"Cyphocharax leucostictus",-61.333332,-3.833333
"Cyphocharax leucostictus",-54.355361,-3.798917
"Cyphocharax leucostictus",-55.4375,-2.479167
"Cyphocharax leucostictus",-50.6375,-13.4375
"Cyphocharax leucostictus",-57.345833,-5.7625
"Cyphocharax leucostictus",-47.4375,-6.5625
"Cyphocharax leucostictus",-48.379167,-10.345833
"Cyphocharax leucostictus",-55.7125,-2.879167
"Cyphocharax leucostictus",-50.4375,-4.829167
"Cyphocharax leucostictus",-64.929167,-9.620833
"Cyphocharax leucostictus",-73.129167,-3.5125
"Cyphocharax leucostictus",-67.87381,0.136869
