"specie","longitude","latitude"
"Cyphocharax magdalenae",-77.645833,8.329167
"Cyphocharax magdalenae",-78.961153,9.15564
"Cyphocharax magdalenae",-79.795833,8.895833
"Cyphocharax magdalenae",-80.316191,8.441791
"Cyphocharax magdalenae",-79.116191,9.267286
"Cyphocharax magdalenae",-78.9375,9.1125
"Cyphocharax magdalenae",-77.586294,8.37252
"Cyphocharax magdalenae",-77.637098,7.868685
"Cyphocharax magdalenae",-74.911122,10.250207
"Cyphocharax magdalenae",-79.145833,9.1625
"Cyphocharax magdalenae",-79.429167,9.291667
"Cyphocharax magdalenae",-83.625,8.629167
"Cyphocharax magdalenae",-82.479167,8.320833
"Cyphocharax magdalenae",-80.954167,8.704167
"Cyphocharax magdalenae",-79.799784,9.138844
"Cyphocharax magdalenae",-73.8125,7.9625
"Cyphocharax magdalenae",-77.229697,7.15511
"Cyphocharax magdalenae",-76.662999,5.692245
"Cyphocharax magdalenae",-79.329167,9.120833
"Cyphocharax magdalenae",-74.91289,10.240202
"Cyphocharax magdalenae",-77.618824,7.954976
"Cyphocharax magdalenae",-74.845645,10.2815
"Cyphocharax magdalenae",-73.879167,7.7125
"Cyphocharax magdalenae",-76.720833,5.420833
"Cyphocharax magdalenae",-79.759809,9.14503
"Cyphocharax magdalenae",-71.1625,10.370833
"Cyphocharax magdalenae",-77.1317,7.389128
"Cyphocharax magdalenae",-76.6625,5.6875
"Cyphocharax magdalenae",-75.129167,10.3875
"Cyphocharax magdalenae",-79.46085,9.100369
"Cyphocharax magdalenae",-77.104167,7.429167
"Cyphocharax magdalenae",-77.970833,8.504167
"Cyphocharax magdalenae",-74.448508,8.861486
"Cyphocharax magdalenae",-74.975744,8.2955
"Cyphocharax magdalenae",-75.954167,8.979167
"Cyphocharax magdalenae",-75.875,8.125
"Cyphocharax magdalenae",-75.207532,7.956473
"Cyphocharax magdalenae",-75.204167,7.954167
"Cyphocharax magdalenae",-74.557153,8.573083
"Cyphocharax magdalenae",-74.945833,8.2125
"Cyphocharax magdalenae",-74.534268,8.470962
"Cyphocharax magdalenae",-74.461678,8.732034
"Cyphocharax magdalenae",-74.5125,8.295833
"Cyphocharax magdalenae",-74.494534,8.332565
"Cyphocharax magdalenae",-74.495833,8.279167
"Cyphocharax magdalenae",-75.259021,7.748245
"Cyphocharax magdalenae",-72.5625,11.170833
"Cyphocharax magdalenae",-74.474572,8.893717
"Cyphocharax magdalenae",-74.445833,8.704167
"Cyphocharax magdalenae",-74.461674,8.732033
"Cyphocharax magdalenae",-72.55881,11.17451
"Cyphocharax magdalenae",-72.55818,11.17627
"Cyphocharax magdalenae",-72.561744,11.173619
"Cyphocharax magdalenae",-72.559733,11.174903
"Cyphocharax magdalenae",-74.5375,8.345833
"Cyphocharax magdalenae",-74.542614,8.30835
"Cyphocharax magdalenae",-74.754428,8.202104
"Cyphocharax magdalenae",-72.558871,11.173799
"Cyphocharax magdalenae",-74.829167,8.395833
"Cyphocharax magdalenae",-78.260869,7.998796
"Cyphocharax magdalenae",-75.1875,7.9875
"Cyphocharax magdalenae",-72.539965,11.162715
"Cyphocharax magdalenae",-74.7875,8.129167
"Cyphocharax magdalenae",-74.745833,8.9625
"Cyphocharax magdalenae",-74.452681,8.877404
"Cyphocharax magdalenae",-72.554167,11.1625
"Cyphocharax magdalenae",-74.51911,8.70418
"Cyphocharax magdalenae",-75.280106,7.68841
"Cyphocharax magdalenae",-74.745833,8.970833
"Cyphocharax magdalenae",-74.518891,8.318382
"Cyphocharax magdalenae",-74.553019,8.568936
"Cyphocharax magdalenae",-79.3625,9.129167
"Cyphocharax magdalenae",-74.5125,8.654167
"Cyphocharax magdalenae",-79.813585,9.197854
"Cyphocharax magdalenae",-73.8625,7.4125
"Cyphocharax magdalenae",-72.545833,11.1625
"Cyphocharax magdalenae",-76.795833,6.770833
"Cyphocharax magdalenae",-72.539809,11.162585
"Cyphocharax magdalenae",-72.55896,11.173801
"Cyphocharax magdalenae",-75.3559,7.582674
"Cyphocharax magdalenae",-72.595833,11.1125
"Cyphocharax magdalenae",-74.518268,8.597728
"Cyphocharax magdalenae",-74.504167,9.2375
"Cyphocharax magdalenae",-80.41967,8.37613
"Cyphocharax magdalenae",-74.979167,8.295833
"Cyphocharax magdalenae",-74.975747,8.2954
"Cyphocharax magdalenae",-73.612359,7.899777
"Cyphocharax magdalenae",-75.320833,7.4625
"Cyphocharax magdalenae",-74.448507,8.861492
"Cyphocharax magdalenae",-74.4875,8.3375
"Cyphocharax magdalenae",-74.7375,8.2125
"Cyphocharax magdalenae",-73.876058,7.353623
"Cyphocharax magdalenae",-72.539841,11.162664
"Cyphocharax magdalenae",-75.195833,7.8625
"Cyphocharax magdalenae",-75.28003,7.688407
"Cyphocharax magdalenae",-74.452687,8.877409
"Cyphocharax magdalenae",-75.3875,7.295833
"Cyphocharax magdalenae",-75.318337,7.621916
"Cyphocharax magdalenae",-74.534208,8.466551
"Cyphocharax magdalenae",-74.519101,8.704177
"Cyphocharax magdalenae",-75.179167,7.895833
"Cyphocharax magdalenae",-74.5375,8.320833
"Cyphocharax magdalenae",-74.519602,8.631612
"Cyphocharax magdalenae",-73.9125,7.295833
"Cyphocharax magdalenae",-75.5375,8.1375
"Cyphocharax magdalenae",-73.629167,7.179167
"Cyphocharax magdalenae",-74.554167,8.3375
"Cyphocharax magdalenae",-74.487301,8.364349
"Cyphocharax magdalenae",-75.420833,8.2125
"Cyphocharax magdalenae",-74.494528,8.332564
"Cyphocharax magdalenae",-74.474569,8.893715
"Cyphocharax magdalenae",-72.559027,11.174
"Cyphocharax magdalenae",-73.320833,9.5625
"Cyphocharax magdalenae",-74.995833,8.125
