"specie","longitude","latitude"
"Cyphocharax meniscaprorus",-64.320538,8.065038
"Cyphocharax meniscaprorus",-64.171108,8.047905
"Cyphocharax meniscaprorus",-64.551074,5.486247
"Cyphocharax meniscaprorus",-64.519116,6.320699
"Cyphocharax meniscaprorus",-63.881956,8.0717
"Cyphocharax meniscaprorus",-64.370983,8.111675
"Cyphocharax meniscaprorus",-65.002929,6.354107
"Cyphocharax meniscaprorus",-64.5861,5.4931
"Cyphocharax meniscaprorus",-64.429167,5.929167
"Cyphocharax meniscaprorus",-64.320538,8.030773
"Cyphocharax meniscaprorus",-64.554585,6.337034
"Cyphocharax meniscaprorus",-65.0805,6.296048
"Cyphocharax meniscaprorus",-63.732716,8.147843
"Cyphocharax meniscaprorus",-63.997883,7.953679
"Cyphocharax meniscaprorus",-64.96331,6.464276
"Cyphocharax meniscaprorus",-64.921076,6.312705
"Cyphocharax meniscaprorus",-64.212035,8.03458
"Cyphocharax meniscaprorus",-64.937136,6.269636
"Cyphocharax meniscaprorus",-64.463431,5.953532
"Cyphocharax meniscaprorus",-64.04452,7.946065
"Cyphocharax meniscaprorus",-64.08145,8.155457
"Cyphocharax meniscaprorus",-64.337289,8.268148
"Cyphocharax meniscaprorus",-63.770833,8.1125
"Cyphocharax meniscaprorus",-64.512073,6.35344
"Cyphocharax meniscaprorus",-64.402716,5.70551
"Cyphocharax meniscaprorus",-64.333426,5.812871
"Cyphocharax meniscaprorus",-64.430184,8.026014
"Cyphocharax meniscaprorus",-65.027676,6.479743
"Cyphocharax meniscaprorus",-64.461438,6.295571
"Cyphocharax meniscaprorus",-64.5681,6.3614
"Cyphocharax meniscaprorus",-64.486755,6.311181
"Cyphocharax meniscaprorus",-64.385964,5.644596
"Cyphocharax meniscaprorus",-63.927641,7.893526
"Cyphocharax meniscaprorus",-63.869773,7.989466
"Cyphocharax meniscaprorus",-64.953792,6.413355
"Cyphocharax meniscaprorus",-64.895854,6.512103
"Cyphocharax meniscaprorus",-64.9714,6.3572
"Cyphocharax meniscaprorus",-64.4864,6.2822
"Cyphocharax meniscaprorus",-64.4903,5.9014
"Cyphocharax meniscaprorus",-63.626116,8.006217
"Cyphocharax meniscaprorus",-64.405,5.8281
