"specie","longitude","latitude"
"Cyphocharax mestomyllon",-64.716667,-3.366667
"Cyphocharax mestomyllon",-65.119289,0.461041
"Cyphocharax mestomyllon",-64.962965,0.42084
"Cyphocharax mestomyllon",-65.089424,0.365324
"Cyphocharax mestomyllon",-65.192217,0.319638
"Cyphocharax mestomyllon",-64.791667,0.195833
"Cyphocharax mestomyllon",-59.420833,-9.604167
"Cyphocharax mestomyllon",-65.205711,0.428554
"Cyphocharax mestomyllon",-65.127972,0.328204
"Cyphocharax mestomyllon",-61.333333,-3.833333
"Cyphocharax mestomyllon",-64.420833,-3.5375
"Cyphocharax mestomyllon",-55.870833,-1.770833
"Cyphocharax mestomyllon",-65.412,-0.338
"Cyphocharax mestomyllon",-56.855278,-4.870583
"Cyphocharax mestomyllon",-53.929,0.827
"Cyphocharax mestomyllon",-53.455,0.404
"Cyphocharax mestomyllon",-60.238,-17.462
"Cyphocharax mestomyllon",-60.22,-17.579
"Cyphocharax mestomyllon",-60.247,-17.776
"Cyphocharax mestomyllon",-60.97,-16.611
"Cyphocharax mestomyllon",-61.129,-16.348
"Cyphocharax mestomyllon",-61.763,-16.577
"Cyphocharax mestomyllon",-62.644,-16.571
"Cyphocharax mestomyllon",-62.969,-16.369
"Cyphocharax mestomyllon",-60.478,-14.128
"Cyphocharax mestomyllon",-60.431,-13.927
"Cyphocharax mestomyllon",-60.554,-13.779
"Cyphocharax mestomyllon",-60.739,-13.686
"Cyphocharax mestomyllon",-61.097,-13.498
"Cyphocharax mestomyllon",-61.081,-14.429
"Cyphocharax mestomyllon",-61.376,-14.301
"Cyphocharax mestomyllon",-62.114,-14.427
"Cyphocharax mestomyllon",-64.664,-13.251
"Cyphocharax mestomyllon",-64.529,-12.782
"Cyphocharax mestomyllon",-63.746,-13.27
"Cyphocharax mestomyllon",-63.515,-12.703
"Cyphocharax mestomyllon",-63.246,-12.686
"Cyphocharax mestomyllon",-63.53,-12.543
"Cyphocharax mestomyllon",-63.678,-12.455
"Cyphocharax mestomyllon",-63.1375,-12.4625
"Cyphocharax mestomyllon",-64.379,-12.456
"Cyphocharax mestomyllon",-64.912,-12.022
