"specie","longitude","latitude"
"Cyphocharax microcephalus",-56.36866,4.95234
"Cyphocharax microcephalus",-55.279167,5.129167
"Cyphocharax microcephalus",-61.469759,6.197409
"Cyphocharax microcephalus",-61.539085,6.244148
"Cyphocharax microcephalus",-61.628906,6.418278
"Cyphocharax microcephalus",-61.50305,6.046048
"Cyphocharax microcephalus",-61.553948,6.096197
"Cyphocharax microcephalus",-61.471452,6.080169
"Cyphocharax microcephalus",-58.160352,3.033919
"Cyphocharax microcephalus",-58.258141,3.087589
"Cyphocharax microcephalus",-58.239064,3.159911
"Cyphocharax microcephalus",-58.156053,3.234855
"Cyphocharax microcephalus",-58.438939,4.013909
"Cyphocharax microcephalus",-58.5875,4.0375
"Cyphocharax microcephalus",-58.453857,4.159273
"Cyphocharax microcephalus",-58.904167,4.254167
"Cyphocharax microcephalus",-57.445829,4.815319
"Cyphocharax microcephalus",-57.44646,4.797212
"Cyphocharax microcephalus",-54.445833,4.995833
"Cyphocharax microcephalus",-57.629167,4.9875
"Cyphocharax microcephalus",-57.304167,5.129167
"Cyphocharax microcephalus",-54.7357,5.39664
"Cyphocharax microcephalus",-57.1625,5.2875
"Cyphocharax microcephalus",-58.961412,2.453989
"Cyphocharax microcephalus",-57.47,4.82
"Cyphocharax microcephalus",-57.629167,4.995833
"Cyphocharax microcephalus",-54.42236,5.06157
"Cyphocharax microcephalus",-59.895456,3.158048
"Cyphocharax microcephalus",-57.45,4.82
"Cyphocharax microcephalus",-58.374341,2.257795
"Cyphocharax microcephalus",-58.8375,4.3875
"Cyphocharax microcephalus",-60.180229,3.4314
"Cyphocharax microcephalus",-59.745431,8.233047
"Cyphocharax microcephalus",-58.914148,2.046545
"Cyphocharax microcephalus",-59.095833,3.920833
"Cyphocharax microcephalus",-59.302489,3.750685
"Cyphocharax microcephalus",-57.1375,5.095833
"Cyphocharax microcephalus",-57.19312,5.15227
"Cyphocharax microcephalus",-59.262386,5.27132
"Cyphocharax microcephalus",-59.529056,1.928604
"Cyphocharax microcephalus",-54.42142,5.06679
"Cyphocharax microcephalus",-60.482516,3.027082
"Cyphocharax microcephalus",-58.677537,5.404569
"Cyphocharax microcephalus",-58.279089,6.191447
"Cyphocharax microcephalus",-59.454892,5.200085
"Cyphocharax microcephalus",-59.195812,5.339424
"Cyphocharax microcephalus",-53.569798,4.403739
"Cyphocharax microcephalus",-59.396468,5.510487
"Cyphocharax microcephalus",-54.645833,5.470833
"Cyphocharax microcephalus",-59.720242,8.329401
"Cyphocharax microcephalus",-59.244563,5.539422
"Cyphocharax microcephalus",-58.857995,5.39486
"Cyphocharax microcephalus",-59.144663,5.402816
"Cyphocharax microcephalus",-58.554029,5.980685
"Cyphocharax microcephalus",-59.950556,-15.008056
"Cyphocharax microcephalus",-55.588781,5.280254
"Cyphocharax microcephalus",-55.7125,4.004167
"Cyphocharax microcephalus",-57.379167,4.604167
"Cyphocharax microcephalus",-59.001802,5.269103
"Cyphocharax microcephalus",-55.970833,-4.295833
"Cyphocharax microcephalus",-58.487627,6.031885
"Cyphocharax microcephalus",-59.2875,2.1625
"Cyphocharax microcephalus",-53.229167,3.920833
"Cyphocharax microcephalus",-59.586645,7.329854
"Cyphocharax microcephalus",-57.479167,4.9875
"Cyphocharax microcephalus",-58.305723,5.999809
"Cyphocharax microcephalus",-59.3125,5.304167
"Cyphocharax microcephalus",-58.929167,7.654167
"Cyphocharax microcephalus",-55.606294,5.46452
"Cyphocharax microcephalus",-59.770833,3.445833
"Cyphocharax microcephalus",-58.624374,5.531166
"Cyphocharax microcephalus",-59.823333,3.6122
"Cyphocharax microcephalus",-58.311892,5.936477
"Cyphocharax microcephalus",-59.2537,5.329268
"Cyphocharax microcephalus",-55.760267,4.445417
"Cyphocharax microcephalus",-55.545833,4.720833
"Cyphocharax microcephalus",-59.199683,2.077383
"Cyphocharax microcephalus",-55.805183,4.2951
"Cyphocharax microcephalus",-58.62088,6.412282
"Cyphocharax microcephalus",-59.284461,3.759038
"Cyphocharax microcephalus",-59.679167,3.620833
"Cyphocharax microcephalus",-57.384933,4.748425
"Cyphocharax microcephalus",-56.129167,4.370833
"Cyphocharax microcephalus",-59.544927,5.379019
"Cyphocharax microcephalus",-59.004184,5.363128
"Cyphocharax microcephalus",-59.414015,5.245898
"Cyphocharax microcephalus",-55.96547,4.168992
"Cyphocharax microcephalus",-58.569361,7.247293
"Cyphocharax microcephalus",-55.964994,3.628839
"Cyphocharax microcephalus",-55.304167,4.520833
"Cyphocharax microcephalus",-55.907649,3.959346
"Cyphocharax microcephalus",-55.754167,4.2375
"Cyphocharax microcephalus",-58.57995,6.137533
"Cyphocharax microcephalus",-59.308333,3.75
"Cyphocharax microcephalus",-58.838513,4.256944
"Cyphocharax microcephalus",-58.2625,2.254167
"Cyphocharax microcephalus",-57.2875,4.5125
"Cyphocharax microcephalus",-57.16157,5.798239
"Cyphocharax microcephalus",-57.255245,5.488558
"Cyphocharax microcephalus",-57.079167,5.179167
"Cyphocharax microcephalus",-74.04999,-3.79999
"Cyphocharax microcephalus",-59.904094,2.845531
