"specie","longitude","latitude"
"Cyphocharax modestus",-51.770833,-23.3875
"Cyphocharax modestus",-47.866665,-22.6
"Cyphocharax modestus",-50.9375,-23.179167
"Cyphocharax modestus",-52.866665,-24.766666
"Cyphocharax modestus",-50.345833,-19.929167
"Cyphocharax modestus",-47.370833,-22.870833
"Cyphocharax modestus",-48.681111,-18.355833
"Cyphocharax modestus",-48,-23.1
"Cyphocharax modestus",-47.683611,-17.929444
"Cyphocharax modestus",-46.629167,-23.545833
"Cyphocharax modestus",-49.910484,-21.278183
"Cyphocharax modestus",-47.495833,-22.345833
"Cyphocharax modestus",-48,-22.658333
"Cyphocharax modestus",-48.279167,-23.9625
"Cyphocharax modestus",-49.2775,-20.35306
"Cyphocharax modestus",-50.970833,-23.2375
"Cyphocharax modestus",-49.395833,-21.179167
"Cyphocharax modestus",-47.612144,-22.238093
"Cyphocharax modestus",-47.270833,-22.504167
"Cyphocharax modestus",-53.486389,-25.536667
"Cyphocharax modestus",-51.539139,-22.686333
"Cyphocharax modestus",-54.6125,-25.445833
"Cyphocharax modestus",-47.216667,-21.416667
"Cyphocharax modestus",-48.439999,-22.879999
"Cyphocharax modestus",-47.674,-21.75017
"Cyphocharax modestus",-53.25,-24.183332
"Cyphocharax modestus",-49.26667,-20.41667
"Cyphocharax modestus",-49.1875,-16.545833
"Cyphocharax modestus",-51.416667,-23.354167
"Cyphocharax modestus",-47.2625,-22.670833
"Cyphocharax modestus",-52.52,-19.531944
"Cyphocharax modestus",-53.879167,-22.6625
"Cyphocharax modestus",-47.844722,-22.155
"Cyphocharax modestus",-51.829167,-21.295833
"Cyphocharax modestus",-47.629167,-22.695833
"Cyphocharax modestus",-49.387333,-21.289192
"Cyphocharax modestus",-50.929167,-23.179167
"Cyphocharax modestus",-49.35778,-20.845
"Cyphocharax modestus",-50.945833,-23.208333
"Cyphocharax modestus",-53.654167,-22.445833
"Cyphocharax modestus",-49.370833,-20.804167
"Cyphocharax modestus",-48.004167,-23.129167
"Cyphocharax modestus",-47.819167,-21.612222
"Cyphocharax modestus",-47.754167,-22.1125
"Cyphocharax modestus",-53.370833,-25.529167
"Cyphocharax modestus",-50.916389,-23.295556
"Cyphocharax modestus",-47,-22.783333
"Cyphocharax modestus",-49.804167,-23.7125
"Cyphocharax modestus",-52.519722,-19.493611
"Cyphocharax modestus",-49.33667,-21.10722
"Cyphocharax modestus",-46.810824,-23.817176
"Cyphocharax modestus",-50.954167,-23.179167
"Cyphocharax modestus",-52.804167,-24.620833
"Cyphocharax modestus",-47.1625,-23.416667
"Cyphocharax modestus",-49.995833,-22.379167
"Cyphocharax modestus",-47.62,-22.22
"Cyphocharax modestus",-53.348333,-22.763056
"Cyphocharax modestus",-46.15,-23.533333
"Cyphocharax modestus",-49.364551,-22.887481
"Cyphocharax modestus",-50.220833,-20.970833
"Cyphocharax modestus",-47.3875,-21.920833
"Cyphocharax modestus",-46.98472,-21.965
"Cyphocharax modestus",-51.50194,-20.8225
"Cyphocharax modestus",-53.879167,-25.579167
"Cyphocharax modestus",-50.945833,-23.191111
"Cyphocharax modestus",-52.764722,-19.264444
"Cyphocharax modestus",-47.479167,-23.4125
"Cyphocharax modestus",-49.397694,-21.174139
"Cyphocharax modestus",-49.379167,-20.879167
"Cyphocharax modestus",-50.947222,-23.206667
"Cyphocharax modestus",-50.929167,-23.2125
"Cyphocharax modestus",-52.856389,-19.236944
"Cyphocharax modestus",-45.919701,-21.6747
"Cyphocharax modestus",-47.429167,-21.9875
"Cyphocharax modestus",-51.254167,-20.954167
"Cyphocharax modestus",-52.916668,-24.766666
"Cyphocharax modestus",-48.495556,-16.321944
"Cyphocharax modestus",-49.378101,-20.871401
"Cyphocharax modestus",-49.377611,-20.882164
"Cyphocharax modestus",-48.529167,-21.845833
"Cyphocharax modestus",-51.154167,-20.5125
"Cyphocharax modestus",-47.810001,-21.17
"Cyphocharax modestus",-49.779167,-23.320833
"Cyphocharax modestus",-49.3975,-21.17361
"Cyphocharax modestus",-49.404167,-20.645833
"Cyphocharax modestus",-48.486111,-21.8425
"Cyphocharax modestus",-48.3875,-23.145833
"Cyphocharax modestus",-47.4,-22.56
"Cyphocharax modestus",-47.504167,-22.354167
"Cyphocharax modestus",-52.4875,-19.524444
"Cyphocharax modestus",-52.962222,-22.200111
"Cyphocharax modestus",-49.445833,-20.6375
"Cyphocharax modestus",-50.695833,-24.170833
"Cyphocharax modestus",-49.354167,-20.845833
"Cyphocharax modestus",-54.945833,-20.9375
"Cyphocharax modestus",-48.554167,-17.729167
"Cyphocharax modestus",-50.945833,-23.204167
"Cyphocharax modestus",-47.888056,-22.1925
"Cyphocharax modestus",-49.82228,-21.32138
"Cyphocharax modestus",-46.700001,-22.466667
"Cyphocharax modestus",-48.470833,-23.4875
"Cyphocharax modestus",-54.630833,-21.618889
"Cyphocharax modestus",-48.916222,-20.727152
"Cyphocharax modestus",-47.366667,-21.926111
"Cyphocharax modestus",-47.1875,-23.1125
"Cyphocharax modestus",-48.172226,-22.529621
"Cyphocharax modestus",-46.946347,-22.237923
"Cyphocharax modestus",-48.9625,-22.020833
"Cyphocharax modestus",-54.266666,-24.66668
"Cyphocharax modestus",-47.7125,-23.1375
"Cyphocharax modestus",-50.970833,-22.9875
"Cyphocharax modestus",-47.7625,-21.570833
"Cyphocharax modestus",-49.204167,-18.4125
"Cyphocharax modestus",-50.9875,-23.254167
