"specie","longitude","latitude"
"Cyphocharax multilineatus",-69.596802,0.219865
"Cyphocharax multilineatus",-69.836443,0.279058
"Cyphocharax multilineatus",-70.41324,0.254509
"Cyphocharax multilineatus",-70.128089,0.330627
"Cyphocharax multilineatus",-70.229359,0.281134
"Cyphocharax multilineatus",-70.128089,0.249915
"Cyphocharax multilineatus",-69.970643,0.230118
"Cyphocharax multilineatus",-69.971873,0.314009
"Cyphocharax multilineatus",-69.9725,0.267778
"Cyphocharax multilineatus",-65.120833,-0.0625
"Cyphocharax multilineatus",-61.203285,-1.892026
"Cyphocharax multilineatus",-61.235264,-1.806964
"Cyphocharax multilineatus",-60.964553,-2.621907
"Cyphocharax multilineatus",-61.873128,-1.317825
"Cyphocharax multilineatus",-65.204167,-0.3875
"Cyphocharax multilineatus",-67.320833,0.120833
"Cyphocharax multilineatus",-68.036737,3.673143
"Cyphocharax multilineatus",-62.900881,-0.50829
"Cyphocharax multilineatus",-62.880044,-0.971997
"Cyphocharax multilineatus",-54.170812,-2.644617
"Cyphocharax multilineatus",-69.972504,0.267778
"Cyphocharax multilineatus",-69.654909,0.664955
"Cyphocharax multilineatus",-68.924509,1.262256
"Cyphocharax multilineatus",-67.755373,0.143926
"Cyphocharax multilineatus",-69.248645,1.057239
"Cyphocharax multilineatus",-70.105003,1.069178
"Cyphocharax multilineatus",-70.854167,-1.279167
"Cyphocharax multilineatus",-69.940277,0.2725
"Cyphocharax multilineatus",-57.554167,-3.804167
"Cyphocharax multilineatus",-67.9375,3.870833
"Cyphocharax multilineatus",-70.1125,1.2625
"Cyphocharax multilineatus",-56.945833,-2.720833
"Cyphocharax multilineatus",-69.143936,0.648705
"Cyphocharax multilineatus",-70.247452,0.595352
"Cyphocharax multilineatus",-66.920833,-0.804167
"Cyphocharax multilineatus",-70.229534,0.881077
"Cyphocharax multilineatus",-66.8375,1.2875
"Cyphocharax multilineatus",-67.693982,4.033697
"Cyphocharax multilineatus",-70.262444,0.731667
"Cyphocharax multilineatus",-70.236678,0.678829
"Cyphocharax multilineatus",-69.900002,0.266667
"Cyphocharax multilineatus",-64.9125,-0.5125
"Cyphocharax multilineatus",-67.704167,0.904167
"Cyphocharax multilineatus",-70.27575,1.29475
"Cyphocharax multilineatus",-67.569298,3.717705
"Cyphocharax multilineatus",-72.4256,-0.2428
"Cyphocharax multilineatus",-72.1122,-0.0206
"Cyphocharax multilineatus",-67.095833,-0.129167
"Cyphocharax multilineatus",-66.879167,1.279167
"Cyphocharax multilineatus",-70.329556,0.780661
"Cyphocharax multilineatus",-68.4375,0.054167
"Cyphocharax multilineatus",-66.259876,-0.38602
"Cyphocharax multilineatus",-70.051737,0.573679
"Cyphocharax multilineatus",-67.4575,4.7686
"Cyphocharax multilineatus",-67.020833,1.595833
"Cyphocharax multilineatus",-66.5125,1.179167
"Cyphocharax multilineatus",-69.6,0.216667
"Cyphocharax multilineatus",-69.9,0.266667
"Cyphocharax multilineatus",-70.154866,-0.044672
