"specie","longitude","latitude"
"Cyphocharax nigripinnis",-64.716667,-3.366667
"Cyphocharax nigripinnis",-57.195833,-1.729167
"Cyphocharax nigripinnis",-64.680499,-2.502824
"Cyphocharax nigripinnis",-64.724281,-2.45
"Cyphocharax nigripinnis",-64.795833,-3.304167
"Cyphocharax nigripinnis",-64.870453,0.545506
"Cyphocharax nigripinnis",-57.250942,-8.863044
"Cyphocharax nigripinnis",-61.824598,-1.07079
"Cyphocharax nigripinnis",-61.829167,-1.154167
"Cyphocharax nigripinnis",-61.8625,-1.170833
"Cyphocharax nigripinnis",-64.779373,0.487763
"Cyphocharax nigripinnis",-65.228784,0.478302
"Cyphocharax nigripinnis",-64.791667,0.195833
"Cyphocharax nigripinnis",-65.470326,0.404167
"Cyphocharax nigripinnis",-65.119289,0.461041
"Cyphocharax nigripinnis",-65.455575,0.395901
"Cyphocharax nigripinnis",-65.154307,0.513042
"Cyphocharax nigripinnis",-64.928828,0.52849
"Cyphocharax nigripinnis",-64.909412,0.627856
"Cyphocharax nigripinnis",-66.8125,-2.9375
"Cyphocharax nigripinnis",-61.512394,0.730203
"Cyphocharax nigripinnis",-56.254167,-4.454167
"Cyphocharax nigripinnis",-62.676694,-0.8885
"Cyphocharax nigripinnis",-55.884184,-1.766512
"Cyphocharax nigripinnis",-69.723992,-1.293053
"Cyphocharax nigripinnis",-66.795833,-0.2125
"Cyphocharax nigripinnis",-60.520833,-2.895833
"Cyphocharax nigripinnis",-64.77827,-0.413281
"Cyphocharax nigripinnis",-74.779167,-0.204167
"Cyphocharax nigripinnis",-64.778027,-0.453323
"Cyphocharax nigripinnis",-64.860984,-0.470808
"Cyphocharax nigripinnis",-64.160264,-0.328212
"Cyphocharax nigripinnis",-63.660495,-0.32757
"Cyphocharax nigripinnis",-65.059032,0.105398
"Cyphocharax nigripinnis",-64.788653,0.046225
"Cyphocharax nigripinnis",-57.236432,-1.795941
"Cyphocharax nigripinnis",-60.323234,-2.563016
"Cyphocharax nigripinnis",-63.209026,-0.636856
"Cyphocharax nigripinnis",-63.1625,-0.7625
"Cyphocharax nigripinnis",-64.716667,-2.45
"Cyphocharax nigripinnis",-62.918172,-0.640166
"Cyphocharax nigripinnis",-66.41579,-1.387549
"Cyphocharax nigripinnis",-64.554167,-0.445833
"Cyphocharax nigripinnis",-62.8625,-0.979167
"Cyphocharax nigripinnis",-64.738266,0.095124
"Cyphocharax nigripinnis",-65.236063,-0.103043
"Cyphocharax nigripinnis",-74.9625,-0.104167
"Cyphocharax nigripinnis",-64.727088,0.0052
"Cyphocharax nigripinnis",-69.145833,-1.7375
"Cyphocharax nigripinnis",-60.136327,-3.132331
"Cyphocharax nigripinnis",-60.029167,-2.0375
"Cyphocharax nigripinnis",-63.779227,-0.110532
"Cyphocharax nigripinnis",-71.033333,-0.85
"Cyphocharax nigripinnis",-72.803958,-1.443539
"Cyphocharax nigripinnis",-73.0125,0.729167
"Cyphocharax nigripinnis",-64.710733,-0.102082
"Cyphocharax nigripinnis",-65.204441,-0.3869
"Cyphocharax nigripinnis",-57.370833,-1.8125
"Cyphocharax nigripinnis",-64.98919,-0.788962
"Cyphocharax nigripinnis",-65.820833,-1.204167
"Cyphocharax nigripinnis",-60.5125,-2.8875
"Cyphocharax nigripinnis",-61.533333,-0.75
"Cyphocharax nigripinnis",-64.904119,-1.019637
"Cyphocharax nigripinnis",-67.325597,0.131592
"Cyphocharax nigripinnis",-66.8125,-2.929167
"Cyphocharax nigripinnis",-67.117944,1.999153
"Cyphocharax nigripinnis",-64.589824,-1.055059
"Cyphocharax nigripinnis",-65.345036,-1.351857
"Cyphocharax nigripinnis",-59.330278,-2.123333
"Cyphocharax nigripinnis",-65.70909,-1.487487
"Cyphocharax nigripinnis",-65.954167,-1.054167
"Cyphocharax nigripinnis",-74.962506,-0.106617
"Cyphocharax nigripinnis",-64.828765,-0.512669
"Cyphocharax nigripinnis",-65.992246,-0.640399
"Cyphocharax nigripinnis",-64.079992,-0.196193
"Cyphocharax nigripinnis",-64.379457,-0.047364
"Cyphocharax nigripinnis",-65.295064,-0.89976
"Cyphocharax nigripinnis",-65.043327,-0.404283
"Cyphocharax nigripinnis",-65.020833,-0.5125
"Cyphocharax nigripinnis",-64.763049,-0.684456
"Cyphocharax nigripinnis",-64.930372,-0.514277
