"specie","longitude","latitude"
"Cyphocharax notatus",-62.201861,-8.837194
"Cyphocharax notatus",-63.420833,-12.695833
"Cyphocharax notatus",-57.124167,-9.401944
"Cyphocharax notatus",-64.715833,-9.311667
"Cyphocharax notatus",-59.9875,-15.295833
"Cyphocharax notatus",-59.4625,-10.1625
"Cyphocharax notatus",-49.609444,-10.851944
"Cyphocharax notatus",-60.195833,-3.2875
"Cyphocharax notatus",-54.454167,-11.145833
"Cyphocharax notatus",-59.529167,-10.125
"Cyphocharax notatus",-50.554167,-4.9625
"Cyphocharax notatus",-75.095833,0.495833
"Cyphocharax notatus",-73.2625,-3.779167
"Cyphocharax notatus",-61.4125,-4.720833
"Cyphocharax notatus",-73.402298,-4.181624
"Cyphocharax notatus",-49.970833,-9.279167
"Cyphocharax notatus",-62.745833,-13.570833
"Cyphocharax notatus",-52.179167,-15.345833
"Cyphocharax notatus",-59.508259,-14.45705
"Cyphocharax notatus",-61.979167,-9.445833
"Cyphocharax notatus",-49.278056,-5.204167
"Cyphocharax notatus",-60.1625,-3.1125
"Cyphocharax notatus",-59.508259,-14.457059
"Cyphocharax notatus",-75.495833,-1.395833
"Cyphocharax notatus",-59.449722,-10.165556
"Cyphocharax notatus",-75.5375,-1.145833
"Cyphocharax notatus",-75.495833,0.554167
"Cyphocharax notatus",-58.150972,-12.133806
"Cyphocharax notatus",-64.920833,-9.6125
"Cyphocharax notatus",-58.926667,-12.849722
"Cyphocharax notatus",-55.705002,-11.654166
"Cyphocharax notatus",-48.345833,-6.579167
"Cyphocharax notatus",-73.270833,-3.695833
"Cyphocharax notatus",-64.2375,-12.5625
"Cyphocharax notatus",-49.979167,-9.2625
"Cyphocharax notatus",-64.9375,0.129167
"Cyphocharax notatus",-49.2375,-6.6875
"Cyphocharax notatus",-48.654444,-6.608056
"Cyphocharax notatus",-61.104167,-13.520833
"Cyphocharax notatus",-57.6125,-9.195833
"Cyphocharax notatus",-66.420833,-5.604167
"Cyphocharax notatus",-65.441389,-9.681667
"Cyphocharax notatus",-63.55837,-13.30981
"Cyphocharax notatus",-65.344444,-10.443055
"Cyphocharax notatus",-65.445833,-10.854167
"Cyphocharax notatus",-65.204167,0.354167
"Cyphocharax notatus",-63.195833,-7.529167
"Cyphocharax notatus",-52.5375,-12.854167
"Cyphocharax notatus",-59.153611,-8.578056
"Cyphocharax notatus",-61.854167,-11.354167
"Cyphocharax notatus",-59.436667,-10.109722
"Cyphocharax notatus",-51.168889,-10.2425
"Cyphocharax notatus",-64.3875,-9.254167
"Cyphocharax notatus",-49.6875,-3.745833
"Cyphocharax notatus",-63.1375,-7.5125
"Cyphocharax notatus",-47.8125,-2.947778
"Cyphocharax notatus",-62.9375,-13.354167
"Cyphocharax notatus",-72.7125,-2.845833
"Cyphocharax notatus",-50.570833,-13.220833
"Cyphocharax notatus",-59.8125,-13.1375
"Cyphocharax notatus",-74.4935,-2.59689
"Cyphocharax notatus",-55.9375,-13.6375
"Cyphocharax notatus",-55.7125,-10.604167
"Cyphocharax notatus",-62.168056,-10.750278
"Cyphocharax notatus",-63.520833,-13.2875
"Cyphocharax notatus",-61.504167,-4.8375
"Cyphocharax notatus",-63.9125,-8.770833
"Cyphocharax notatus",-59.504167,-10.779167
"Cyphocharax notatus",-50.579167,-13.529167
"Cyphocharax notatus",-65.123889,-4.868056
"Cyphocharax notatus",-63.929167,-12.5125
"Cyphocharax notatus",-61.204167,-11.645833
"Cyphocharax notatus",-62.35387,-10.779505
"Cyphocharax notatus",-59.395833,-10.4875
"Cyphocharax notatus",-60.432778,-8.653056
"Cyphocharax notatus",-62.386665,-10.455
"Cyphocharax notatus",-61.1125,-13.529167
"Cyphocharax notatus",-50.604167,-6.329167
"Cyphocharax notatus",-65.2875,-9.9125
"Cyphocharax notatus",-59.554167,-10.2375
"Cyphocharax notatus",-61.8625,-2.1625
"Cyphocharax notatus",-59.329167,-15.4875
"Cyphocharax notatus",-64.589444,-12.200278
"Cyphocharax notatus",-63.25462,-13.17601
"Cyphocharax notatus",-51.678611,-11.981389
"Cyphocharax notatus",-58.3375,-10.429167
"Cyphocharax notatus",-52.206402,-3.20333
"Cyphocharax notatus",-63.253333,-10.336111
"Cyphocharax notatus",-59.5375,-10.129167
"Cyphocharax notatus",-47.3375,-1.595833
"Cyphocharax notatus",-65.170833,-4.8875
"Cyphocharax notatus",-50.970833,-16.220833
"Cyphocharax notatus",-69.129167,0.1625
"Cyphocharax notatus",-69.596802,0.219865
"Cyphocharax notatus",-69.1125,0.170833
"Cyphocharax notatus",-69.670833,0.895833
"Cyphocharax notatus",-69.5875,0.2125
"Cyphocharax notatus",-69.104167,0.154167
"Cyphocharax notatus",-59.820833,-15.395833
"Cyphocharax notatus",-64.820833,0.4625
"Cyphocharax notatus",-61.538084,-7.771365
"Cyphocharax notatus",-58.2875,-10.454167
"Cyphocharax notatus",-58.3375,-10.4375
"Cyphocharax notatus",-51.539167,-14.149167
"Cyphocharax notatus",-49.679167,-3.745833
