"specie","longitude","latitude"
"Cyphocharax oenas",-64.9536,6.3225
"Cyphocharax oenas",-67.320833,6.545833
"Cyphocharax oenas",-64.870833,6.970833
"Cyphocharax oenas",-61.294289,8.479619
"Cyphocharax oenas",-67.620833,7.120833
"Cyphocharax oenas",-62.179167,8.6875
"Cyphocharax oenas",-67.29472,6.54
"Cyphocharax oenas",-62.429167,8.5375
"Cyphocharax oenas",-67.445833,6.545833
"Cyphocharax oenas",-61.42,8.48
"Cyphocharax oenas",-65.220833,7.104167
"Cyphocharax oenas",-67.420833,6.545833
"Cyphocharax oenas",-73.529167,3.320833
"Cyphocharax oenas",-64.904167,6.770833
"Cyphocharax oenas",-72.9833,4.22402
"Cyphocharax oenas",-64.7983,6.8922
"Cyphocharax oenas",-70.970833,5.495833
"Cyphocharax oenas",-71.404167,3.820833
"Cyphocharax oenas",-73.479167,4.1125
"Cyphocharax oenas",-69.7125,4.8125
"Cyphocharax oenas",-70.995833,5.7875
"Cyphocharax oenas",-64.229167,8.125
"Cyphocharax oenas",-68.354167,5.379167
"Cyphocharax oenas",-67.829167,5.354167
"Cyphocharax oenas",-70.772139,6.571667
"Cyphocharax oenas",-67.43611,6.550278
"Cyphocharax oenas",-70.545833,6.695833
"Cyphocharax oenas",-67.2375,8.595833
"Cyphocharax oenas",-72.445833,4.1375
"Cyphocharax oenas",-67.404167,6.545833
"Cyphocharax oenas",-62.541667,8.679167
"Cyphocharax oenas",-70.6375,6.595833
"Cyphocharax oenas",-61.420833,8.4625
"Cyphocharax oenas",-69.345833,7.3875
"Cyphocharax oenas",-64.5681,6.3614
"Cyphocharax oenas",-63.329167,6.820833
"Cyphocharax oenas",-66.154167,7.645833
"Cyphocharax oenas",-64.5278,6.3289
"Cyphocharax oenas",-64.978889,6.350278
"Cyphocharax oenas",-70.5625,6.570833
"Cyphocharax oenas",-61.72,8.63
"Cyphocharax oenas",-67.820833,5.345833
"Cyphocharax oenas",-62.4375,8.520833
"Cyphocharax oenas",-67.495833,6.104167
"Cyphocharax oenas",-70.954167,6.754167
"Cyphocharax oenas",-73.370833,3.295833
"Cyphocharax oenas",-68.295833,5.379167
"Cyphocharax oenas",-67.595833,6.170833
"Cyphocharax oenas",-71.83,5.56
"Cyphocharax oenas",-71.120833,5.5125
"Cyphocharax oenas",-64.9733,6.3639
"Cyphocharax oenas",-61.429167,8.304167
"Cyphocharax oenas",-71.517,3.844467
"Cyphocharax oenas",-67.470833,6.958333
"Cyphocharax oenas",-67.854167,5.354167
"Cyphocharax oenas",-71.395833,5.279167
"Cyphocharax oenas",-72.5625,3.445833
"Cyphocharax oenas",-70.69,5.62
"Cyphocharax oenas",-67.941444,5.330667
"Cyphocharax oenas",-67.5125,6.104167
"Cyphocharax oenas",-73.670833,3.1875
"Cyphocharax oenas",-73.5875,4.379167
"Cyphocharax oenas",-71.129167,6.554167
"Cyphocharax oenas",-67.8375,7.970833
"Cyphocharax oenas",-64.872,6.357
"Cyphocharax oenas",-67.870833,5.370833
"Cyphocharax oenas",-70.220833,6.6125
"Cyphocharax oenas",-70.7875,5.520833
"Cyphocharax oenas",-67.542178,6.103678
"Cyphocharax oenas",-70.295833,6.604167
"Cyphocharax oenas",-70.6875,5.570833
"Cyphocharax oenas",-67.195833,3.895833
"Cyphocharax oenas",-70.829167,6.579167
"Cyphocharax oenas",-67.8375,7.770833
"Cyphocharax oenas",-70.2125,6.6125
"Cyphocharax oenas",-64.954,6.323
"Cyphocharax oenas",-67.8375,7.879167
"Cyphocharax oenas",-71.5875,6.204167
"Cyphocharax oenas",-70.77075,6.571667
"Cyphocharax oenas",-72.6875,2.354167
"Cyphocharax oenas",-67.554167,7.445833
"Cyphocharax oenas",-70.41,5.51
"Cyphocharax oenas",-71.7125,6.270833
"Cyphocharax oenas",-71.80208,4.552417
"Cyphocharax oenas",-64.895833,6.779167
"Cyphocharax oenas",-71.80208,4.55242
"Cyphocharax oenas",-65.163,7.196
"Cyphocharax oenas",-64.568,6.362
"Cyphocharax oenas",-71.595833,6.2125
"Cyphocharax oenas",-64.970833,6.354167
"Cyphocharax oenas",-73.3875,3.504167
"Cyphocharax oenas",-67.933047,3.848958
"Cyphocharax oenas",-64.798,6.892
"Cyphocharax oenas",-70.204167,6.5875
