"specie","longitude","latitude"
"Cyphocharax pantostictos",-72.773201,-3.11802
"Cyphocharax pantostictos",-70.9125,-3.1875
"Cyphocharax pantostictos",-73.695547,-3.888964
"Cyphocharax pantostictos",-73.1625,-3.829167
"Cyphocharax pantostictos",-76.345782,0.378659
"Cyphocharax pantostictos",-76.264849,0.141267
"Cyphocharax pantostictos",-77.68787,0.52059
"Cyphocharax pantostictos",-73.245833,-5.2875
"Cyphocharax pantostictos",-77.695246,0.512262
"Cyphocharax pantostictos",-64.6125,-3.404167
"Cyphocharax pantostictos",-76.220833,0.379521
"Cyphocharax pantostictos",-72.154167,-2.9375
"Cyphocharax pantostictos",-76.429257,0.379553
"Cyphocharax pantostictos",-76.246056,0.346209
"Cyphocharax pantostictos",-72.754167,-3.1125
"Cyphocharax pantostictos",-73.604167,-5.554167
"Cyphocharax pantostictos",-73.545833,-4.920833
"Cyphocharax pantostictos",-71.415027,-2.864861
"Cyphocharax pantostictos",-65.222938,-5.354515
"Cyphocharax pantostictos",-73.25,-4.3333
"Cyphocharax pantostictos",-76.333386,0.32528
"Cyphocharax pantostictos",-73.4375,-4.304167
"Cyphocharax pantostictos",-65.254167,-4.929167
"Cyphocharax pantostictos",-72.679167,-5.541667
"Cyphocharax pantostictos",-65.077791,-5.037701
"Cyphocharax pantostictos",-76.247483,0.404029
"Cyphocharax pantostictos",-76.153257,0.387135
"Cyphocharax pantostictos",-75.495833,-1.395833
"Cyphocharax pantostictos",-71.454167,-2.845833
"Cyphocharax pantostictos",-77.728797,0.47776
"Cyphocharax pantostictos",-71.8625,-3.329167
"Cyphocharax pantostictos",-76.145833,0.145833
"Cyphocharax pantostictos",-70.254167,-3.795833
"Cyphocharax pantostictos",-76.262712,0.429966
"Cyphocharax pantostictos",-76.195611,0.379283
"Cyphocharax pantostictos",-76.437604,0.437091
"Cyphocharax pantostictos",-65.2375,-5.4125
"Cyphocharax pantostictos",-70.254167,-3.804167
"Cyphocharax pantostictos",-77.719755,0.445399
"Cyphocharax pantostictos",-64.528981,-3.404643
"Cyphocharax pantostictos",-65.1625,-4.979167
"Cyphocharax pantostictos",-65.170833,-4.8875
