"specie","longitude","latitude"
"Cyphocharax pinnilepis",-39.773306,-14.354583
"Cyphocharax pinnilepis",-42.456083,-14.060631
"Cyphocharax pinnilepis",-40.3125,-14.2875
"Cyphocharax pinnilepis",-40.091259,-13.634747
"Cyphocharax pinnilepis",-39.51067,-13.977389
"Cyphocharax pinnilepis",-40.129167,-14.304167
"Cyphocharax pinnilepis",-41.182243,-14.157777
"Cyphocharax pinnilepis",-41.77529,-13.757508
"Cyphocharax pinnilepis",-40.131709,-14.024978
"Cyphocharax pinnilepis",-41.296457,-14.018817
"Cyphocharax pinnilepis",-41.970833,-14.9125
"Cyphocharax pinnilepis",-40.701764,-14.547367
"Cyphocharax pinnilepis",-41.96184,-14.555104
"Cyphocharax pinnilepis",-41.596768,-14.938015
"Cyphocharax pinnilepis",-39.89117,-14.010025
"Cyphocharax pinnilepis",-41.744833,-14.322868
"Cyphocharax pinnilepis",-40.671307,-13.450911
"Cyphocharax pinnilepis",-40.186167,-13.869379
"Cyphocharax pinnilepis",-39.608228,-14.205817
"Cyphocharax pinnilepis",-42.37994,-14.32142
"Cyphocharax pinnilepis",-39.346594,-14.135404
"Cyphocharax pinnilepis",-40.720799,-13.732639
"Cyphocharax pinnilepis",-41.615748,-13.658558
"Cyphocharax pinnilepis",-39.6125,-14.520833
"Cyphocharax pinnilepis",-39.415278,-14.366944
"Cyphocharax pinnilepis",-42.130573,-13.988296
"Cyphocharax pinnilepis",-40.112674,-14.845892
"Cyphocharax pinnilepis",-41.820291,-13.971163
"Cyphocharax pinnilepis",-39.936594,-14.712642
"Cyphocharax pinnilepis",-39.741585,-14.13826
"Cyphocharax pinnilepis",-39.812592,-13.869379
"Cyphocharax pinnilepis",-42.050623,-13.700857
"Cyphocharax pinnilepis",-39.405194,-14.438266
"Cyphocharax pinnilepis",-42.280955,-14.557463
"Cyphocharax pinnilepis",-39.734339,-14.54846
"Cyphocharax pinnilepis",-39.546678,-14.3947
"Cyphocharax pinnilepis",-41.033197,-13.710565
"Cyphocharax pinnilepis",-41.5325,-14.093056
"Cyphocharax pinnilepis",-40.370833,-14.545833
"Cyphocharax pinnilepis",-41.162668,-14.76881
"Cyphocharax pinnilepis",-40.827612,-14.148385
"Cyphocharax pinnilepis",-42.221944,-14.180556
"Cyphocharax pinnilepis",-40.7625,-14.370833
"Cyphocharax pinnilepis",-40.98694,-14.503299
"Cyphocharax pinnilepis",-41.643944,-14.037333
"Cyphocharax pinnilepis",-39.460278,-14.320556
"Cyphocharax pinnilepis",-39.404123,-14.312092
