"specie","longitude","latitude"
"Cyphocharax platanus",-56.9875,-34.5625
"Cyphocharax platanus",-55.1875,-28.454167
"Cyphocharax platanus",-55.404167,-28.520833
"Cyphocharax platanus",-60.179167,-33.345833
"Cyphocharax platanus",-60.1875,-33.304167
"Cyphocharax platanus",-60.4375,-32.7625
"Cyphocharax platanus",-54.279167,-24.375
"Cyphocharax platanus",-60.171111,-33.354167
"Cyphocharax platanus",-60.6625,-32.9125
"Cyphocharax platanus",-56.829167,-29.4875
"Cyphocharax platanus",-57.5125,-30.1875
"Cyphocharax platanus",-54.929167,-29.954167
"Cyphocharax platanus",-58.620833,-32.979167
"Cyphocharax platanus",-56.9,-27.5
"Cyphocharax platanus",-58.869647,-34.180679
"Cyphocharax platanus",-56.556523,-29.116613
"Cyphocharax platanus",-56.370833,-28.6125
"Cyphocharax platanus",-56.8375,-26.5375
"Cyphocharax platanus",-56.720833,-27.495833
"Cyphocharax platanus",-56.845833,-29.495833
"Cyphocharax platanus",-54.929167,-29.770833
"Cyphocharax platanus",-60.22466,-33.316631
"Cyphocharax platanus",-60.654167,-32.345833
"Cyphocharax platanus",-56.75,-29.416666
"Cyphocharax platanus",-58.879167,-34.304167
"Cyphocharax platanus",-60.270833,-32.7125
"Cyphocharax platanus",-55.3375,-27.954167
"Cyphocharax platanus",-60.145833,-33.354167
"Cyphocharax platanus",-56.754165,-29.410556
"Cyphocharax platanus",-60.695833,-32.829167
"Cyphocharax platanus",-57.929167,-34.854167
"Cyphocharax platanus",-60.245833,-33.3375
"Cyphocharax platanus",-55.4125,-28.8875
"Cyphocharax platanus",-60.704167,-32.579167
"Cyphocharax platanus",-58.870977,-34.181944
"Cyphocharax platanus",-54.798054,-29.839445
"Cyphocharax platanus",-58.453885,-34.536762
"Cyphocharax platanus",-58.454167,-27.1625
"Cyphocharax platanus",-57.629167,-25.254167
"Cyphocharax platanus",-57.220833,-27.3125
"Cyphocharax platanus",-55.754167,-27.445833
"Cyphocharax platanus",-56.729167,-29.404167
