"specie","longitude","latitude"
"Cyphocharax plumbeus",-71.8625,-3.329167
"Cyphocharax plumbeus",-55.647556,-11.582667
"Cyphocharax plumbeus",-55.495833,-1.8375
"Cyphocharax plumbeus",-63.779167,-13.7125
"Cyphocharax plumbeus",-59.470833,-3.1375
"Cyphocharax plumbeus",-56.315278,-9.549444
"Cyphocharax plumbeus",-67.2625,0.545833
"Cyphocharax plumbeus",-69.954167,-4.204167
"Cyphocharax plumbeus",-55.4625,-2.170833
"Cyphocharax plumbeus",-48.145833,-13.4375
"Cyphocharax plumbeus",-64.2125,-12.570833
"Cyphocharax plumbeus",-73.104167,-3.4875
"Cyphocharax plumbeus",-47.529167,-5.595833
"Cyphocharax plumbeus",-73.495833,-3.870833
"Cyphocharax plumbeus",-58.62385,-4.30771
"Cyphocharax plumbeus",-56.489167,-9.452778
"Cyphocharax plumbeus",-72.670833,-3.504167
"Cyphocharax plumbeus",-50.945833,-14.7625
"Cyphocharax plumbeus",-64.8375,-1.529167
"Cyphocharax plumbeus",-55.704167,-11.754167
"Cyphocharax plumbeus",-60.283333,-3.383333
"Cyphocharax plumbeus",-67.5578,-11.1331
"Cyphocharax plumbeus",-70.528306,-2.718111
"Cyphocharax plumbeus",-59.795833,-3.220833
"Cyphocharax plumbeus",-55.445833,-2.7875
"Cyphocharax plumbeus",-55.478333,-2.571111
"Cyphocharax plumbeus",-48.495833,-11.204167
"Cyphocharax plumbeus",-67.652533,-11.152193
"Cyphocharax plumbeus",-64.820833,1.529167
"Cyphocharax plumbeus",-48.420556,-10.720833
"Cyphocharax plumbeus",-60.1625,-4.8875
"Cyphocharax plumbeus",-67.563,-11.192
"Cyphocharax plumbeus",-55.6625,-11.5875
"Cyphocharax plumbeus",-73.295833,-3.7375
"Cyphocharax plumbeus",-60.26667,-3.41667
"Cyphocharax plumbeus",-74.779738,0.213304
"Cyphocharax plumbeus",-73.31625,-3.751667
"Cyphocharax plumbeus",-65.204167,0.354167
"Cyphocharax plumbeus",-55.579167,-2.6375
"Cyphocharax plumbeus",-56.751111,-9.4075
"Cyphocharax plumbeus",-64.14555,-12.578
"Cyphocharax plumbeus",-59.330278,-2.123056
"Cyphocharax plumbeus",-73.879167,-3.4875
"Cyphocharax plumbeus",-61.133333,-13.516667
"Cyphocharax plumbeus",-60.820833,-5.5125
"Cyphocharax plumbeus",-63.55837,-13.30981
"Cyphocharax plumbeus",-64.7125,-2.170833
"Cyphocharax plumbeus",-55.545556,-11.432417
"Cyphocharax plumbeus",-67.5611,-11.1514
"Cyphocharax plumbeus",-60.295833,-2.354167
"Cyphocharax plumbeus",-63.929167,-12.5125
"Cyphocharax plumbeus",-60.270833,-3.404167
"Cyphocharax plumbeus",-56.545833,-9.4125
"Cyphocharax plumbeus",-55.695833,-11.7625
"Cyphocharax plumbeus",-56.362778,-1.456389
"Cyphocharax plumbeus",-50.161667,-9.720556
"Cyphocharax plumbeus",-67.554167,-11.145833
"Cyphocharax plumbeus",-74.8875,0.2125
"Cyphocharax plumbeus",-56.716389,-9.528611
"Cyphocharax plumbeus",-56.329167,-9.5375
"Cyphocharax plumbeus",-61.720833,1.145833
"Cyphocharax plumbeus",-57.670833,-8.3625
"Cyphocharax plumbeus",-47.500371,-14.429145
"Cyphocharax plumbeus",-63.1375,-7.5125
"Cyphocharax plumbeus",-60.6375,-3.220833
"Cyphocharax plumbeus",-73.345833,-3.779167
"Cyphocharax plumbeus",-57.870833,-2.579167
"Cyphocharax plumbeus",-55.316111,-11.105556
"Cyphocharax plumbeus",-61.996914,-8.946081
"Cyphocharax plumbeus",-60.854167,0.679167
"Cyphocharax plumbeus",-73.89536,-3.49618
"Cyphocharax plumbeus",-62.8625,0.404167
"Cyphocharax plumbeus",-59.330278,-2.123333
"Cyphocharax plumbeus",-56.795833,-9.320833
"Cyphocharax plumbeus",-60.104167,-3.195833
"Cyphocharax plumbeus",-65.179167,-13.195833
"Cyphocharax plumbeus",-55.6875,-11.6125
"Cyphocharax plumbeus",-64.758333,-3.408333
"Cyphocharax plumbeus",-50.8875,-2.4125
"Cyphocharax plumbeus",-48.615,-6.4075
"Cyphocharax plumbeus",-52.206402,-3.20333
"Cyphocharax plumbeus",-48.617222,-11.790833
"Cyphocharax plumbeus",-67.85429,-11.40328
"Cyphocharax plumbeus",-63.25462,-13.17601
"Cyphocharax plumbeus",-60.279167,-3.095833
"Cyphocharax plumbeus",-50.1125,-5.995833
"Cyphocharax plumbeus",-73.29834,-4.24833
"Cyphocharax plumbeus",-48.529167,-11.279167
"Cyphocharax plumbeus",-50.395833,-6.445833
"Cyphocharax plumbeus",-54.9125,-2.354167
"Cyphocharax plumbeus",-49.6875,-3.745833
"Cyphocharax plumbeus",-62.745833,-13.570833
"Cyphocharax plumbeus",-55.6625,-11.9125
"Cyphocharax plumbeus",-67.5614,-11.1517
"Cyphocharax plumbeus",-47.1375,-11.704167
"Cyphocharax plumbeus",-69.445833,-1.5875
"Cyphocharax plumbeus",-56.4875,-9.454167
"Cyphocharax plumbeus",-58.295833,-1.929167
"Cyphocharax plumbeus",-55.870833,-1.770833
"Cyphocharax plumbeus",-56.7125,-9.379167
"Cyphocharax plumbeus",-55.1875,-3.279167
"Cyphocharax plumbeus",-63.92746,-12.51182
"Cyphocharax plumbeus",-60.150002,-3.333333
"Cyphocharax plumbeus",-58.170833,-1.9875
"Cyphocharax plumbeus",-48.406667,-6.362778
"Cyphocharax plumbeus",-58.9375,-3.579167
"Cyphocharax plumbeus",-73.2875,-3.729167
"Cyphocharax plumbeus",-62.945833,-7.745833
"Cyphocharax plumbeus",-50.563889,-13.232222
"Cyphocharax plumbeus",-48.4625,-11.3125
"Cyphocharax plumbeus",-61.120833,1.8125
"Cyphocharax plumbeus",-56.7625,-1.445833
"Cyphocharax plumbeus",-55.7375,-11.7125
"Cyphocharax plumbeus",-56.654444,-9.604167
"Cyphocharax plumbeus",-73.363889,-3.780972
"Cyphocharax plumbeus",-47.496111,-5.715833
"Cyphocharax plumbeus",-57.6875,-6.404167
"Cyphocharax plumbeus",-56.654167,-9.3875
"Cyphocharax plumbeus",-55.7375,-11.704167
"Cyphocharax plumbeus",-61.820833,-11.454167
"Cyphocharax plumbeus",-67.5625,-11.179167
"Cyphocharax plumbeus",-51.204167,-12.820833
"Cyphocharax plumbeus",-64.648056,-9.27
"Cyphocharax plumbeus",-56.770833,-9.3875
"Cyphocharax plumbeus",-47.429167,-6.495833
"Cyphocharax plumbeus",-49.6625,-3.754167
"Cyphocharax plumbeus",-50.161389,-9.720556
"Cyphocharax plumbeus",-64.589444,-12.200278
"Cyphocharax plumbeus",-53.245833,-17.329167
"Cyphocharax plumbeus",-58.320833,-2.754167
"Cyphocharax plumbeus",-62.9375,-13.354167
"Cyphocharax plumbeus",-58.304167,-6.504167
"Cyphocharax plumbeus",-62.745833,-13.1625
"Cyphocharax plumbeus",-59.946091,-3.239697
"Cyphocharax plumbeus",-47.870833,-12.604167
"Cyphocharax plumbeus",-48.228056,-12.5225
"Cyphocharax plumbeus",-56.779167,-9.320833
"Cyphocharax plumbeus",-61.304167,-5.820833
"Cyphocharax plumbeus",-52.220833,-3.320833
"Cyphocharax plumbeus",-64.795833,-3.304167
"Cyphocharax plumbeus",-48.245833,-12.4625
"Cyphocharax plumbeus",-52.195833,-3.2125
"Cyphocharax plumbeus",-47.5875,-12.804167
"Cyphocharax plumbeus",-56.354167,-1.8125
"Cyphocharax plumbeus",-63.1875,-12.8125
"Cyphocharax plumbeus",-55.354167,-3.604167
"Cyphocharax plumbeus",-48.575556,-6.430556
"Cyphocharax plumbeus",-65.25027,-13.16324
"Cyphocharax plumbeus",-58.995833,-3.2375
"Cyphocharax plumbeus",-64.670833,-3.2625
"Cyphocharax plumbeus",-52.304167,-15.870833
"Cyphocharax plumbeus",-73.36378,-3.78184
"Cyphocharax plumbeus",-55.600278,-2.678889
"Cyphocharax plumbeus",-61.674364,-9.327211
"Cyphocharax plumbeus",-57.6125,-9.195833
"Cyphocharax plumbeus",-58.33173,-3.2247
"Cyphocharax plumbeus",-64.779167,-3.9125
"Cyphocharax plumbeus",-57.604167,-9.195833
"Cyphocharax plumbeus",-57.529167,-9.129167
"Cyphocharax plumbeus",-55.214306,-2.522778
"Cyphocharax plumbeus",-73.270833,-3.695833
"Cyphocharax plumbeus",-63.9125,-8.770833
"Cyphocharax plumbeus",-49.970833,-9.279167
"Cyphocharax plumbeus",-64.6875,-3.245833
"Cyphocharax plumbeus",-56.645833,-9.6125
"Cyphocharax plumbeus",-60.3925,-6.736111
"Cyphocharax plumbeus",-55.2375,-3.1125
"Cyphocharax plumbeus",-54.845833,-2.179167
"Cyphocharax plumbeus",-59.946606,-3.241644
"Cyphocharax plumbeus",-59.595833,-4.379167
"Cyphocharax plumbeus",-63.520833,-13.2875
