"specie","longitude","latitude"
"Cyphocharax punctatus",-54.596103,3.162723
"Cyphocharax punctatus",-54.546705,3.230109
"Cyphocharax punctatus",-54.511585,3.178142
"Cyphocharax punctatus",-54.38652,3.179569
"Cyphocharax punctatus",-54.716313,3.01196
"Cyphocharax punctatus",-54.55689,3.064784
"Cyphocharax punctatus",-55.113207,3.428842
"Cyphocharax punctatus",-55.41916,3.17834
"Cyphocharax punctatus",-54.437778,4.3775
"Cyphocharax punctatus",-54.179,2.855
"Cyphocharax punctatus",-54.153,3.199
"Cyphocharax punctatus",-55.412,3.269
"Cyphocharax punctatus",-54.407,2.427
"Cyphocharax punctatus",-54.454,2.767
"Cyphocharax punctatus",-53.979,3.261
"Cyphocharax punctatus",-53.944,3.402
"Cyphocharax punctatus",-55.646,2.976
"Cyphocharax punctatus",-55.862,3.152
"Cyphocharax punctatus",-54.561107,4.734328
"Cyphocharax punctatus",-54.563552,3.01533
"Cyphocharax punctatus",-54.210714,3.784472
"Cyphocharax punctatus",-54.15755,4.231531
"Cyphocharax punctatus",-54.134708,4.536102
"Cyphocharax punctatus",-54.678367,4.132546
"Cyphocharax punctatus",-54.303977,3.17981
"Cyphocharax punctatus",-54.915126,3.680948
"Cyphocharax punctatus",-54.429167,4.654167
"Cyphocharax punctatus",-54.003882,2.959618
"Cyphocharax punctatus",-53.774214,5.350839
"Cyphocharax punctatus",-54.585871,2.894986
"Cyphocharax punctatus",-53.696189,3.203046
"Cyphocharax punctatus",-54.311359,4.00491
"Cyphocharax punctatus",-54.355141,5.140676
"Cyphocharax punctatus",-53.501746,4.922887
"Cyphocharax punctatus",-54.097614,3.128566
"Cyphocharax punctatus",-54.178858,2.980204
"Cyphocharax punctatus",-53.504167,3.6625
"Cyphocharax punctatus",-53.636944,4.743056
"Cyphocharax punctatus",-53.702217,5.579649
"Cyphocharax punctatus",-54.262805,2.728172
"Cyphocharax punctatus",-54.379875,2.861421
"Cyphocharax punctatus",-53.229167,3.920833
"Cyphocharax punctatus",-53.484512,2.717255
"Cyphocharax punctatus",-53.754167,2.954167
"Cyphocharax punctatus",-54.11,2.51
"Cyphocharax punctatus",-53.645833,4.9875
"Cyphocharax punctatus",-53.663889,5.171111
"Cyphocharax punctatus",-53.708056,3.486944
"Cyphocharax punctatus",-53.854566,3.408631
"Cyphocharax punctatus",-54.076903,3.484689
"Cyphocharax punctatus",-54.154167,3.204167
"Cyphocharax punctatus",-53.690098,3.350678
"Cyphocharax punctatus",-54.070833,5.454167
"Cyphocharax punctatus",-53.372586,3.431269
"Cyphocharax punctatus",-53.786111,4.948333
"Cyphocharax punctatus",-54.179048,2.855711
"Cyphocharax punctatus",-54.503638,3.094289
