"specie","longitude","latitude"
"Cyphocharax saladensis",-50.887333,-30.315716
"Cyphocharax saladensis",-52.7375,-29.720833
"Cyphocharax saladensis",-60.171111,-33.354167
"Cyphocharax saladensis",-52.220833,-31.595833
"Cyphocharax saladensis",-60.704167,-32.579167
"Cyphocharax saladensis",-51.6625,-30.879167
"Cyphocharax saladensis",-50.104167,-29.620833
"Cyphocharax saladensis",-53.649445,-27.21389
"Cyphocharax saladensis",-52.904167,-30.5375
"Cyphocharax saladensis",-52.620833,-30.2375
"Cyphocharax saladensis",-56.9375,-29.704167
"Cyphocharax saladensis",-50.2875,-29.5625
"Cyphocharax saladensis",-51.695,-30.100556
"Cyphocharax saladensis",-54.320833,-32.145833
"Cyphocharax saladensis",-57.121229,-25.326714
"Cyphocharax saladensis",-50.1375,-29.979167
"Cyphocharax saladensis",-51.420833,-30.670833
"Cyphocharax saladensis",-54.1625,-29.6375
"Cyphocharax saladensis",-56.979167,-26.879167
"Cyphocharax saladensis",-51.32831,-30.553374
"Cyphocharax saladensis",-57.1125,-29.754167
"Cyphocharax saladensis",-51.495833,-30.4375
"Cyphocharax saladensis",-51.390278,-29.838612
"Cyphocharax saladensis",-51.337553,-30.54595
"Cyphocharax saladensis",-51.545834,-30.623888
"Cyphocharax saladensis",-56.329167,-24.8875
"Cyphocharax saladensis",-56.5,-23.631667
"Cyphocharax saladensis",-51.6625,-30.945833
"Cyphocharax saladensis",-54.9125,-30.2375
"Cyphocharax saladensis",-50.204167,-29.954167
"Cyphocharax saladensis",-50.420833,-29.7875
"Cyphocharax saladensis",-55.9375,-24.370833
"Cyphocharax saladensis",-55.720833,-28.8875
"Cyphocharax saladensis",-51.441387,-30.383888
"Cyphocharax saladensis",-57.879167,-25.320833
"Cyphocharax saladensis",-53.529167,-30.4875
"Cyphocharax saladensis",-57.904167,-23.3875
"Cyphocharax saladensis",-50.237458,-29.629452
"Cyphocharax saladensis",-53.2625,-29.7875
"Cyphocharax saladensis",-56.2375,-30.879167
"Cyphocharax saladensis",-56.729167,-29.5125
"Cyphocharax saladensis",-49.804167,-29.379167
"Cyphocharax saladensis",-50.204167,-29.9125
"Cyphocharax saladensis",-51.344691,-30.55423
"Cyphocharax saladensis",-57.4875,-23.395833
"Cyphocharax saladensis",-50.945833,-31.220833
"Cyphocharax saladensis",-55.40917,-30.84667
"Cyphocharax saladensis",-55.395833,-30.9875
"Cyphocharax saladensis",-56.295833,-30.429167
"Cyphocharax saladensis",-58.454167,-27.1625
"Cyphocharax saladensis",-58.329167,-31.8875
"Cyphocharax saladensis",-57.679167,-26.779167
"Cyphocharax saladensis",-57.245833,-27.3875
"Cyphocharax saladensis",-55.86055,-25.25499
"Cyphocharax saladensis",-55.745833,-25.379167
"Cyphocharax saladensis",-55.37888,-25.4036
"Cyphocharax saladensis",-54.59999,-25.58332
"Cyphocharax saladensis",-51.362172,-30.496003
