"specie","longitude","latitude"
"Cyphocharax santacatarinae",-48.6875,-27.695833
"Cyphocharax santacatarinae",-49.673611,-28.978611
"Cyphocharax santacatarinae",-48.995833,-28.170833
"Cyphocharax santacatarinae",-48.407223,-25.180834
"Cyphocharax santacatarinae",-46.440942,-23.880375
"Cyphocharax santacatarinae",-46.319706,-23.832812
"Cyphocharax santacatarinae",-48.5125,-24.7625
"Cyphocharax santacatarinae",-47.854167,-24.3625
"Cyphocharax santacatarinae",-47.8375,-24.504167
"Cyphocharax santacatarinae",-47.929167,-24.395833
"Cyphocharax santacatarinae",-48.995833,-24.654167
"Cyphocharax santacatarinae",-47.5625,-24.704167
"Cyphocharax santacatarinae",-47.895833,-24.604167
"Cyphocharax santacatarinae",-48.629167,-24.5875
"Cyphocharax santacatarinae",-48.554167,-24.570833
"Cyphocharax santacatarinae",-47.804167,-24.729167
"Cyphocharax santacatarinae",-47.120833,-24.404167
"Cyphocharax santacatarinae",-46.1875,-23.8375
"Cyphocharax santacatarinae",-47.879167,-24.8625
"Cyphocharax santacatarinae",-47.736389,-24.632778
"Cyphocharax santacatarinae",-47.8875,-24.195833
"Cyphocharax santacatarinae",-48.904167,-26.145833
"Cyphocharax santacatarinae",-48.812733,-25.493909
"Cyphocharax santacatarinae",-48.804167,-25.4625
"Cyphocharax santacatarinae",-48.770833,-25.220833
"Cyphocharax santacatarinae",-46.1625,-23.8375
"Cyphocharax santacatarinae",-48.854167,-26.445833
