"specie","longitude","latitude"
"Cyphocharax signatus",-51.4025,-15.976389
"Cyphocharax signatus",-51.40607,-16.112151
"Cyphocharax signatus",-51.30441,-16.537622
"Cyphocharax signatus",-52.786611,-16.738207
"Cyphocharax signatus",-52.036103,-14.819409
"Cyphocharax signatus",-50.5975,-15.730278
"Cyphocharax signatus",-50.318555,-15.816697
"Cyphocharax signatus",-50.798782,-13.666682
"Cyphocharax signatus",-51.1125,-14.329167
"Cyphocharax signatus",-50.012,-14.988
"Cyphocharax signatus",-49.995,-14.83
"Cyphocharax signatus",-49.929,-14.876
"Cyphocharax signatus",-49.545,-14.165
"Cyphocharax signatus",-49.887,-13.167
"Cyphocharax signatus",-50.579,-13.247
"Cyphocharax signatus",-48.138,-8.996
"Cyphocharax signatus",-48.18,-8.956
"Cyphocharax signatus",-48.195,-9.023
"Cyphocharax signatus",-48.246,-9.088
"Cyphocharax signatus",-48.296,-9.054
"Cyphocharax signatus",-48.213,-9.132
"Cyphocharax signatus",-48.387,-9.073
"Cyphocharax signatus",-48.456,-9.272
"Cyphocharax signatus",-48.362,-9.413
"Cyphocharax signatus",-48.320833,-9.304167
"Cyphocharax signatus",-48.285,-9.916
"Cyphocharax signatus",-48.3,-9.789
"Cyphocharax signatus",-48.371,-9.702
"Cyphocharax signatus",-48.427,-9.783
"Cyphocharax signatus",-48.558,-9.827
"Cyphocharax signatus",-48.372,-9.939
"Cyphocharax signatus",-51.119158,-15.44619
"Cyphocharax signatus",-51.061271,-14.74556
"Cyphocharax signatus",-51.153677,-15.188211
"Cyphocharax signatus",-51.109849,-14.953216
