"specie","longitude","latitude"
"Cyphocharax spilotus",-54.4875,-31.3625
"Cyphocharax spilotus",-56.416667,-30.116667
"Cyphocharax spilotus",-54.96181,-30.305373
"Cyphocharax spilotus",-55.2125,-30.7875
"Cyphocharax spilotus",-54.695833,-30.9875
"Cyphocharax spilotus",-54.995833,-31.320833
"Cyphocharax spilotus",-54.1625,-29.6375
"Cyphocharax spilotus",-54.450001,-29.549999
"Cyphocharax spilotus",-55.279167,-30.4625
"Cyphocharax spilotus",-55.162648,-29.871024
"Cyphocharax spilotus",-54.695833,-29.8125
"Cyphocharax spilotus",-54.700001,-29.633333
"Cyphocharax spilotus",-54.379167,-31.1375
"Cyphocharax spilotus",-54.133335,-31.466667
"Cyphocharax spilotus",-53.8375,-29.6875
"Cyphocharax spilotus",-54.466667,-31.833334
"Cyphocharax spilotus",-57.1125,-29.754167
"Cyphocharax spilotus",-57.5125,-30.1875
"Cyphocharax spilotus",-56.2375,-30.879167
"Cyphocharax spilotus",-56.75,-29.416666
"Cyphocharax spilotus",-55.1875,-28.454167
"Cyphocharax spilotus",-55.495833,-30.6375
"Cyphocharax spilotus",-54.7375,-30.979167
"Cyphocharax spilotus",-54.996944,-30.3125
"Cyphocharax spilotus",-54.981283,-30.29614
"Cyphocharax spilotus",-57.729167,-15.170833
"Cyphocharax spilotus",-57.7125,-16.4375
"Cyphocharax spilotus",-56.479167,-15.2375
"Cyphocharax spilotus",-57.179167,-15.875
"Cyphocharax spilotus",-57.195833,-14.8625
"Cyphocharax spilotus",-57.229167,-15.404167
"Cyphocharax spilotus",-57.329167,-15.745833
"Cyphocharax spilotus",-55.629167,-30.704167
"Cyphocharax spilotus",-54.9125,-30.245833
"Cyphocharax spilotus",-52.904167,-30.5375
"Cyphocharax spilotus",-54.9125,-30.2375
"Cyphocharax spilotus",-56.845833,-29.495833
"Cyphocharax spilotus",-57.720833,-29.729167
"Cyphocharax spilotus",-53.259998,-29.446945
"Cyphocharax spilotus",-53.229167,-29.3875
"Cyphocharax spilotus",-56.50639,-30.255833
"Cyphocharax spilotus",-51.383335,-29.833334
"Cyphocharax spilotus",-54.3375,-30.2875
"Cyphocharax spilotus",-55.209721,-30.791945
"Cyphocharax spilotus",-58.2875,-30.3875
"Cyphocharax spilotus",-54.798054,-29.839445
"Cyphocharax spilotus",-54.4875,-29.670833
"Cyphocharax spilotus",-55.3625,-30.3875
"Cyphocharax spilotus",-53.855278,-31.8325
"Cyphocharax spilotus",-55.180279,-29.5175
"Cyphocharax spilotus",-53.220833,-29.470833
"Cyphocharax spilotus",-53.245833,-29.454167
"Cyphocharax spilotus",-51.884998,-29.169445
"Cyphocharax spilotus",-56.141109,-30.536388
"Cyphocharax spilotus",-56.4125,-30.345833
"Cyphocharax spilotus",-56.4375,-30.370833
"Cyphocharax spilotus",-56.235554,-30.1625
"Cyphocharax spilotus",-52.104167,-31.570833
"Cyphocharax spilotus",-53.890139,-27.161528
"Cyphocharax spilotus",-55.320833,-28.270833
"Cyphocharax spilotus",-51.629167,-29.875
"Cyphocharax spilotus",-51.845444,-27.535083
"Cyphocharax spilotus",-57.745833,-16.520833
"Cyphocharax spilotus",-57.5125,-15.779167
"Cyphocharax spilotus",-57.367,-15.717
"Cyphocharax spilotus",-57.429167,-15.4125
"Cyphocharax spilotus",-57.183,-15.333
"Cyphocharax spilotus",-56.6375,-15.1125
"Cyphocharax spilotus",-57.1875,-15.7875
"Cyphocharax spilotus",-57.154167,-14.879167
"Cyphocharax spilotus",-57.695833,-14.5125
"Cyphocharax spilotus",-54.304167,-30.920833
"Cyphocharax spilotus",-54.30528,-30.9222
"Cyphocharax spilotus",-55.329167,-30.995833
"Cyphocharax spilotus",-55.920833,-30.304167
"Cyphocharax spilotus",-56.7875,-29.954167
"Cyphocharax spilotus",-54.9375,-30.920833
"Cyphocharax spilotus",-56.4625,-25.1625
"Cyphocharax spilotus",-56.445833,-25.170833
"Cyphocharax spilotus",-57.183333,-15.333333
"Cyphocharax spilotus",-57.366667,-15.716667
