"specie","longitude","latitude"
"Cyphocharax spiluropsis",-75.504167,-1.1375
"Cyphocharax spiluropsis",-69.270833,-12.8125
"Cyphocharax spiluropsis",-61.820833,-9.2875
"Cyphocharax spiluropsis",-75.3625,0.454167
"Cyphocharax spiluropsis",-62.33111,-10.61417
"Cyphocharax spiluropsis",-72.773201,-3.11802
"Cyphocharax spiluropsis",-75.495833,-1.395833
"Cyphocharax spiluropsis",-67.579167,-11.220833
"Cyphocharax spiluropsis",-66.170833,-11.104167
"Cyphocharax spiluropsis",-69.2917,-12.8417
"Cyphocharax spiluropsis",-71.410731,-2.861428
"Cyphocharax spiluropsis",-69.945833,-4.129167
"Cyphocharax spiluropsis",-62.645833,-10.295833
"Cyphocharax spiluropsis",-59.394444,-13.394167
"Cyphocharax spiluropsis",-51.854167,-3.604167
"Cyphocharax spiluropsis",-52.678611,-3.823611
"Cyphocharax spiluropsis",-74.754167,-5.145833
"Cyphocharax spiluropsis",-59.470833,-3.1375
"Cyphocharax spiluropsis",-76.1875,0.2875
"Cyphocharax spiluropsis",-73.254167,-2.270833
"Cyphocharax spiluropsis",-69.33667,-12.7875
"Cyphocharax spiluropsis",-72.920833,-3.2625
"Cyphocharax spiluropsis",-51.1978,-3.47222
"Cyphocharax spiluropsis",-51.305832,-14.2125
"Cyphocharax spiluropsis",-76.2125,0.379167
"Cyphocharax spiluropsis",-52.179167,-12.995833
"Cyphocharax spiluropsis",-63.929167,-12.5125
"Cyphocharax spiluropsis",-67.5564,-11.1108
"Cyphocharax spiluropsis",-68.970833,-12.829167
"Cyphocharax spiluropsis",-69.3125,-12.795833
"Cyphocharax spiluropsis",-63.520833,-13.2875
"Cyphocharax spiluropsis",-69.31639,-12.79694
"Cyphocharax spiluropsis",-56.709722,-9.513611
"Cyphocharax spiluropsis",-67.652533,-11.152193
"Cyphocharax spiluropsis",-51.7625,-3.5875
"Cyphocharax spiluropsis",-75.1875,0.2125
"Cyphocharax spiluropsis",-74.378542,0.752949
"Cyphocharax spiluropsis",-74.378558,0.752975
"Cyphocharax spiluropsis",-69.22278,-12.72972
"Cyphocharax spiluropsis",-64.670833,-3.2625
"Cyphocharax spiluropsis",-65.663,-11.631
"Cyphocharax spiluropsis",-57.6125,-9.195833
"Cyphocharax spiluropsis",-64.9225,-9.609722
"Cyphocharax spiluropsis",-59.3625,-10.4375
"Cyphocharax spiluropsis",-55.705002,-11.654166
"Cyphocharax spiluropsis",-74.378537,0.752954
"Cyphocharax spiluropsis",-59.143333,-13.367222
"Cyphocharax spiluropsis",-75.930542,0.227982
"Cyphocharax spiluropsis",-76.602094,0.40313
"Cyphocharax spiluropsis",-61.5875,-9.395833
"Cyphocharax spiluropsis",-52.395833,-3.554167
"Cyphocharax spiluropsis",-76.429167,0.5375
"Cyphocharax spiluropsis",-64.370833,-12.541667
"Cyphocharax spiluropsis",-66.270833,-14.945833
"Cyphocharax spiluropsis",-67.5556,-11.135
"Cyphocharax spiluropsis",-74.8625,-5.295833
"Cyphocharax spiluropsis",-61.979167,-9.445833
"Cyphocharax spiluropsis",-59.429167,-15.204167
"Cyphocharax spiluropsis",-69.954167,-4.204167
"Cyphocharax spiluropsis",-52.206402,-3.20333
"Cyphocharax spiluropsis",-71.98764,-3.2011
"Cyphocharax spiluropsis",-76.495833,-3.8125
"Cyphocharax spiluropsis",-67.970833,-3.129167
"Cyphocharax spiluropsis",-71.5625,-2.3125
"Cyphocharax spiluropsis",-75.095833,0.495833
"Cyphocharax spiluropsis",-67.5625,-11.179167
"Cyphocharax spiluropsis",-74.9375,-4.9875
"Cyphocharax spiluropsis",-76.345782,0.378659
"Cyphocharax spiluropsis",-68.392694,-10.761861
"Cyphocharax spiluropsis",-61.569636,-8.919808
"Cyphocharax spiluropsis",-73.237543,-3.696283
"Cyphocharax spiluropsis",-65.3625,-10.854167
"Cyphocharax spiluropsis",-61.926239,-8.953814
"Cyphocharax spiluropsis",-73.295833,-3.7375
"Cyphocharax spiluropsis",-55.179167,-10.870833
"Cyphocharax spiluropsis",-56.971667,-10.361944
"Cyphocharax spiluropsis",-74.378546,0.752945
"Cyphocharax spiluropsis",-62.295833,-9.670833
"Cyphocharax spiluropsis",-55.4625,-2.170833
"Cyphocharax spiluropsis",-63.195833,-5.629167
"Cyphocharax spiluropsis",-55.870833,-1.770833
"Cyphocharax spiluropsis",-74.55436,0.426076
"Cyphocharax spiluropsis",-76.4375,0.545833
"Cyphocharax spiluropsis",-60.283333,-3.383333
"Cyphocharax spiluropsis",-75.170833,0.1375
"Cyphocharax spiluropsis",-62.179167,-6.179167
"Cyphocharax spiluropsis",-68.770833,-11.3125
"Cyphocharax spiluropsis",-70.27924,-4.48537
"Cyphocharax spiluropsis",-59.595833,-4.379167
"Cyphocharax spiluropsis",-64.879167,-3.208333
"Cyphocharax spiluropsis",-62.745833,-13.570833
"Cyphocharax spiluropsis",-76.2125,0.1375
"Cyphocharax spiluropsis",-75.6125,1.629167
"Cyphocharax spiluropsis",-56.308056,-9.548056
