"specie","longitude","latitude"
"Cyphocharax spilurus",-59.454892,5.200085
"Cyphocharax spilurus",-58.597222,6.183333
"Cyphocharax spilurus",-62.929167,0.9625
"Cyphocharax spilurus",-59.1625,5.2875
"Cyphocharax spilurus",-72.920833,4.745833
"Cyphocharax spilurus",-74.994694,-7.362616
"Cyphocharax spilurus",-58.552484,5.98888
"Cyphocharax spilurus",-66.454167,3.679167
"Cyphocharax spilurus",-67.204167,-13.970833
"Cyphocharax spilurus",-59.737362,3.442519
"Cyphocharax spilurus",-47.9875,-1.304167
"Cyphocharax spilurus",-58.908933,5.304058
"Cyphocharax spilurus",-60.979167,1.945833
"Cyphocharax spilurus",-56.254167,-4.445833
"Cyphocharax spilurus",-71.8625,-3.329167
"Cyphocharax spilurus",-59.354167,3.304167
"Cyphocharax spilurus",-67.745833,-2.770833
"Cyphocharax spilurus",-51.7125,0.695833
"Cyphocharax spilurus",-62.845833,-3.9125
"Cyphocharax spilurus",-73.2875,-3.729167
"Cyphocharax spilurus",-58.305723,5.999809
"Cyphocharax spilurus",-59.429167,-5.229167
"Cyphocharax spilurus",-60.104167,-3.195833
"Cyphocharax spilurus",-58.279089,6.191447
"Cyphocharax spilurus",-67.554167,8.895833
"Cyphocharax spilurus",-59.795833,3.3625
"Cyphocharax spilurus",-59.8625,-3.879167
"Cyphocharax spilurus",-67.595984,5.604456
"Cyphocharax spilurus",-70.8875,-12.7875
"Cyphocharax spilurus",-59.192336,5.349055
"Cyphocharax spilurus",-58.303749,5.995968
"Cyphocharax spilurus",-59.2875,3.895833
"Cyphocharax spilurus",-59.144663,5.402816
"Cyphocharax spilurus",-49.1125,-5.3625
"Cyphocharax spilurus",-51.704167,-3.120833
"Cyphocharax spilurus",-59.679167,3.329167
"Cyphocharax spilurus",-63.5375,0.495833
"Cyphocharax spilurus",-60.870833,-3.279167
"Cyphocharax spilurus",-58.845833,5.404167
"Cyphocharax spilurus",-61.358333,-3.425
"Cyphocharax spilurus",-50.520833,-5.8625
"Cyphocharax spilurus",-63.1625,-7.5125
"Cyphocharax spilurus",-60.1125,-3.4875
"Cyphocharax spilurus",-67.570833,5.570833
"Cyphocharax spilurus",-58.504167,6.2875
"Cyphocharax spilurus",-65.970833,3.245833
"Cyphocharax spilurus",-59.833989,3.448191
"Cyphocharax spilurus",-61.254167,1.504167
"Cyphocharax spilurus",-66.804167,-2.504167
"Cyphocharax spilurus",-58.295833,6.404167
"Cyphocharax spilurus",-67.809296,5.236771
"Cyphocharax spilurus",-55.304167,4.520833
"Cyphocharax spilurus",-67.320833,6.545833
"Cyphocharax spilurus",-60.129167,6.8375
"Cyphocharax spilurus",-56.696111,-13.845278
"Cyphocharax spilurus",-60.367117,6.32715
"Cyphocharax spilurus",-59.3125,3.845833
"Cyphocharax spilurus",-67.420833,6.545833
"Cyphocharax spilurus",-58.795833,4.804167
"Cyphocharax spilurus",-60.3625,-3.2125
"Cyphocharax spilurus",-66.129167,7.6375
"Cyphocharax spilurus",-59.6125,3.604167
"Cyphocharax spilurus",-56.5206,4.4214
"Cyphocharax spilurus",-58.50093,2.24098
"Cyphocharax spilurus",-55.7912,4.3814
"Cyphocharax spilurus",-58.683333,4.683333
"Cyphocharax spilurus",-72.754167,-7.604167
"Cyphocharax spilurus",-60.3625,-3.820833
"Cyphocharax spilurus",-66.1125,5.454167
"Cyphocharax spilurus",-58.920833,5.229167
"Cyphocharax spilurus",-67.645833,6.204167
"Cyphocharax spilurus",-71.704167,5.4625
"Cyphocharax spilurus",-60.26667,-3.41667
"Cyphocharax spilurus",-53.820833,3.604167
"Cyphocharax spilurus",-65.304167,4.729167
"Cyphocharax spilurus",-47.479167,-5.6875
"Cyphocharax spilurus",-52.904167,-15.920833
"Cyphocharax spilurus",-59.5375,2.970833
"Cyphocharax spilurus",-67.620833,5.595833
"Cyphocharax spilurus",-63.329167,6.820833
"Cyphocharax spilurus",-48.804167,-12.7625
"Cyphocharax spilurus",-54.645833,3.3125
"Cyphocharax spilurus",-56.5681,4.5297
"Cyphocharax spilurus",-58.804167,4.7875
"Cyphocharax spilurus",-67.504167,6.554167
"Cyphocharax spilurus",-63.270833,7.404167
"Cyphocharax spilurus",-52.754167,3.954167
"Cyphocharax spilurus",-59.946091,-3.239697
"Cyphocharax spilurus",-61.8,-13.535
"Cyphocharax spilurus",-54.520833,-1.495833
"Cyphocharax spilurus",-69.887444,6.3905
"Cyphocharax spilurus",-59.9875,2.829167
"Cyphocharax spilurus",-59.795833,-3.220833
"Cyphocharax spilurus",-67.652528,6.202861
"Cyphocharax spilurus",-60.15038,6.22217
"Cyphocharax spilurus",-58.729167,-13.556667
"Cyphocharax spilurus",-70.958333,5.670833
"Cyphocharax spilurus",-59.679167,3.620833
"Cyphocharax spilurus",-72.661111,-7.567222
"Cyphocharax spilurus",-59.3625,3.645833
"Cyphocharax spilurus",-59.9928,6.79711
"Cyphocharax spilurus",-67.429167,6.5625
"Cyphocharax spilurus",-63.8875,7.804167
"Cyphocharax spilurus",-59.4338,3.86947
"Cyphocharax spilurus",-73.504167,4.1125
"Cyphocharax spilurus",-53.529167,2.8125
"Cyphocharax spilurus",-71.554167,7.529167
"Cyphocharax spilurus",-56.692778,-13.805556
"Cyphocharax spilurus",-52.206402,-3.20333
"Cyphocharax spilurus",-59.970833,4.695833
"Cyphocharax spilurus",-70.304167,1.604167
"Cyphocharax spilurus",-47.7875,-2.279167
"Cyphocharax spilurus",-59.379167,4.145833
"Cyphocharax spilurus",-54.4221,5.6463
"Cyphocharax spilurus",-59.830617,2.8749
"Cyphocharax spilurus",-58.7875,4.754167
"Cyphocharax spilurus",-59.988552,3.920595
"Cyphocharax spilurus",-73.595833,2.3875
"Cyphocharax spilurus",-60.276467,-3.482465
"Cyphocharax spilurus",-46.970833,-12.195833
"Cyphocharax spilurus",-73.520833,3.870833
"Cyphocharax spilurus",-56.545833,4.5375
"Cyphocharax spilurus",-59.7875,3.4625
"Cyphocharax spilurus",-67.3625,6.5375
"Cyphocharax spilurus",-73.87425,2.191056
"Cyphocharax spilurus",-58.2375,4.154167
"Cyphocharax spilurus",-66.893694,8.712564
"Cyphocharax spilurus",-73.295833,-3.7375
"Cyphocharax spilurus",-59.854167,2.895833
"Cyphocharax spilurus",-59.795833,3.479167
"Cyphocharax spilurus",-58.704167,4.7125
"Cyphocharax spilurus",-60.220833,-3.254167
"Cyphocharax spilurus",-64.8875,7.604167
"Cyphocharax spilurus",-61.470833,3.4125
"Cyphocharax spilurus",-71.84,5.58
"Cyphocharax spilurus",-66.120833,5.445833
"Cyphocharax spilurus",-46.759998,-10.5525
"Cyphocharax spilurus",-60.2317,6.20943
"Cyphocharax spilurus",-52.429167,-13.6125
"Cyphocharax spilurus",-54.6625,5.404167
"Cyphocharax spilurus",-73.470833,3.3875
"Cyphocharax spilurus",-58.675,4.663889
"Cyphocharax spilurus",-58.382472,-11.529833
"Cyphocharax spilurus",-62.496223,7.169395
"Cyphocharax spilurus",-71.654167,4.804167
"Cyphocharax spilurus",-54.42142,5.6679
"Cyphocharax spilurus",-66.683333,-14.233333
"Cyphocharax spilurus",-71.84,5.59
"Cyphocharax spilurus",-58.691667,4.699167
"Cyphocharax spilurus",-70.970833,5.495833
"Cyphocharax spilurus",-69.329167,7.754167
"Cyphocharax spilurus",-56.8375,-1.3375
"Cyphocharax spilurus",-54.779167,3.304167
"Cyphocharax spilurus",-67.6375,7.1625
