"specie","longitude","latitude"
"Cyphocharax stilbolepis",-52.204167,-3.395833
"Cyphocharax stilbolepis",-52.728669,-3.287622
"Cyphocharax stilbolepis",-51.8875,-3.5875
"Cyphocharax stilbolepis",-51.720833,-3.4125
"Cyphocharax stilbolepis",-51.66997,-3.12604
"Cyphocharax stilbolepis",-52.121288,-2.829219
"Cyphocharax stilbolepis",-51.6125,-3.570833
"Cyphocharax stilbolepis",-51.5831,-3.75673
"Cyphocharax stilbolepis",-53.249722,-13.839444
"Cyphocharax stilbolepis",-53.945396,-13.479697
"Cyphocharax stilbolepis",-53.109722,-13.596944
"Cyphocharax stilbolepis",-53.579546,-13.803779
"Cyphocharax stilbolepis",-52.195833,-3.2125
"Cyphocharax stilbolepis",-51.704167,-3.120833
"Cyphocharax stilbolepis",-53.436507,-13.338942
"Cyphocharax stilbolepis",-53.896179,-13.519965
"Cyphocharax stilbolepis",-49.679167,-3.745833
"Cyphocharax stilbolepis",-49.61178,-3.679589
"Cyphocharax stilbolepis",-56.84996,-9.24385
"Cyphocharax stilbolepis",-53.037574,-13.96559
"Cyphocharax stilbolepis",-51.795487,-3.09581
"Cyphocharax stilbolepis",-54.493392,-4.69915
"Cyphocharax stilbolepis",-53.421944,-13.034722
"Cyphocharax stilbolepis",-51.682791,-3.479592
"Cyphocharax stilbolepis",-49.46253,-2.238748
"Cyphocharax stilbolepis",-49.662204,-3.63789
"Cyphocharax stilbolepis",-57.179501,-8.935593
"Cyphocharax stilbolepis",-49.566524,-9.956123
"Cyphocharax stilbolepis",-49.638066,-8.795109
"Cyphocharax stilbolepis",-53.420833,-5.045833
"Cyphocharax stilbolepis",-49.609934,-3.426934
"Cyphocharax stilbolepis",-49.656922,-3.763842
"Cyphocharax stilbolepis",-49.659358,-3.829634
"Cyphocharax stilbolepis",-50.161389,-9.720556
"Cyphocharax stilbolepis",-49.970833,-9.279167
"Cyphocharax stilbolepis",-52.24257,-3.111959
"Cyphocharax stilbolepis",-49.182676,-10.421561
"Cyphocharax stilbolepis",-51.821161,-3.598507
"Cyphocharax stilbolepis",-52.012057,-2.836802
"Cyphocharax stilbolepis",-52.938352,-13.295812
"Cyphocharax stilbolepis",-53.04,-13.43
"Cyphocharax stilbolepis",-55.089722,-8.318611
"Cyphocharax stilbolepis",-56.778333,-9.343889
"Cyphocharax stilbolepis",-49.454167,-3.6875
"Cyphocharax stilbolepis",-53.279177,-12.227609
"Cyphocharax stilbolepis",-53.204137,-13.591539
"Cyphocharax stilbolepis",-50.99583,-14.39722
