"specie","longitude","latitude"
"Cyphocharax vanderi",-47.771258,-21.620693
"Cyphocharax vanderi",-49.704028,-20.879563
"Cyphocharax vanderi",-49.720833,-20.770833
"Cyphocharax vanderi",-49.5125,-20.8625
"Cyphocharax vanderi",-49.445833,-20.6375
"Cyphocharax vanderi",-51.795093,-21.295104
"Cyphocharax vanderi",-49.379167,-20.879167
"Cyphocharax vanderi",-47.654167,-22.529167
"Cyphocharax vanderi",-50.5375,-20.729167
"Cyphocharax vanderi",-49.40306,-20.64528
"Cyphocharax vanderi",-49.220833,-20.879167
"Cyphocharax vanderi",-48.439722,-22.88
"Cyphocharax vanderi",-50.529167,-20.204167
"Cyphocharax vanderi",-51.629167,-21.204167
"Cyphocharax vanderi",-49.554167,-20.704167
"Cyphocharax vanderi",-54.795833,-22.204167
"Cyphocharax vanderi",-49.629167,-20.879167
"Cyphocharax vanderi",-47.819167,-21.612222
"Cyphocharax vanderi",-50.429167,-20.604167
"Cyphocharax vanderi",-47.670833,-22.270833
"Cyphocharax vanderi",-50.011899,-22.008778
"Cyphocharax vanderi",-51.154167,-20.5125
"Cyphocharax vanderi",-49.375,-20.860001
"Cyphocharax vanderi",-49.170833,-20.954167
"Cyphocharax vanderi",-47.579167,-22.279167
"Cyphocharax vanderi",-48.9625,-21.195833
"Cyphocharax vanderi",-50.620833,-20.720833
"Cyphocharax vanderi",-48.1125,-22.2875
"Cyphocharax vanderi",-50.291667,-20.354167
"Cyphocharax vanderi",-49.370833,-20.8625
"Cyphocharax vanderi",-51.695833,-20.770833
"Cyphocharax vanderi",-49.870833,-20.6625
"Cyphocharax vanderi",-50.520833,-20.170833
"Cyphocharax vanderi",-51.2625,-21.670833
"Cyphocharax vanderi",-49.304167,-20.8875
"Cyphocharax vanderi",-49.679167,-20.729167
"Cyphocharax vanderi",-47.7663,-22.389601
"Cyphocharax vanderi",-49.7375,-20.5875
"Cyphocharax vanderi",-48.429167,-22.8375
"Cyphocharax vanderi",-47.7125,-22.304167
"Cyphocharax vanderi",-47.595833,-22.254167
"Cyphocharax vanderi",-49.3125,-20.870833
"Cyphocharax vanderi",-50.5681,-20.6056
"Cyphocharax vanderi",-49.395833,-21.179167
"Cyphocharax vanderi",-49.5875,-20.429167
"Cyphocharax vanderi",-51.2125,-21.254167
"Cyphocharax vanderi",-51.903316,-19.279167
"Cyphocharax vanderi",-50.578333,-21.443333
"Cyphocharax vanderi",-48.945833,-21.429167
"Cyphocharax vanderi",-49.804167,-20.729167
"Cyphocharax vanderi",-48.4272,-22.9904
"Cyphocharax vanderi",-50.504167,-20.6875
"Cyphocharax vanderi",-50.929167,-20.1625
"Cyphocharax vanderi",-47.663501,-22.187024
"Cyphocharax vanderi",-48.43,-22.99
"Cyphocharax vanderi",-47.612144,-22.238093
"Cyphocharax vanderi",-49.838674,-21.955002
"Cyphocharax vanderi",-49.395811,-16.786039
"Cyphocharax vanderi",-48.804167,-21.6125
"Cyphocharax vanderi",-49.9125,-20.4875
"Cyphocharax vanderi",-49.375,-20.86
"Cyphocharax vanderi",-47.889203,-21.60535
"Cyphocharax vanderi",-47.820833,-22.245833
"Cyphocharax vanderi",-51.945833,-19.7125
"Cyphocharax vanderi",-50.5375,-20.220833
"Cyphocharax vanderi",-50.56806,-20.60583
"Cyphocharax vanderi",-50.6625,-20.3625
"Cyphocharax vanderi",-49.4375,-20.579167
"Cyphocharax vanderi",-51.204167,-21.6125
"Cyphocharax vanderi",-47.670833,-22.295833
"Cyphocharax vanderi",-50.418951,-20.638515
"Cyphocharax vanderi",-50.004389,-21.103585
"Cyphocharax vanderi",-50.679167,-20.7125
"Cyphocharax vanderi",-47.637803,-22.171795
"Cyphocharax vanderi",-47.6375,-22.204167
"Cyphocharax vanderi",-48.427194,-22.990361
"Cyphocharax vanderi",-49.295833,-20.904167
"Cyphocharax vanderi",-47.612146,-22.238092
"Cyphocharax vanderi",-51.254167,-20.954167
"Cyphocharax vanderi",-48.4375,-22.8875
"Cyphocharax vanderi",-49.8625,-21.554167
"Cyphocharax vanderi",-46.5875,-23.529167
"Cyphocharax vanderi",-51.754167,-23.495833
"Cyphocharax vanderi",-48.44,-22.88
"Cyphocharax vanderi",-47.720833,-22.420833
"Cyphocharax vanderi",-47.8125,-22.3625
"Cyphocharax vanderi",-48.102,-22.28
"Cyphocharax vanderi",-47.603934,-22.220606
"Cyphocharax vanderi",-47.612479,-22.237759
"Cyphocharax vanderi",-47.622,-22.219
"Cyphocharax vanderi",-47.804167,-21.629167
"Cyphocharax vanderi",-47.796074,-21.606379
"Cyphocharax vanderi",-49.754167,-21.529167
"Cyphocharax vanderi",-49.928618,-21.946436
"Cyphocharax vanderi",-49.786802,-21.879759
"Cyphocharax vanderi",-49.3125,-20.879167
"Cyphocharax vanderi",-49.368,-20.86
"Cyphocharax vanderi",-49.368,-20.859
"Cyphocharax vanderi",-49.679167,-20.8125
"Cyphocharax vanderi",-49.887441,-20.845409
"Cyphocharax vanderi",-49.904573,-20.801627
"Cyphocharax vanderi",-49.626607,-20.804148
"Cyphocharax vanderi",-49.654922,-20.780305
"Cyphocharax vanderi",-49.704087,-20.753935
"Cyphocharax vanderi",-49.687193,-20.804617
"Cyphocharax vanderi",-49.698,-20.795
"Cyphocharax vanderi",-50.4625,-20.2375
"Cyphocharax vanderi",-50.445833,-20.2125
"Cyphocharax vanderi",-49.353474,-16.878416
"Cyphocharax vanderi",-49.3875,-16.820833
