"specie","longitude","latitude"
"Cyphocharax vexillapinnus",-73.078298,-4.071174
"Cyphocharax vexillapinnus",-69.402089,-4.096932
"Cyphocharax vexillapinnus",-73.623337,-3.088121
"Cyphocharax vexillapinnus",-73.145685,-3.89871
"Cyphocharax vexillapinnus",-66.505352,-5.629294
"Cyphocharax vexillapinnus",-73.370833,-3.770833
"Cyphocharax vexillapinnus",-73.2125,-3.7125
"Cyphocharax vexillapinnus",-66.420833,-5.604167
"Cyphocharax vexillapinnus",-73.323859,-3.669711
"Cyphocharax vexillapinnus",-69.660975,-4.034495
"Cyphocharax vexillapinnus",-69.9625,-4.179167
"Cyphocharax vexillapinnus",-73.003869,-3.726247
"Cyphocharax vexillapinnus",-73.349557,-4.102392
"Cyphocharax vexillapinnus",-72.85006,-3.921172
"Cyphocharax vexillapinnus",-73.2125,-3.854167
"Cyphocharax vexillapinnus",-68.753216,-9.62065
"Cyphocharax vexillapinnus",-64.995833,-3.779167
"Cyphocharax vexillapinnus",-76.645111,-3.159056
"Cyphocharax vexillapinnus",-73.3625,-3.820833
"Cyphocharax vexillapinnus",-60.195833,-3.2875
"Cyphocharax vexillapinnus",-73.163483,-3.779684
"Cyphocharax vexillapinnus",-76.4578,-3.503983
"Cyphocharax vexillapinnus",-76.4578,-3.2036
"Cyphocharax vexillapinnus",-73.187373,-3.97866
"Cyphocharax vexillapinnus",-73.079167,-4.420833
"Cyphocharax vexillapinnus",-59.986206,-3.27829
"Cyphocharax vexillapinnus",-73.527232,-2.855034
"Cyphocharax vexillapinnus",-60.0875,-3.179167
"Cyphocharax vexillapinnus",-60.029167,-3.204167
"Cyphocharax vexillapinnus",-59.474066,-3.011329
"Cyphocharax vexillapinnus",-74.199374,-3.692956
"Cyphocharax vexillapinnus",-60.165523,-3.032065
"Cyphocharax vexillapinnus",-75.838046,-5.418005
"Cyphocharax vexillapinnus",-73.890995,-3.358879
"Cyphocharax vexillapinnus",-74.095833,-4.4875
"Cyphocharax vexillapinnus",-60.108631,-2.961762
"Cyphocharax vexillapinnus",-73.154167,-3.470833
"Cyphocharax vexillapinnus",-60.294548,-3.442615
"Cyphocharax vexillapinnus",-71.957336,-3.335691
"Cyphocharax vexillapinnus",-60.7625,-2.454167
"Cyphocharax vexillapinnus",-70.345833,-4.795833
"Cyphocharax vexillapinnus",-68.746944,-9.061944
"Cyphocharax vexillapinnus",-60.78974,-2.525469
"Cyphocharax vexillapinnus",-60.845833,-2.295833
"Cyphocharax vexillapinnus",-75.945833,-6.020833
"Cyphocharax vexillapinnus",-60.511728,-3.712622
"Cyphocharax vexillapinnus",-59.887181,-3.914178
"Cyphocharax vexillapinnus",-71.504167,-4.6875
"Cyphocharax vexillapinnus",-60.026887,-3.563449
"Cyphocharax vexillapinnus",-76.446379,-4.068772
"Cyphocharax vexillapinnus",-73.079167,-3.554167
"Cyphocharax vexillapinnus",-72.670833,-3.3875
