"specie","longitude","latitude"
"Cyphocharax voga",-50.216328,-29.601755
"Cyphocharax voga",-53.0125,-30.9125
"Cyphocharax voga",-50.670833,-29.7375
"Cyphocharax voga",-50.529167,-30.245833
"Cyphocharax voga",-52.2375,-29.595833
"Cyphocharax voga",-50.1625,-29.720833
"Cyphocharax voga",-56.754165,-29.410556
"Cyphocharax voga",-50.145833,-29.729167
"Cyphocharax voga",-51.229167,-29.995833
"Cyphocharax voga",-50.116665,-29.716667
"Cyphocharax voga",-55.7375,-33.7625
"Cyphocharax voga",-52.495833,-29.9375
"Cyphocharax voga",-54.924446,-28.13611
"Cyphocharax voga",-54.329456,-33.612796
"Cyphocharax voga",-54.829167,-28.179167
"Cyphocharax voga",-52.154167,-32.1125
"Cyphocharax voga",-51.1375,-30.1375
"Cyphocharax voga",-50.804167,-29.6375
"Cyphocharax voga",-48.820833,-28.520833
"Cyphocharax voga",-54.329167,-29.695833
"Cyphocharax voga",-54.32628,-34.5475
"Cyphocharax voga",-50.204167,-29.654167
"Cyphocharax voga",-52.4625,-29.670833
"Cyphocharax voga",-53.426945,-30.896944
"Cyphocharax voga",-56.13498,-30.71275
"Cyphocharax voga",-55.3348,-31.7834
"Cyphocharax voga",-52.1875,-32.154167
"Cyphocharax voga",-51.495833,-30.9125
"Cyphocharax voga",-56.9875,-25.654167
"Cyphocharax voga",-50.1375,-29.979167
"Cyphocharax voga",-55.209721,-30.791945
"Cyphocharax voga",-53.2625,-29.7875
"Cyphocharax voga",-54.6125,-25.445833
"Cyphocharax voga",-56.220833,-34.870833
"Cyphocharax voga",-54.851389,-29.8975
"Cyphocharax voga",-54.949444,-28.206389
"Cyphocharax voga",-57.1125,-29.754167
"Cyphocharax voga",-50.145833,-29.970833
"Cyphocharax voga",-51.529167,-30.2125
"Cyphocharax voga",-53.295833,-31.870833
"Cyphocharax voga",-50.1375,-29.7875
"Cyphocharax voga",-53.654167,-33.170833
"Cyphocharax voga",-54.320833,-32.145833
"Cyphocharax voga",-54.745833,-28.204167
"Cyphocharax voga",-54.199524,-33.482584
"Cyphocharax voga",-53.26463,-32.75193
"Cyphocharax voga",-60.395833,-32.579167
"Cyphocharax voga",-51.204167,-30.1875
"Cyphocharax voga",-53.259998,-29.446945
"Cyphocharax voga",-51.695,-30.100556
"Cyphocharax voga",-56.5,-23.883333
"Cyphocharax voga",-54.279167,-32.429167
"Cyphocharax voga",-54.466667,-31.833334
"Cyphocharax voga",-53.7125,-30.2625
"Cyphocharax voga",-54.170833,-31.729167
"Cyphocharax voga",-51.270833,-29.995833
"Cyphocharax voga",-49.204167,-28.3125
"Cyphocharax voga",-50.900002,-29.833334
"Cyphocharax voga",-54.306028,-28.407687
"Cyphocharax voga",-51.004167,-29.504167
"Cyphocharax voga",-52.454167,-28.795833
"Cyphocharax voga",-50.442861,-28.161389
"Cyphocharax voga",-52.234444,-29.3175
"Cyphocharax voga",-55.4125,-29.645833
"Cyphocharax voga",-51.884998,-29.169445
"Cyphocharax voga",-57.72897,-32.9187
"Cyphocharax voga",-52.520833,-30.879167
"Cyphocharax voga",-54.995833,-28.104167
"Cyphocharax voga",-51.950001,-29.4
"Cyphocharax voga",-57.854167,-31.620833
"Cyphocharax voga",-54.695833,-30.9875
"Cyphocharax voga",-51.2875,-29.970833
"Cyphocharax voga",-54.575,-30.80833
"Cyphocharax voga",-51.154167,-29.754167
"Cyphocharax voga",-52.737778,-27.563889
"Cyphocharax voga",-54.280231,-33.294415
"Cyphocharax voga",-52.904167,-30.5375
"Cyphocharax voga",-53.520833,-32.1375
"Cyphocharax voga",-58.983333,-34.8
"Cyphocharax voga",-60.654167,-32.345833
"Cyphocharax voga",-54.981284,-30.296139
"Cyphocharax voga",-53.71847,-32.764
"Cyphocharax voga",-50.261361,-30.231528
"Cyphocharax voga",-51.4375,-30.3875
"Cyphocharax voga",-54.929167,-29.954167
"Cyphocharax voga",-56.556523,-29.116613
"Cyphocharax voga",-50.325556,-29.941667
"Cyphocharax voga",-58.895833,-34.2625
"Cyphocharax voga",-53.2875,-32.129167
"Cyphocharax voga",-59.454162,-34.446083
"Cyphocharax voga",-59.461167,-34.464357
"Cyphocharax voga",-52.5875,-32.4875
"Cyphocharax voga",-52.756943,-27.669167
"Cyphocharax voga",-50.7875,-29.8125
"Cyphocharax voga",-51.720833,-29.8625
"Cyphocharax voga",-58.1625,-31.8375
"Cyphocharax voga",-53.729167,-31.654167
"Cyphocharax voga",-57.5125,-30.1875
"Cyphocharax voga",-52.999832,-30.293333
"Cyphocharax voga",-51.254167,-29.9375
"Cyphocharax voga",-56.6625,-29.420833
"Cyphocharax voga",-54.133335,-31.466667
"Cyphocharax voga",-52.179167,-32.145833
"Cyphocharax voga",-50.204167,-29.954167
"Cyphocharax voga",-50.270833,-29.604167
"Cyphocharax voga",-56.595833,-29.1375
"Cyphocharax voga",-52.1625,-32.120833
"Cyphocharax voga",-50.419544,-29.519564
"Cyphocharax voga",-50.779167,-29.545833
"Cyphocharax voga",-50.220833,-29.6375
"Cyphocharax voga",-47.620833,-24.320833
"Cyphocharax voga",-52.3375,-31.7875
"Cyphocharax voga",-51.891389,-29.171111
"Cyphocharax voga",-52.620833,-30.2375
"Cyphocharax voga",-52.329167,-31.779167
"Cyphocharax voga",-56.370833,-28.6125
"Cyphocharax voga",-53.8875,-28.304167
"Cyphocharax voga",-54.996944,-30.3125
"Cyphocharax voga",-50.311083,-29.623794
"Cyphocharax voga",-53.150002,-29.683332
"Cyphocharax voga",-54.4875,-31.470833
"Cyphocharax voga",-51.345833,-29.595833
"Cyphocharax voga",-53.3883,-32.588
"Cyphocharax voga",-50.170833,-29.9625
"Cyphocharax voga",-54.9125,-30.245833
"Cyphocharax voga",-51.336111,-30.229167
"Cyphocharax voga",-50.129167,-29.670833
"Cyphocharax voga",-50.229167,-29.870833
"Cyphocharax voga",-52.404167,-28.9375
"Cyphocharax voga",-51.773888,-30.741667
"Cyphocharax voga",-51.433334,-30.4
"Cyphocharax voga",-47.84,-24.48
"Cyphocharax voga",-55.1375,-29.4625
"Cyphocharax voga",-48.940497,-26.721583
