"specie","longitude","latitude"
"Potamorhina altamazonica",-66.170833,-11.104167
"Potamorhina altamazonica",-59.795833,-3.220833
"Potamorhina altamazonica",-67.7838,4.1677
"Potamorhina altamazonica",-60.220833,-3.254167
"Potamorhina altamazonica",-74.1667,-4.8333
"Potamorhina altamazonica",-67.995833,-11.8625
"Potamorhina altamazonica",-63.4375,8.195833
"Potamorhina altamazonica",-54.595833,-2.154167
"Potamorhina altamazonica",-58.320833,-2.754167
"Potamorhina altamazonica",-61.304167,-5.820833
"Potamorhina altamazonica",-72.65,-7.633333
"Potamorhina altamazonica",-74.520833,-8.379167
"Potamorhina altamazonica",-59.946091,-3.239697
"Potamorhina altamazonica",-64.929167,-14.870833
"Potamorhina altamazonica",-67.5125,8.420833
"Potamorhina altamazonica",-69.954167,-4.204167
"Potamorhina altamazonica",-74.5125,-5.3875
"Potamorhina altamazonica",-60.26667,-3.41667
"Potamorhina altamazonica",-72.920833,-3.2625
"Potamorhina altamazonica",-69.479167,7.720833
"Potamorhina altamazonica",-63.770833,8.1125
"Potamorhina altamazonica",-60.3625,-3.2125
"Potamorhina altamazonica",-65.30327,-13.34661
"Potamorhina altamazonica",-63.9125,-8.770833
"Potamorhina altamazonica",-73.245833,-3.7625
"Potamorhina altamazonica",-69.954167,-1.304167
"Potamorhina altamazonica",-72.4125,-4.895833
"Potamorhina altamazonica",-72.695833,-8.9875
"Potamorhina altamazonica",-69.504167,7.5125
"Potamorhina altamazonica",-60.276467,-3.482465
"Potamorhina altamazonica",-61.356111,-5.868333
"Potamorhina altamazonica",-54.5875,-6.945833
"Potamorhina altamazonica",-60.6375,-3.220833
"Potamorhina altamazonica",-61.333332,-3.833333
"Potamorhina altamazonica",-54.7375,-1.9625
"Potamorhina altamazonica",-65.10744,-15.42366
"Potamorhina altamazonica",-74.4625,-5.345833
"Potamorhina altamazonica",-72.695833,4.320833
"Potamorhina altamazonica",-75.495833,-1.395833
"Potamorhina altamazonica",-60.3625,-3.820833
"Potamorhina altamazonica",-67.4875,7.8875
"Potamorhina altamazonica",-74.304167,-5.204167
"Potamorhina altamazonica",-60.579167,-5.2125
"Potamorhina altamazonica",-67.4125,6.179167
"Potamorhina altamazonica",-66.995833,3.9125
"Potamorhina altamazonica",-65.279167,-15.8875
"Potamorhina altamazonica",-72.6625,-7.6375
"Potamorhina altamazonica",-66.5875,1.854167
"Potamorhina altamazonica",-66.2125,7.654167
"Potamorhina altamazonica",-62.445833,8.520833
"Potamorhina altamazonica",-68.729167,-9.345833
"Potamorhina altamazonica",-72.395833,-9.354167
"Potamorhina altamazonica",-74.4625,-5.3375
"Potamorhina altamazonica",-74.504167,-5.404167
"Potamorhina altamazonica",-64.5875,-12.204167
"Potamorhina altamazonica",-75.5375,0.8125
"Potamorhina altamazonica",-62.1125,-10.195833
"Potamorhina altamazonica",-62.9375,-13.354167
"Potamorhina altamazonica",-64.7625,-15.4125
"Potamorhina altamazonica",-65.4375,-9.679167
"Potamorhina altamazonica",-60.2875,-3.104167
"Potamorhina altamazonica",-63.1375,-7.5125
"Potamorhina altamazonica",-65.245833,-15.279167
"Potamorhina altamazonica",-72.7125,-9.420833
"Potamorhina altamazonica",-72.7875,-8.945833
"Potamorhina altamazonica",-69,-9.33
"Potamorhina altamazonica",-74.504167,-5.2875
"Potamorhina altamazonica",-64.970833,-14.895833
"Potamorhina altamazonica",-74.370833,-8.529167
"Potamorhina altamazonica",-76.97896,0.679519
"Potamorhina altamazonica",-71.329167,4.779167
"Potamorhina altamazonica",-69.945833,-4.129167
"Potamorhina altamazonica",-61.420833,8.4625
"Potamorhina altamazonica",-63.695833,-9.945833
"Potamorhina altamazonica",-54.845833,-2.179167
"Potamorhina altamazonica",-73.170833,-3.7625
"Potamorhina altamazonica",-62.18,8.72
"Potamorhina altamazonica",-67.5619,-11.1517
"Potamorhina altamazonica",-66.2875,-11.270833
"Potamorhina altamazonica",-69.954167,-4.2125
"Potamorhina altamazonica",-63.304167,8.2125
"Potamorhina altamazonica",-60.1625,-4.8875
"Potamorhina altamazonica",-60.179167,-4.904167
"Potamorhina altamazonica",-60.295833,-2.354167
"Potamorhina altamazonica",-67.745833,-11.129167
"Potamorhina altamazonica",-62.929167,-7.7625
"Potamorhina altamazonica",-72.56,4.31
"Potamorhina altamazonica",-69.946982,-4.224876
"Potamorhina altamazonica",-72.7125,4.604167
"Potamorhina altamazonica",-64.120833,-3.754167
"Potamorhina altamazonica",-70.958333,5.670833
"Potamorhina altamazonica",-63.944444,-8.798056
"Potamorhina altamazonica",-68.3875,-12.379167
"Potamorhina altamazonica",-68.120833,3.9375
"Potamorhina altamazonica",-68.729167,-8.795833
"Potamorhina altamazonica",-74.60878,-8.292481
"Potamorhina altamazonica",-73.304167,-3.829167
"Potamorhina altamazonica",-62.1875,8.6875
"Potamorhina altamazonica",-68.654167,-11.245833
"Potamorhina altamazonica",-71.84,5.59
"Potamorhina altamazonica",-65.179167,-13.195833
"Potamorhina altamazonica",-69.940556,-4.215278
"Potamorhina altamazonica",-73.570833,3.945833
"Potamorhina altamazonica",-72.529167,4.629167
"Potamorhina altamazonica",-70.927972,5.660389
"Potamorhina altamazonica",-73.1125,-3.3625
"Potamorhina altamazonica",-74.570833,-8.304167
"Potamorhina altamazonica",-63.3875,-8.304167
"Potamorhina altamazonica",-63.880833,-3.861667
"Potamorhina altamazonica",-71.80225,4.553056
"Potamorhina altamazonica",-62.670833,-3.854167
"Potamorhina altamazonica",-72.9125,4.820833
"Potamorhina altamazonica",-67.995833,-11.4625
"Potamorhina altamazonica",-66.895833,-4.8875
"Potamorhina altamazonica",-64.995833,-14.879167
"Potamorhina altamazonica",-68.770833,-11.3125
"Potamorhina altamazonica",-71.804167,4.554167
"Potamorhina altamazonica",-65.120833,-14.904167
"Potamorhina altamazonica",-60.283333,-3.416667
"Potamorhina altamazonica",-67.829167,6.270833
"Potamorhina altamazonica",-62.374639,-8.664556
"Potamorhina altamazonica",-70.366392,-3.783645
"Potamorhina altamazonica",-70.412852,-3.802734
"Potamorhina altamazonica",-70.36498,-3.785828
"Potamorhina altamazonica",-68.454167,3.6625
"Potamorhina altamazonica",-67.85429,-11.40328
"Potamorhina altamazonica",-70.291667,-4.354167
"Potamorhina altamazonica",-71.404167,6.420833
"Potamorhina altamazonica",-73.204167,-4.104167
"Potamorhina altamazonica",-70.254167,-7.5125
"Potamorhina altamazonica",-70.2375,5.595833
"Potamorhina altamazonica",-63.779167,-13.7125
"Potamorhina altamazonica",-65.2875,-13.879167
"Potamorhina altamazonica",-64.370833,-12.520833
"Potamorhina altamazonica",-72.4375,4.354167
"Potamorhina altamazonica",-62.333611,-6.710556
"Potamorhina altamazonica",-76.604167,0.404167
"Potamorhina altamazonica",-62.2375,8.654167
"Potamorhina altamazonica",-58.379167,-3.8875
"Potamorhina altamazonica",-62.365103,-8.695333
"Potamorhina altamazonica",-63.1125,-4.879167
"Potamorhina altamazonica",-67.9875,-11.845833
"Potamorhina altamazonica",-67.9625,4.145833
"Potamorhina altamazonica",-70.254167,6.7625
"Potamorhina altamazonica",-71.4875,5.9125
"Potamorhina altamazonica",-66.42375,4.21879
"Potamorhina altamazonica",-64.789719,-3.210556
"Potamorhina altamazonica",-69.679167,-1.2875
"Potamorhina altamazonica",-73.30081,-3.8299
"Potamorhina altamazonica",-70.6625,-3.804167
"Potamorhina altamazonica",-72.920833,4.745833
"Potamorhina altamazonica",-65.179167,-13.179167
"Potamorhina altamazonica",-66.368,-11.406
"Potamorhina altamazonica",-67.870833,5.370833
"Potamorhina altamazonica",-61.6875,-6.629167
"Potamorhina altamazonica",-62.945833,-7.745833
"Potamorhina altamazonica",-65.304167,-13.720833
"Potamorhina altamazonica",-73.588306,2.366056
"Potamorhina altamazonica",-62.199306,-8.853806
"Potamorhina altamazonica",-69.979167,-3.1125
"Potamorhina altamazonica",-73.879167,-3.4875
"Potamorhina altamazonica",-72.204167,4.604167
"Potamorhina altamazonica",-68.75,-11.314
"Potamorhina altamazonica",-68.4875,-10.245833
"Potamorhina altamazonica",-55.833332,-1.866667
"Potamorhina altamazonica",-60.256667,-4.940278
"Potamorhina altamazonica",-54.7375,-2.4125
"Potamorhina altamazonica",-72.430149,-4.901792
"Potamorhina altamazonica",-61.958333,-5.629167
"Potamorhina altamazonica",-61.879167,-4.279167
"Potamorhina altamazonica",-70.329167,-4.3375
"Potamorhina altamazonica",-61.4625,-3.704167
"Potamorhina altamazonica",-55.145833,-2.104167
"Potamorhina altamazonica",-65.25027,-13.16324
