"specie","longitude","latitude"
"Potamorhina laticeps",-70.567205,9.45538
"Potamorhina laticeps",-72.310131,8.428808
"Potamorhina laticeps",-72.07612,10.347049
"Potamorhina laticeps",-72.127707,9.88334
"Potamorhina laticeps",-72.878925,9.295647
"Potamorhina laticeps",-72.410639,8.369417
"Potamorhina laticeps",-71.920598,10.239688
"Potamorhina laticeps",-70.597853,9.297764
"Potamorhina laticeps",-71.24426,10.125284
"Potamorhina laticeps",-72.6375,8.604167
"Potamorhina laticeps",-72.458737,9.064996
"Potamorhina laticeps",-72.303373,9.845404
"Potamorhina laticeps",-71.020921,9.763187
"Potamorhina laticeps",-72.821997,9.329418
"Potamorhina laticeps",-72.461212,9.732577
"Potamorhina laticeps",-72.75,7.333333
"Potamorhina laticeps",-71.861207,8.668102
"Potamorhina laticeps",-72.595833,9.6375
"Potamorhina laticeps",-71.914507,9.318361
"Potamorhina laticeps",-71.150806,9.970144
"Potamorhina laticeps",-72.261718,10.404156
"Potamorhina laticeps",-72.379516,9.728906
"Potamorhina laticeps",-72.04395,9.60618
"Potamorhina laticeps",-72.129654,9.812244
"Potamorhina laticeps",-70.786687,9.504872
"Potamorhina laticeps",-71.983035,9.178258
"Potamorhina laticeps",-72.251058,9.513286
"Potamorhina laticeps",-72.954336,10.9625
"Potamorhina laticeps",-71.128143,10.124332
"Potamorhina laticeps",-71.428906,8.473462
"Potamorhina laticeps",-71.690647,8.813725
"Potamorhina laticeps",-71.987604,8.584345
"Potamorhina laticeps",-71.850547,9.108207
"Potamorhina laticeps",-72.537782,8.846014
"Potamorhina laticeps",-72.150026,9.853879
"Potamorhina laticeps",-72.346288,8.669837
"Potamorhina laticeps",-72.172353,10.362389
