"specie","longitude","latitude"
"Potamorhina latior",-60.276467,-3.482465
"Potamorhina latior",-69.9625,-4.179167
"Potamorhina latior",-74.4625,-5.345833
"Potamorhina latior",-67.745833,-11.129167
"Potamorhina latior",-63.944444,-8.798056
"Potamorhina latior",-58.4625,-3.145833
"Potamorhina latior",-70.095833,-4.395833
"Potamorhina latior",-60.429167,-3.254167
"Potamorhina latior",-70.254167,-3.820833
"Potamorhina latior",-64.16317,-12.56955
"Potamorhina latior",-58.354167,-2.870833
"Potamorhina latior",-67.29,-5.440278
"Potamorhina latior",-60.3625,-3.820833
"Potamorhina latior",-60.145833,-3.220833
"Potamorhina latior",-65.663,-11.631
"Potamorhina latior",-59.946091,-3.239697
"Potamorhina latior",-73.2875,-3.729167
"Potamorhina latior",-63.720833,-13.3625
"Potamorhina latior",-59.993721,-3.218694
"Potamorhina latior",-65.392876,-10.384177
"Potamorhina latior",-66.895833,-4.8875
"Potamorhina latior",-62.201861,-8.837194
"Potamorhina latior",-73.879167,-3.4875
"Potamorhina latior",-75.10831,-7.35138
"Potamorhina latior",-60.220833,-3.254167
"Potamorhina latior",-74.754167,-5.145833
"Potamorhina latior",-72.6625,-7.6375
"Potamorhina latior",-67.3125,-5.445833
"Potamorhina latior",-67.563,-11.192
"Potamorhina latior",-77.770833,-3.645833
"Potamorhina latior",-65.279167,-15.8875
"Potamorhina latior",-54.7125,-2.154167
"Potamorhina latior",-61.304167,-5.820833
"Potamorhina latior",-61.4625,-3.704167
"Potamorhina latior",-73.280267,-3.721248
"Potamorhina latior",-72.65,-7.633333
"Potamorhina latior",-67.805833,-5.940556
"Potamorhina latior",-63.779167,-13.7125
"Potamorhina latior",-54.845833,-2.179167
"Potamorhina latior",-69.946982,-4.224876
"Potamorhina latior",-59.330278,-2.123333
"Potamorhina latior",-63.554167,-13.3125
"Potamorhina latior",-73.2375,-3.695833
"Potamorhina latior",-69.954167,-4.204167
"Potamorhina latior",-60.3625,-3.2125
"Potamorhina latior",-69.723992,-1.293053
"Potamorhina latior",-63.520833,-13.2875
"Potamorhina latior",-74.370833,-8.529167
"Potamorhina latior",-65.2875,-13.879167
"Potamorhina latior",-59.945957,-3.240118
"Potamorhina latior",-67.5556,-11.1111
"Potamorhina latior",-62.9375,-13.354167
"Potamorhina latior",-63.1375,-7.5125
"Potamorhina latior",-66.170833,-11.104167
"Potamorhina latior",-67.744167,-5.69
"Potamorhina latior",-73.404167,0.7125
"Potamorhina latior",-63.929167,-12.5125
"Potamorhina latior",-74.504167,-5.404167
"Potamorhina latior",-67.821389,-5.706389
"Potamorhina latior",-63.195833,-5.629167
"Potamorhina latior",-62.945833,-7.745833
"Potamorhina latior",-62.670833,-3.854167
"Potamorhina latior",-69.2125,-1.8375
"Potamorhina latior",-59.995833,-3.1625
"Potamorhina latior",-64.395833,-12.545833
"Potamorhina latior",-64.758333,-3.408333
"Potamorhina latior",-61.6875,-6.629167
"Potamorhina latior",-61.958333,-5.629167
"Potamorhina latior",-69.954167,-4.145833
"Potamorhina latior",-59.604167,-3.7375
"Potamorhina latior",-60.125,-3.2125
"Potamorhina latior",-63.1125,-4.879167
"Potamorhina latior",-58.445833,-3.154167
"Potamorhina latior",-62.929167,-7.7625
"Potamorhina latior",-70.366392,-3.783645
"Potamorhina latior",-63.880833,-3.861667
"Potamorhina latior",-60.2875,-3.104167
"Potamorhina latior",-63.55837,-13.30981
"Potamorhina latior",-74.4625,-5.3375
"Potamorhina latior",-69.291667,-11.454167
"Potamorhina latior",-64.7625,-15.4125
"Potamorhina latior",-59.829167,-2.920833
"Potamorhina latior",-74.5125,-5.279167
"Potamorhina latior",-60.579167,-5.2125
"Potamorhina latior",-61.120833,1.8125
"Potamorhina latior",-55.870833,-1.770833
"Potamorhina latior",-67.879167,-10.4625
"Potamorhina latior",-60.3875,-3.7875
"Potamorhina latior",-60.75,-3.216667
"Potamorhina latior",-54.795833,-2.2375
"Potamorhina latior",-63.195833,-7.529167
"Potamorhina latior",-69.579167,-1.854167
"Potamorhina latior",-75.495833,-1.395833
"Potamorhina latior",-58.995833,-3.2375
"Potamorhina latior",-55.4375,-2.479167
"Potamorhina latior",-61.379167,-3.8875
"Potamorhina latior",-73.963508,-3.515069
"Potamorhina latior",-69.940556,-4.215278
"Potamorhina latior",-70.254167,-7.5125
"Potamorhina latior",-57.76,-2.53639
"Potamorhina latior",-64.645833,-9.2625
"Potamorhina latior",-67.85429,-11.40328
"Potamorhina latior",-65.304167,-13.720833
"Potamorhina latior",-69.951367,-4.200067
"Potamorhina latior",-70.429167,-3.795833
"Potamorhina latior",-54.354167,-2.595833
"Potamorhina latior",-63.2875,-5.829167
"Potamorhina latior",-69.96,-1.28
"Potamorhina latior",-62.870833,-7.1125
"Potamorhina latior",-73.695833,-7.179167
"Potamorhina latior",-62.199306,-8.853806
"Potamorhina latior",-64.5875,-12.204167
"Potamorhina latior",-56.745,-2.17139
"Potamorhina latior",-62.365103,-8.695333
"Potamorhina latior",-70.479167,-3.7625
"Potamorhina latior",-64.716667,-3.366667
"Potamorhina latior",-67.479167,-5.504167
"Potamorhina latior",-59.395833,-3.2625
"Potamorhina latior",-59.1125,-3.229167
"Potamorhina latior",-67.9928,-11.46331
"Potamorhina latior",-70.6625,-3.804167
"Potamorhina latior",-58.320833,-2.754167
"Potamorhina latior",-66.804167,-2.504167
"Potamorhina latior",-70.6875,-3.7875
"Potamorhina latior",-56.775278,-1.440556
"Potamorhina latior",-66.2875,-11.270833
"Potamorhina latior",-63.695833,-9.945833
"Potamorhina latior",-64.279167,-12.679167
"Potamorhina latior",-64.781944,-3.116945
"Potamorhina latior",-72.5625,-1.1625
"Potamorhina latior",-69.954167,-1.304167
"Potamorhina latior",-71.220833,-3.179167
"Potamorhina latior",-66.3875,-11.429167
"Potamorhina latior",-69.504167,-1.920833
"Potamorhina latior",-59.945833,-3.970833
"Potamorhina latior",-54.958333,-2.375
"Potamorhina latior",-60.645833,-3.2875
"Potamorhina latior",-61.333332,-3.833333
"Potamorhina latior",-69.764444,-2.730278
"Potamorhina latior",-60.295833,-2.354167
"Potamorhina latior",-58.520833,-3.8625
"Potamorhina latior",-61.356111,-5.868333
"Potamorhina latior",-64.14555,-12.578
"Potamorhina latior",-65.220833,-11.6125
"Potamorhina latior",-64.995833,-14.879167
"Potamorhina latior",-60.595278,3.375
"Potamorhina latior",-60.2125,-3.354167
"Potamorhina latior",-71.6125,0.9375
"Potamorhina latior",-56.779167,-1.4375
"Potamorhina latior",-54.7375,-2.4125
"Potamorhina latior",-68.729167,-9.345833
"Potamorhina latior",-64.470833,-6.6875
"Potamorhina latior",-56.2395,-2.467222
"Potamorhina latior",-70.379167,-3.779167
"Potamorhina latior",-67.8125,-5.929167
"Potamorhina latior",-65.25027,-13.16324
"Potamorhina latior",-64.370833,-12.520833
"Potamorhina latior",-58.881111,-3.399722
"Potamorhina latior",-59.6125,-3.129167
"Potamorhina latior",-52.245833,-1.754167
"Potamorhina latior",-57.754167,-2.5375
"Potamorhina latior",-65.120833,-14.904167
"Potamorhina latior",-61.8875,-4.279167
"Potamorhina latior",-76.5625,1.504167
"Potamorhina latior",-65.420833,-13.720833
